,Address,Name Tag,Balance,Txn Count
0,0x3b03509645713718b78951126e0a6de6f10043f5,Across Protocol: Across Config Store V2,0 ETH,23
1,0x937958992799bf4a9a656e6596fd10d7da5c2216,Across Protocol: Arbitrum Adapter V2,0 ETH,1
2,0x0d8563d3b8b3fec542aae50a530c606dac4d1c4f,Across Protocol: Arbitrum Messenger,0 ETH,2
3,0x43298f9f91a4545df64748e78a2c777c580573d6,Across Protocol: Badger Bridge Pool,0 ETH,205
4,0x33b0ec794c15d6cc705818e70d4cace7bcfb5af3,Across Protocol: Boba Adapter V2,0 ETH,1
5,0x30b44c676a05f1264d1de9cc31db5f2a945186b6,Across Protocol: Bridge Admin,0 ETH,8
6,0x527e872a5c3f0c7c24fe33f2593cfb890a285084,Across Protocol: Ethereum Adapter V2,0 ETH,1
7,0xb524735356985d2f267fa010d681f061dff03715,Across Protocol: Hub Pool Owner MultiSig,0.025 ETH,84
8,0xc186fa914353c44b2e33ebe05f21846f1048beda,Across Protocol: Hub Pool V2,4.355 ETH,28979
9,0x7db69eb9f52ed773e9b03f5068a1ea0275b2fd9d,Across Protocol: LP Token Factory V2,0 ETH,1
10,0x22ed83a9ee26236486f57ce8385a247e5bfb71ff,Across Protocol: Optimism Adapter V2,0 ETH,1
11,0x3e94e8d4316a1ebfb2245e45e6f0b8724094ce1a,Across Protocol: Polygon Adapter V2,0 ETH,1
12,0x48d990abda20afa1fd1da713abc041b60a922c65,Across Protocol: Polygon Token Bridger V2,0 ETH,2
13,0x428ab2ba90eba0a4be7af34c9ac451ab061ac010,Across Protocol: Relayer,4.09763547 ETH,112479
14,0x4060dba72344da74edaeeae51a71a57f7e96b6b4,Across Protocol: Skinny Optimistic Oracle,0 ETH,10
15,0xdfe0ec39291e3b60aca122908f86809c9ee64e90,Across Protocol: UMA Bridge Pool,0 ETH,95
16,0x256c8919ce1ab0e33974cf6aa9c71561ef3017b6,Across Protocol: USDC Bridge Pool,0 ETH,4887
17,0x02fbb64517e1c6ed69a6faa3abf37db0482f1152,Across Protocol: WBTC Bridge Pool,0 ETH,276
18,0x7355efc63ae731f584380a9838292c7046c1e433,Across Protocol: WETH Bridge Pool,0 ETH,26794
