,Address,Name Tag,Balance,Txn Count
0,0x073dca8acbc11ffb0b5ae7ef171e4c0b065ffa47,Alameda Research 1,0.02797035 ETH,224
1,0x882a812d75aee53efb8a144f984b258b6c4807f0,Alameda Research 10,2.3676583 ETH,117
2,0xbefe4f86f189c1c817446b71eb6ac90e3cb68e60,Alameda Research 11,0.08671171 ETH,590
3,0xb78e90e2ec737a2c0a24d68a0e54b410fff3bd6b,Alameda Research 12,0.00810312 ETH,479
4,0x964d9d1a532b5a5daeacbac71d46320de313ae9c,Alameda Research 13,0.08616507 ETH,2881
5,0xfa453aec042a837e4aebbadab9d4e25b15fad69d,Alameda Research 14,5.55721665 ETH,56115
6,0x4deb3edd991cfd2fcdaa6dcfe5f1743f6e7d16a6,Alameda Research 15,0.02598904 ETH,1466
7,0x477573f212a7bdd5f7c12889bd1ad0aa44fb82aa,Alameda Research 16,0.00009892 ETH,757
8,0xce31190a03fc3c5f23167e88e75066824823222d,Alameda Research 17,0.08456966 ETH,1520
9,0x73c0ae50756c7921d1f32ada71b8e50c5de7ff9c,Alameda Research 19,0.00008531 ETH,28763
10,0x712d0f306956a6a4b4f9319ad9b9de48c5345996,Alameda Research 2,0.05837608 ETH,1335
11,0x60ae578abdfded1fb0555f54148fdd7b400a34ed,Alameda Research 20,0.00007929 ETH,726
12,0x0c0fe4e0236480e16b679ee1fd0c5247f9cf35f0,Alameda Research 22,0.00170974 ETH,2290
13,0x0f4ee9631f4be0a63756515141281a3e2b293bbe,Alameda Research 23,0.00019871 ETH,189986
14,0x97137466bc8018531795217f0ecc4ba24dcba5c1,Alameda Research 24,0.01345519 ETH,2393
15,0x84d34f4f83a87596cd3fb6887cff8f17bf5a7b83,Alameda Research 25,0.00019836 ETH,6141
16,0x78835265ac857bf3420830c71987b1a55f73c2dc,Alameda Research 26,0.99985076 ETH,41
17,0x4c8cfe078a5b989cea4b330197246ced82764c63,Alameda Research 27,0.02777621 ETH,25813
18,0x93c08a3168fc469f3fc165cd3a471d19a37ca19e,Alameda Research 3,1.06930034 ETH,501
19,0xca436e14855323927d6e6264470ded36455fc8bd,Alameda Research 4,3.06636359 ETH,1015
20,0x83a127952d266a6ea306c40ac62a4a70668fe3bd,Alameda Research 5,0.01879155 ETH,408
21,0xc5ed2333f8a2c351fca35e5ebadb2a82f5d254c3,Alameda Research 6,151.04507883 ETH,1142
22,0x89183c0a8965c0299997be9af700a801bdccc2da,Alameda Research 7,0 ETH,3
23,0xe5d0ef77aed07c302634dc370537126a2cd26590,Alameda Research 8,0.00040545 ETH,1394
24,0x5d13f4bf21db713e17e04d711e0bf7eaf18540d6,Alameda Research 9,0.00011807 ETH,834
25,0x3507e4978e0eb83315d20df86ca0b976c0e40ccb,Alameda Research: Binance Deposit,0.0203272 ETH,12043
26,0xa726c00cda1f60aaab19bc095d02a46556837f31,Alameda Research: WBTC Merchant Deposit Address,0.01413989 ETH,409
27,0x345c9ae61ff6e68b319d61082a017ba854892488,InsurAce Protocol: Deployer,1.03854658 ETH,1566
28,0x544c42fbb96b39b21df61cf322b5edc285ee7429,InsurAce Protocol: INSUR Token,0 ETH,26166
