,Address,Name Tag,Balance,Txn Count
0,0xa59075221b50c598aed0eae0bb9869639513af0d,Arbitrum Nova: Challenge Manager,0 ETH,0
1,0xc4448b71118c9071bcb9734a0eac55d18a153949,Arbitrum Nova: Delayed Inbox,0 ETH,132280
2,0x23122da8c581aa7e0d07a36ff1f16f799650232f,Arbitrum Nova: L1 Arb-Custom Gateway,0 ETH,4
3,0xb2535b988dce19f9d71dfb22db6da744acac21bf,Arbitrum Nova: L1 ERC20 Gateway,0 ETH,2
4,0xc840838bc438d73c16c2f8b22d2ce3669963cd48,Arbitrum Nova: L1 Gateway Router,0 ETH,1039
5,0xe4e2121b479017955be0b175305b35f312330bae,Arbitrum Nova: L1 WETH Gateway,0 ETH,2
6,0x7adca86896c4220f19b2f7f9746e7a99e57b0fc5,Arbitrum Nova: One Step Proof Entry,0 ETH,1
7,0x8323b58c522690e6afae94044825f0c79a93d236,Arbitrum Nova: One Step Prover 0,0 ETH,1
8,0x9cbc3f14a57ce6ead0e770f528e2f1e8b8c37613,Arbitrum Nova: One Step Prover Host Io,0 ETH,1
9,0x1efb116ebc38ce895eb2e5e009234e0e0836f2f5,Arbitrum Nova: One Step Prover Math,0 ETH,1
10,0x7a6c0503107858f82a790e481024134092e19979,Arbitrum Nova: One Step Prover Memory,0 ETH,1
11,0xfb209827c58283535b744575e11953dcc4bead88,Arbitrum Nova: Rollup,2 ETH,7
12,0x211e1c4c7f1bf5351ac850ed10fd68cffcf6c21b,Arbitrum Nova: Sequencer Inbox,0 ETH,9880
