,Address,Name Tag,Balance,Txn Count
0,0x56d811088235f11c8920698a204a5010a788f4b3,bZx Protocol Token,0 ETH,74770
1,0x493c57c4763932315a328269e1adad09653b9081,bZx DAI iToken,0 ETH,5339
2,0x77f973fcaf871459aa58cd81881ce453759281bc,bZx ETH iToken,0 ETH,12025
3,0x1cc9567ea2eb740824a45f8026ccf8e46973234d,bZx KNC iToken,0 ETH,281
4,0x1d496da96caf6b518b133736beca85d5c4f9cbc5,bZx LINK iToken,0 ETH,449
5,0x1c74cff0376fb4031cd7492cd6db2d66c3f2c6b9,bZx Protocol Token v1,0 ETH,4846
6,0xbd56e9477fc6997609cf45f84795efbdac642ff1,bZx REP iToken,0 ETH,112
7,0x14094949152eddbfcd073717200da82fed8dc960,bZx SAI iToken,0 ETH,2630
8,0x49f4592e641820e928f9919ef4abd92a719b4b49,bZx sUSD iToken,0 ETH,392
9,0xf013406a0b1d544238083df0b93ad0d2cbe0f65f,bZx USDC iToken,0 ETH,1207
10,0xba9262578efef8b3aff7f60cd629d6cc8859c8b5,bZx WBTC iToken,0 ETH,545
11,0xa7eb2bc82df18013ecc2a6c533fc29446442edee,bZx ZRX iToken,0 ETH,299
12,0x8b3d70d628ebd30d4a2ea82db95ba2e906c71633,bZx: Vault,0 ETH,6
