,Address,Name Tag,Balance,Txn Count
0,0xb0325dbe7fa891436e83a094f9f12848c78e449b,,1.95784018 ETH,822
1,0x5d8908afee1df9f7f0830105f8be828f97ce9e68,Argent,0.5887548 ETH,38
2,0xbe1f4dc51e89cf3f72cc4039bb0104eb96f85733,Compound Voting: 1inch.exchange,7.58640763 ETH,127
3,0x8e97201ad6ad1dbaea6d23d86540fda033932bff,Compound Voting: 1kx,0.03555573 ETH,9
4,0xf25f26a42adcb153b1966a4bf5df6d0c9e27197f,Compound Voting: a16z,0 ETH,10
5,0x9695cfaa368718dd6790a6f57b633d83f565893e,Compound Voting: Alameda Research,0.00025146 ETH,51
6,0x54a37d93e57c5da659f508069cf65a381b61e189,Compound Voting: blck,1.03098007 ETH,181
7,0xa8c6f6e2dfbdededd157a5363d38d7d074d83985,Compound Voting: ConsenSys,0.04178615 ETH,57
8,0xcfae402f6ced5a476554235b5026c005c85c135a,Compound Voting: DeFi Rate,0.00013594 ETH,95
9,0x50495480cce225c8476e90466d8615a9e6a5e004,Compound Voting: Dragonfly Capital,0 ETH,19
10,0x8169522c2c57883e8ef80c498aab7820da539806,Compound Voting: Geoffrey Hayes,0.0319082 ETH,49
11,0xd061ba96195923e49e619bc1c758568fe47a1fb1,Compound Voting: IDEO CoLab Ventures,0.66195155 ETH,19
12,0x8703028934b24b47496ad84afd635ea7938487be,Compound Voting: Jacob,0 ETH,9
13,0x879d430d8eba1de4cf1bad4e20da5e559c030f11,Compound Voting: Jayson Hobby,0 ETH,74
14,0x5b97680e165b4dbf5c45f4ff4241e85f418c66c2,Compound Voting: Kain Synthetix,61.54620669 ETH,491
15,0x7f89077b122afaaf6ab50aa12e9cb46bb9a058c4,Compound Voting: Max Wolff,0.06836948 ETH,15
16,0x8fe1a0b56c62f79a7bd8b45fe08b0e03c4af572d,Compound Voting: New Form Capital,0.00054903 ETH,57
17,0xe5b5cf0e5d044c3e984b910dbc89b19186d24b03,Compound Voting: Pantera Capital,0.01712486 ETH,30
18,0xa1b61405791170833070c0ea61ed28728a840241,Compound Voting: Paradigm,0 ETH,13
19,0xe5a52921901c58971ba60725651dc28bde98beb9,Compound Voting: ParaFi Capital,0.11903656 ETH,23
20,0xed409c9ff60f3020abf9012bcd45fc294f5608ff,Compound Voting: Polychain Capital,0 ETH,73
21,0xac5720d6ee2d7872b88914c9c5fa9bf38e72faf6,Compound Voting: Robert Leshner,0 ETH,90
22,0xaf7eaf66b5f1fa23158784fb4c17dba90727afad,Compound Voting: Zerion,60.40566447 ETH,105
23,0x7e4a8391c728fed9069b2962699ab416628b19fa,Dharma: Deployer,0.62920542 ETH,1485
24,0x6626593c237f530d15ae9980a95ef938ac15c35c,Gauntlet Network,3.85736328 ETH,100
25,0x1d29756e8f7b091ce6c11a35980de79c7eda5d1f,InstaDApp: Wallet,0.10006881 ETH,613
26,0x2fd6181541bebe30d17cf3a5d9f40ebcecbdba43,Kyber: MultiSig 2,0.08122589 ETH,1290
27,0x87887cf0e37d937f989ab76b99e4f4682da044c4,Opyn: Proxy,0 ETH,307
28,0x98ea2d8438f70ce876c2db26fc494cfed10b4cd7,PoolTogether: MultiSig,0.36425377 ETH,285
29,0x2b384212edc04ae8bb41738d05ba20e33277bf33,Sybil Delegate: Arr00,3.02720877 ETH,272
