,Address,Name Tag,Balance,Txn Count
0,0xe710ced57456d3a16152c32835b5fb4e72d9ea5b,dYdX: Community Treasury,0 ETH,3
1,0x8a6629feba4196e0a61b8e8c94d4905e525bc055,dYdX: Admin Impl,0 ETH,1
2,0x57b98aa8a8b69c6295195d153fe6edd0b0d176ac,dYdX: Auction Proxy,0 ETH,1246
3,0x2c0df87e073755139101b35c0a51e065291cc2d3,dydx: Bridge,0 ETH,1
4,0xfbc08a66f8bac391f21472d9625c1092ff41cc04,dYdX: Bucket Lender Factory,0 ETH,1
5,0x0fd829c3365a225fb9226e75c97c3a114bd3199e,dYdX: Claims Proxy,0 ETH,70046
6,0x787f552bdc17332c98aa360748884513e3cb401a,dYdX: Dai Price Oracle,0 ETH,1275
7,0xa2f79147143e9100e1dd65df277ac54825197148,dYdX: Deployer,0.0000417 ETH,340
8,0x301df37d653b281af83a1ddf4464ef21a622ec83,dYdX: Deployer 1,0.25806484 ETH,190
9,0x686f7d0b698b6780a8ce1d6ae13bb8c813552ff3,dYdX: Dutch Auction Closer,0 ETH,1
10,0x639192d54431f8c816368d3fb4107bc168d0e871,dYdX: DYDX Distributor,0 ETH,8
11,0x92d6c1e31e14520e676a687f0a93788b716beff5,dYdX: DYDX Token,0 ETH,234618
12,0x2657eca107d7c2abcf72c7a97c8eeef863c22507,dYdX: Erc20 Long Factory,0 ETH,1
13,0xd5e3e6f3f5de6c778bcd31e175e7b4a543b9d89d,dYdX: ERC20 Long Factory 2,0 ETH,1
14,0x5be497a12e92b8deb68da9d0ed9943f8dc3067ca,dYdX: ERC20 Position Withdrawer,0 ETH,39
15,0xf57263953d4d02707cc26b64b920820cd310a01d,dYdX: ERC20 Position Withdrawer V2,0 ETH,354
16,0xc72786ad71b5ef5326299409d5fe6912c05635ab,dYdX: Erc20 Short Factory,0 ETH,1
17,0x4cf98de1793ef45a2cfe9c622d871c63d61ecb28,dYdX: ERC20 Short Factory 2,0 ETH,1
18,0x1098898efacd41e1824cd610f52d0f8690bdc87a,dYdX: Erc721 Margin Position,0 ETH,1
19,0x61fa58d7ef40d6f6853740330b62ccad34f8bc04,dYdX: Eth Wrapper Bucket Lender,0 ETH,58
20,0x0ece224fbc24d40b446c6a94a142dc41fae76f2d,dYdX: Expiry,0 ETH,2
21,0xf6b83ccadeee478fc372af6ca7069b14fbc5e1b1,dydx: FRI Statement,0 ETH,119442
22,0x7e9b1672616ff6d6629ef2879419aae79a9018d2,dYdX: Governance,0 ETH,2087
23,0xc8c212f11f6acca77a7afeb7282deba5530eb46c,dYdX: GPS Statement Verifier,0 ETH,13596
24,0x3de55343499f59ceb3f1de47f2cd7eab28f2f5c6,dYdX: Gps Statement Verifier Governor,0.31526552 ETH,503
25,0x8129b737912e17212c8693b781928f5d0303390a,dYdX: L2 On-Chain Operator,32.78100687 ETH,247964
26,0xd54f502e184b6b739d7d27a6410a67dc462d69c8,dYdX: L2 Perpetual Smart Contract,0 ETH,156785
27,0x36bf21c8e661b21e6166e4385f574941fdc6caff,dYdX: Margin,0 ETH,4101
28,0xefbcce4659db72ec6897f46783303708cf9acef8,dYdX: Memory Page Fact Registry,0 ETH,60156
29,0x0d62bac5c346c78dc1b27107cabc5f4de057a830,dYdX: Merkle Statement,0 ETH,41007
30,0xd72136c6da6ae959b5960c204edf8bc260087bca,dYdX: Oasis V1 Simple Exchange Wrapper,0 ETH,1
31,0xf85baccc3e7fd4b6a49818fc46503bb51539d554,dYdX: Oasis V2 Simple Exchange Wrapper,0 ETH,1
32,0x89b5925a310b22e3e51cf9e2b3405a8c9b680835,dYdX: Oasis V3 Simple Exchange Wrapper,0 ETH,1
33,0xcb17e969288ae849d5e0717694c5c56e70e798ed,dYdX: Open Directly Exchange Wrapper,0 ETH,1
34,0x56e7d4520abfecf10b38368b00723d9bd3c21ee1,dYdX: Operation Impl,0 ETH,1
35,0xa8b39829ce2246f89b31c013b8cde15506fb9a76,dYdX: Payable Proxy For Solo Margin,0 ETH,120372
36,0x09403fd14510f8196f7879ef514827cd76960b5d,dYdX: Perpetual Proxy,0 ETH,35873
37,0xad91a0ddf799176a0a87a32dafe8f3dd28479918,dYdX: Polynomial Interest Setter,0 ETH,1
38,0xb9431e19b29b952d9358025f680077c3fd37292f,dYdX: Rewards Treasury,0 ETH,3
39,0x2a842bc64343fad4ec4a8424ba7ff3c0a70b6e55,dYdX: Signed Operation Proxy,0 ETH,94102
40,0x1e0447b19bb6ecfdae1e4ae1694b0c3659614e4e,dYdX: Solo Margin,0 ETH,387580
41,0xeafd335c0e72bb89857972ee7a3ba90bd5a2f7fd,dYdX: Token Proxy,0 ETH,3
42,0x52f1c952a48a4588f9ae615d38cfdbf8df036e60,dYdX: Usdc Price Oracle,0 ETH,1
43,0x5199071825cc1d6cd019b0d7d42b08106f6cf16d,dYdX: Vault,0 ETH,3
44,0x8418bb725b3ac45ec8fff3791dd8b4e0480cc2a2,dYdX: Weth Payout Recipient,0 ETH,1
45,0xf61ae328463cd997c7b58e7045cdc613e1cfdb69,dYdX: Weth Price Oracle,0 ETH,1
46,0x5d4b4d9f5274f72d7d4308597d0ea95b97b094cf,dYdX: ZeroEx V1 Exchange Wrapper,0 ETH,1
47,0xa26d16a21805b14b2977555ffdea34e5e6fc43ba,dYdX: ZeroEx V2 Exchange Wrapper,0 ETH,1
48,0x059550a1ca3c46a2adb803e9e3ea4585a34f004a,Expo,0 ETH,3627
