,Address,Name Tag,Balance,Txn Count
0,0xc8899da25423ac52aa711b97ae04c8888fa1e1d7,MANTRA DAO: Grants,0 ETH,2
1,0xca3d2a53de4d4bcf8b28ddd07f8e325839adb9ca,MANTRA DAO: Treasury,0 ETH,18
2,0x80c3d0975dd8a1305f5a854606cbe492b00c6b8f,MANTRA DAO: Treasury 2,2.55345186 ETH,484
3,0x49a39e062aaf28950f9d0d5fd423dfb3175c0bb1,MANTRA DAO: zenALPHA Token,0 ETH,179
4,0x4a5b823592c2a1e95502c0b55afba2397e71799d,MANTRA DAO: zenBADGER Token,0 ETH,169
5,0x07d22cd5d483b1242518d5cd26b21b552f0cfcdb,MANTRA DAO: zenDVG Token,0 ETH,181
6,0x25942b9496282ce18c3b8d8c722ccf8e5112b252,MANTRA DAO: zenENJ Token,0 ETH,87
7,0x90ea640fd96b10d79b95166ea9d4b5fb2fb4f4be,MANTRA DAO: zenGRT Token,0 ETH,277
8,0xd7756be9aedc211a9d5677d7d67295e6d7dd86c7,MANTRA DAO: zenINJ Token,0 ETH,301
9,0x6a4e7daf7e1244944bda17390b1ec5f44c9df671,MANTRA DAO: zenKYL Token,0 ETH,193
10,0xaab14c2115aad338cedb93e423834897651a3ee2,MANTRA DAO: zenLABS Token,0 ETH,281
11,0xa3c5409a987c9325d8598b4731bf513a41c2287d,MANTRA DAO: zenMKR Token,0 ETH,155
12,0x7283fe6ae81f39d07850b78f282037b65448a2bc,MANTRA DAO: zenOMG Token,0 ETH,108
13,0x2dd28391d7552363eed30eb172116cf3e13eca23,MANTRA DAO: zenPAID Token,0 ETH,151
14,0x223f6fc2696beeb0d096a72b8db674e6bd520398,MANTRA DAO: zenRGT Token,0 ETH,52
15,0xf9aea09993e1a43b5f7dcdbd67cda89690a51491,MANTRA DAO: zenROOK Token,0 ETH,359
16,0x8fb35c58e48660a29c80452d3c7bf98fe81de921,MANTRA DAO: zenUTK Token,0 ETH,133
17,0x33a9f9bace23cfb8dad597a564d055ad415648ff,MANTRA DAO: zenZRX Token,0 ETH,116
18,0x813b258d42b0fa787edb48b314ae84235c512ca4,MANTRA: Deployer,0.00042514 ETH,77
19,0xfa0e08b7e80e6e7eecad9800bc32ef19132da295,MANTRA: Deployer 2,1.41556478 ETH,47
20,0x3593d125a4f7849a1b059e64f4517a86dd60c95d,MANTRA: OM Token,0 ETH,60203
