,Address,Name Tag,Balance,Txn Count
0,0x4094aec22f40f11c29941d144c3dc887b33f5504,mStable: Aave V2 Integration FEI Feeder Pool,0 ETH,2
1,0xd658d5fde0917cdc9b10caadf10e20d942572a7b,mStable: Alchemix Integration - alUSD Feeder Pool,0 ETH,2
2,0x4eaa01974b6594c0ee62ffd7fee56cf11e6af936,mStable: alUSD Feeder Pool,0 ETH,152
3,0x442f3874f0f983fb64d4c989bb6465a22ba9f8fe,mStable: alUSD Feeder Pool Logic,0 ETH,1
4,0x0997dddc038c8a958a3a3d00425c16f8eca87deb,mStable: alUSD fPool Savings Vault,0 ETH,273
5,0xc522b0135d152d20c9ba87a8e4dae5597056043e,mStable: alUSD fPool Savings Vault Logic,0 ETH,1
6,0xf43b1f4ace6727ae9ce0a7f89c0a013a565017aa,mStable: Aragon Token,0 ETH,59
7,0xd486c0afd06a72ddb06b25d60c0007a4923442b6,mStable: Aragon Voting,0 ETH,162
8,0x968030d6f08f1b7515ba7b8ba1ff10557a69d7db,mStable: BasketManager,0 ETH,2
9,0x8892d7a5e018cddb631f4733b5c1654e9de10aaf,mStable: Boost Director,0 ETH,36
10,0x1c728f1bda86cd8d19f56e36eb9e24ed3e572a39,mStable: BTC Savings Contract Logic,0 ETH,2
11,0x875d56e691a4c85b32e13d6ac846f6a84bc57384,mStable: BUSD Aave Integration,0 ETH,2
12,0xfe842e95f8911dcc21c943a1daa4bd641a1381c6,mStable: BUSD feeder pool,0 ETH,367
13,0xac98ffc901d6bb634be06f6d3fe63893b1af6535,mStable: BUSD Feeder Pool Aave Integration,0 ETH,2
14,0x2a15794575e754244f9c0a15f504607c201f8afd,mStable: BUSD Feeder Pool Iron Bank Integration,0 ETH,2
15,0x62aa1d6c2c591443ee32066773eb7b7be09e063c,mStable: BUSD Feeder Pool Logic,0 ETH,1
16,0xd124b55f70d374f58455c8aedf308e52cf2a6207,mStable: BUSD fPool Savings Vault,0 ETH,770
17,0xb1ad72924cd5438f74c6bfc8a6e5c6032d99851b,mStable: BUSD fPool Savings Vault Logic,0 ETH,1
18,0x5c8eb57b44c1c6391fc7a8a0cf44d26896f92386,mStable: DelayedProxyAdmin,0 ETH,1
19,0x19f12c947d25ff8a3b748829d8001ca09a28d46d,mStable: Deployer,0.00212826 ETH,411
20,0x881c72d1e6317f10a1cdcbe05040e7564e790c80,mStable: EARN Pool,0 ETH,2713
21,0xf7575d4d4db78f6ba43c734616c51e9fd4baa7fb,mStable: EARN Pool 2,0 ETH,2445
22,0x25970282aac735cd4c76f30bfb0bf2bc8dad4e70,mStable: EARN Pool 3,0 ETH,1735
23,0xf4a7d2d85f4ba11b5c73c35e27044c0c49f7f027,mStable: EARN Pool 4,0 ETH,3727
24,0x9b4aba35b35eee7481775ccb4055ce4e176c9a6f,mStable: EARN Pool 5,0 ETH,6271
25,0x0d4cd2c24a4c9cd31fcf0d3c4682d234d9f94be4,mStable: EARN Pool 6,0 ETH,2415
26,0x98c54fd8c98eaf0938c4a00e7935a66341f7ba0e,mStable: Feeder Interest Validator,0 ETH,1
27,0x2837c77527c37d61d9763f53005211dacb4125de,mStable: Feeder Logic,0 ETH,1
28,0x90ae544e8cc76d2867987ee4f5456c02c50abd8b,mStable: Feeder Manager,0 ETH,1
29,0x2f1423d27f9b20058d9d1843e342726fdf985eb4,mStable: FEI Feeder Pool,0 ETH,16
30,0x1bec13ef99a8e300b3f801bd28f2eb815014e12c,mStable: FEI Feeder Pool Logic,0 ETH,1
31,0xd24099eb4cd604198071958655e4f2d263a5539b,mStable: FEI Feeder Pool Vault,0 ETH,20
32,0xbb90d06371030ffa150e463621c22950b212eaa1,mStable: Forge Validator,0 ETH,1
33,0xd8bae7d96df905e46718b6cee3410f535e11bf20,mStable: Fund Manager,0.00057254 ETH,461
34,0xa2d43af3ae966fba181a74911e917f9f025d840c,mStable: Fund Manager 2,0 ETH,27
35,0x437e8c54db5c66bb3d80d2ff156e9bfe31a017db,mStable: Fund Manager 3,0.001961 ETH,433
36,0x85306936842eb09d9cea45bffaec7a81d126508d,mStable: GUSD Aave Integration,0 ETH,2
37,0x4fb30c5a3ac8e85bc32785518633303c4590752d,mStable: GUSD feeder pool,0 ETH,392
38,0xd51f062104d7c8ee7db100878a454451adfd2811,mStable: GUSD Feeder Pool Aave Integration,0 ETH,2
39,0xaf007d4ec9a13116035a2131ea1c9bc0b751e3cf,mStable: GUSD Feeder Pool Iron Bank Integration,0 ETH,2
40,0x9ab5868f745d8fc6d45ce86dfe057f5b738c90e2,mStable: GUSD Feeder Pool Logic,0 ETH,1
41,0xadeedd3e5768f7882572ad91065f93ba88343c99,mStable: GUSD fPool Savings Vault,0 ETH,869
