,Address,Name Tag,Balance,Txn Count
0,0x0e13ab042ec5ab9fc6f43979406088b9028f66fa,Unit Protocol: CDP Manager 01,0 ETH,5950
1,0xad3617d11f4c1d30603551ea75e9ace9cb386e15,Unit Protocol: CDP Manager01_Fallback,0 ETH,445
2,0x921985f4220e33c202fbb3b7ddc92f46fb219a09,Unit Protocol: Deployer,0.00513794 ETH,8
3,0xf827ac3a510eca8d7f356c9c9d78699d5848cabf,Unit Protocol: Deployer 1,0 ETH,347
4,0x92e187a03b6cd19cb6af293ba17f2745fd2357d5,Unit Protocol: DUCK Token,0 ETH,13489
5,0xb1cff81b9305166ff1efc49a129ad2afcd7bcf19,Unit Protocol: FTM Vault,0 ETH,26
6,0xaef1ed4c492bf4c57221be0706def67813d79955,Unit Protocol: Liquidation Auction 02,0 ETH,113
7,0x1456688345527be1f37e9e627da0837d6f08c925,Unit Protocol: USDP Stablecoin,0 ETH,4353
8,0x203153522b9eaef4ae17c6e99851ee7b2f7d312e,Unit Protocol: Vault Manager Parameters,0 ETH,19
9,0xb46f8cf42e504efe8bef895f848741daa55e9f1d,Unit Protocol: Vault Parameters,0 ETH,14
