,Address,Name Tag,Balance,Txn Count
0,0x17f6227cfd3360238fd2e424043f99c13cd874c7,,0.00210813 ETH,5
1,0x9cf2e49ce506b973e4e7aa55b8f057ebf24ab479,,0.0021295 ETH,5
2,0x20e2c6031d56dd0ddb54c9fd2fa67b9576339cb1,,0.00230734 ETH,6
3,0x2688f1263470004127bf803377cf35d7b9e2cb8e,,0.0020958 ETH,5
4,0x28a7e7b4e67a6299e7556c02578422132e5c0dfb,,0.0021295 ETH,5
5,0x3ea2565f34cb66cc5d0965dad85663d869191d74,,0.0021295 ETH,5
6,0xc4e946d2e1032120fb856e23423c9cee5f279fd2,,0.00192226 ETH,5
7,0x4b51b377876596402bbe7847054b951ab23ec56b,,0.00205808 ETH,5
8,0x39afc779ddbb4dd861c32c08341cad8fc8b5d7c5,,0.0021295 ETH,5
9,0x2b52f524f0ab6cd19693c6faa81f1c5f961da29e,,0.00192226 ETH,5
10,0x5a8f4e7184bdff4161166b522715b3228d1ecfb8,,0.00205808 ETH,5
11,0x234f5f0aa275b77cf9031792e5a4329736d64ddb,,0.00195582 ETH,4
12,0x31e8c574b3c04e4e09e00c5481b11ed0e21c48e8,,0.00196839 ETH,4
13,0x9872964fbf81babf10e4c7380c75a5e452189967,,0.00205808 ETH,5
14,0xb59cd52bc5de6dafd1107a9fab80ae642bed6aeb,,0.00205808 ETH,5
15,0x1c36170138b9b2ff730ec8ae70b4cd9bdfd239f1,,0.00196839 ETH,4
16,0x37f648c8450a54fb737d5de825f18bd494c5bba7,,0.00230734 ETH,5
17,0x2c2ff0ee034c749e93b41423a17d1714301c4846,,0.00205808 ETH,5
18,0xeb9547faf6bb2cf0837ed29d1bbab96062c2c8d4,,0.00273762 ETH,4
19,0xe29797a88a28c1e16d858b8a6918c3e2aad2a975,,0.00219967 ETH,5
20,0x1ef01b7a5b2a2e824947135a906b18e550b1c5a8,,0.0021295 ETH,5
21,0x1fe962895731a986cecd3f912c4b45f41db1e757,,0.00196839 ETH,4
22,0xfb802e71d73945fb4ae3215c4cf7e634905357f4,,0.00230734 ETH,5
23,0x6ca0f134c99ac6b9fead88a4225b2f87d3d5e73f,,0.00219967 ETH,5
24,0x6af0025266b937ee87c0e82787b2f4aa70901114,,0.00216945 ETH,4
25,0x1d2f5140ba3405c588d4d47d2f16412c49490a32,,0.0021295 ETH,5
26,0x811996828d8585e72b5129587130d94477d38730,,0.00230734 ETH,5
27,0xb596bc9eead2664d7412627953484e890c3bb4ac,,0.00260746 ETH,4
28,0x8b6122ca70252375ad94396312c337accd6d0e9f,,0.0021295 ETH,5
29,0xac4a59c37383be94730dfbfafe9c6f26137161cd,,0.0021295 ETH,5
30,0x4d2e408e2c519757c3dc4496ce692d64a183a765,,0.0020958 ETH,6
31,0x573df543aeffef901aa5f70fa867490bac9fbb00,,0.00219967 ETH,6
32,0x606cef8fb49a9a18e0c1961790a5afc06773e58e,,0.00230734 ETH,5
33,0x81f60e8ff50eb4819228556ccc6c09533de73af9,,0.0020958 ETH,5
34,0xb4df4182c9d0fd7adaead15f05dc1ed688eea19f,,0.00214927 ETH,5
35,0x62a3afd0383f1029b901434fd7e452aac74f7394,,0.00195582 ETH,4
36,0x5ed9b5f07daab12eb8c96e26b4531fd80a0ef30d,,0.00196839 ETH,4
37,0xc44c266d66a833fbf87ad700580eadcee61b1a64,,0.0021295 ETH,5
38,0x926f318c5d2656c7bea4e1d813096bca599f3d46,,0.0021295 ETH,5
39,0xbc95e5789d0e767528026f5832bd72c41bdd0381,,0.00202702 ETH,5
40,0xc8566aafceda63a27bce4504f6ccf82668f9ebfb,,0.0020958 ETH,5
41,0xc65dbf663d45b29acbcad012829661346bd57cd6,,0.00205808 ETH,5
42,0xac68b84357d5bea05b515dc8ee24b9ab35a6534b,,0.00195582 ETH,4
43,0xa61fc60281af6e94b01098121ccf87f3ad8a1e59,,0.0020958 ETH,5
44,0x3cd0ec165407af9df06d9068013a4f37cb74d429,,0.0021295 ETH,5
45,0x278e48943a4052d72ac804dfb7e163c03569a961,,0.00205808 ETH,5
46,0xfd21e1b6eacb801cc5d363a9108c1b592edb82eb,,0.00202702 ETH,5
47,0x04313877fe1d195e41c61a274babdcd1defaa83d,,0.00216945 ETH,4
48,0xf02224c040de7c2d0e8392cce4600b3c935a9d82,,0.00186431 ETH,4
49,0xc471a2ab188d39c5b6edfe6435ef821f50748b54,,0.0021295 ETH,5
50,0x633b177ff15d1599cdd7324cfa03571d5d483331,,0.0020958 ETH,5
51,0x51ba85e27cf739f7a84c676f2e8fb24ee07a07f6,,0.00230734 ETH,5
52,0x8c3a7cc804276d2a1695a0b8ee86f89be2a30133,,0.00230734 ETH,5
53,0x1aa50b44c4d796919935fd92324727b2f5a92506,,0.0020958 ETH,5
