,Address,Name Tag,Balance,Txn Count
0,0x79e2b9c1f6c9ed1375c93aaf139e6c4537f48523,,0.1387766 ETH,81
1,0x4528fd7868c91ef64b9907450ee8d82dc639612c,,0.58569339 ETH,80
2,0x4600d3b12c39af925c2c07c487d31d17c1e32a35,,0.09108994 ETH,15
3,0xe83de7de49d5a0e0e9e71ecfd8990e894005d2e4,,0.00422201 ETH,18
4,0x83a15cb9781458b421ad11def469586242cd06cb,,0.02916345 ETH,4
5,0x11e9c2575a8afdb96a8adc3a928cb6f970734b70,0xACID: Deployer,0.02001591 ETH,134
6,0xb61ac32dcc163b3904cb246120c1830196c27e5f,18/02/23 - Token update (Afiq): Deployer,0.64367496 ETH,29
7,0xacda3e5b34f574ed962659518ec2973c69dda9dd,1912: Deployer,0.54232199 ETH,10
8,0x369d2959438e1a9bd7a1662bc3e08070640aa997,3xcalibur: Deployer,0.00362948 ETH,806
9,0x4365f8e70cf38c6ca67de41448508f2da8825500,Aave: Deployer,0.07569609 ETH,702
10,0xdec0ded0606b7d0560adebd6c3a919a671db4d66,Agave: Deployer,0.00983858 ETH,109
11,0xb4b8b6f88361f48403514059f1f16c8e78d61ffd,Aliased L1 ERC20 Gateway,0.02711566 ETH,83384
12,0x8749c817e138a8c0244cf45ca6db684669b8c2ff,AlienFi: Deployer,0.03241993 ETH,335
13,0x6b6cdb40ea76dca168d77c2225782fdaa83212a1,Alt Markets: Deployer,0.02633179 ETH,198
14,0xe3f641ad659249a020e2af63c3f9abd6cffb668b,Alta Finance: Deployer,0.00035083 ETH,20
15,0xc877af078cdd6904dcad875e15388be0d18cbfe4,Amy Finance: Deployer,0.0039212 ETH,1111
16,0xfda462548ce04282f4b6d6619823a7c64fdc0185,Angle Protocol: Deployer,0.94204069 ETH,190
17,0x845f67df76391f91a2d378d3c13006456592c939,ApeX Protocol: Deployer,0.24265186 ETH,450
18,0xf0ceeb80b320ead1fee5e6b6d2c66403d88c9d2d,ArbCate: Deployer,0.0772434 ETH,83
19,0xc694c44a735935564defc2303f13b007c015c2b5,Arbi Shib: Deployer,0.00109732 ETH,119
20,0x4ec77d7fe712f05b4a7c5d1a8736bdf781351c91,Arbidoge: Deployer,0.06986799 ETH,18
21,0xbf42f27077014b91031c54751baaacf1d6e79e8e,ArbiFLUX: Deployer,0.00244476 ETH,9
22,0xd30c61dd6e2673a2765c0dd47a3e13041e2cafd5,ArbInu: Deployer,0.03589202 ETH,41
23,0x8602ee2f8aaeb671e409b26d48e36dd8cc3b7ed7,ArbiNYAN: Deployer,1.0181281 ETH,149
24,0x1d427f8f08cd8b40bf07f58f11acf39cf45504b0,ArbiRise Finance: Deployer,1.94676098 ETH,142
25,0x85b6d0a0623e3ec7dde67e2274baa74d553ec5e8,ArbiRoul: Deployer,0.02157753 ETH,456
26,0x652bfd562a1fa6cf6c6aaa2a79b8fd165ee8544d,Arbitama: Deployer,0.84508148 ETH,32
27,0x2b9acfd85440b7828db8e54694ee07b2b056b30c,Arbitrum Foundation: Deployer,18.91860563 ETH,1405
28,0xf49d3da88cafdf6929f4097d834429e2019be55f,Arbitrum Games: Deployer,0.00011672 ETH,96
29,0xbb1a241dcbd6a3894cb61f659034874dc9cf65d4,Arbitrum: Deployer 1,0.04976892 ETH,90
30,0x526f174484412b6e3023bf407d2a4d2a3676f720,Arbitrumium: Deployer,0.00004678 ETH,15
31,0xa3b113fba39133b7a9d544a45713a296945ff7b4,Arbucks: Deployer,0.00803933 ETH,29
32,0xeb7d0be769cf857afa5626b5f8208528f034b1da,Arbys Token: Deployer,6.62535195 ETH,192
33,0x91d9edee7f6bebcc8ce12f6cd438e40994e87528,ArbZilla: Deployer,0.00900927 ETH,44
34,0xfc2ec93a918b44e30a163e7daeb02f62595407f3,arcadeum: Deployer,0.11154094 ETH,459
35,0x2add64a6077aa946282da263a839dd0caa0d1668,Area 51: Deployer,0.04913789 ETH,51
36,0x77777eef36045851c3e1832ac0815d0c894ce09f,Arken Finance: Deployer,0.00510722 ETH,86
37,0x369d1c11b4e520223eb8694961c9d11dc423dd45,Ascension Protocol: Deployer,0.03637583 ETH,82
38,0x8a3e5364d3662e941183810543d03d6156b5f982,AsgardX: Deployer,0.00001682 ETH,53
39,0xb5796a24ededad76f4f4affa17b76aeb9a0da3bc,Axelar USDC: Deployer,0.30197532 ETH,2232
40,0xa1aed6f3b7c8f871b4ac27144ade9fda6fbcd639,Axolittles: Deployer,0.00002166 ETH,93
41,0x697a71353a4bc1eb1356763018a229c27a3fba0c,Balancer: Deployer,0.00095064 ETH,24
42,0xfd1dc8bf39bc0e373068746787c1296a5aef31ee,Banano: Deployer,0.03091033 ETH,35
43,0x0937132a9ee246fe9f41bebf585c270399afc201,Base Jumper: Deployer,0.12135399 ETH,67
44,0x902f6bfeca88e7ed58bb0f669901c482571ae0c7,BattleFly: Deployer,0.12180022 ETH,135
45,0x55986cc9eb57e29875a80a7f70b9abcef063cfaf,BitcoinBR: Deployer,0.00098464 ETH,182
46,0x4acb2e195f3fedac62499351f534ed795a320c12,Bitcointry: Deployer,0.0259445 ETH,19
47,0x7e9da0832bdb880a2663203c212d933f4c3668c6,Bitindi Chain: Deployer,0.06920156 ETH,17
48,0x3df3c01b72dc5d63565af0bcb20d847227c2201a,BitKeep: Deployer,0.01979738 ETH,32
49,0xa21ff368fe504eb266ab34f346ee821994fc0410,Black Rabbit AI: Deployer,0.08300859 ETH,25
50,0xce0042b868300000d44a59004da54a005ffdcf9f,BOB: Deployer,0 ETH,79
51,0x30d5d30e43b6167a345f3d71d61673464e16d711,Brinc Finance: Deployer,0.11236051 ETH,779
52,0x07c648648a6bd4ab688a1995fc049285f541fe20,Bro Kwon's Booty: Deployer,6.92747891 ETH,57
53,0xfa1e2dd94d6665bb964192debac09c16242f8a48,Buffer Finance: Deployer,0.16791173 ETH,3905
54,0xf233d122f96ffb3a283e712b4c439cba176c548d,Burnitrum: Deployer,0.13656227 ETH,237
55,0x01bb7b44cc398aaa2b76ac6253f0f5634279db9d,Camelot: Deployer,0.43055534 ETH,751
56,0xce89acf189a266ed6d0e027bf505e52e89c16d91,Carbon Finance: Deployer,0.00076123 ETH,50
57,0x3d9807e4c453222059358b046056934e22ef19c1,Carbon Linked: Deployer,0.00004422 ETH,19
58,0xc120fee4140a9e82943d87d81b2dbafa728d8317,Carbon: Deployer,0.03068355 ETH,25
59,0x54812dbab593674cd4f1216264895be48b55c5e3,Cask Protocol: Deployer,0.07202143 ETH,78
60,0x961a14beabd590229b1c68a21d7068c8233c8542,CheckDot: Deployer,0.99632439 ETH,11
61,0x98b82c57e75abab340eb77c7460cadb863808bac,Chromium Dollar: Deployer,0.00002426 ETH,48
62,0xfe07d499e17482e5c4f40783ece3135dbdfe5d37,Connect Financial: Deployer,0.00002288 ETH,60
63,0xade09131c6f43fe22c2cbabb759636c43cfc181e,Connext: Deployer,0.07565113 ETH,218
64,0x775590f0cf2c435f8bb2e4e16e9250cd34443bc1,CreDA: Deployer,0.05379194 ETH,78
65,0x9d1a807355056442f878f3bbc22054a0677e7995,Cryptex Finance: Deployer,0.01320723 ETH,54
66,0xbb9119e0f037c9716d09e3bf021a3836b94ff67f,Crypto Royale: Deployer,0.00394918 ETH,7
67,0x0b3d7b3f149214f8f5281b5ae613b090fd39bd3f,Crypto Volatility Index: Deployer,0.04098303 ETH,243
68,0x4b5922abf25858d012d12bb1184e5d3d0b6d6be4,CUDL Finance: Deployer,6.00899844 ETH,949
69,0x83924e2572ef462a42d8027041808d85fdde0ffc,DeFIL: Deployer,0.00192329 ETH,507
70,0x18b4287fa4155efd149aece678a75bbd69ede0b8,Deus Finance: Deployer,0.09139723 ETH,8
71,0x6c31eb825b69185dddbe101a241d2f771329a440,deUSDC: Deployer,1.14015415 ETH,167
72,0xde6d6f23aabbdc9469c8907ece7c379f98e4cb75,dForce Network: Deployer,0.65726196 ETH,684
73,0x70a0d319c76b0a99be5e8cd2685219aea9406845,dForce: Deployer 2,0.04416581 ETH,279
74,0x5737bf56559dd32d8880cfa236fe613e2162e157,DIA Data: Deployer,0.00421286 ETH,12
75,0x0381b2fc1be83891520c0c374eae05d9448fdaf9,Digital Files: Deployer,0.00003709 ETH,17
76,0xd81aeab3430c60ee978b29a54cf64bf78c6c1dba,Dinosaur. Finance: Deployer,0.00001257 ETH,239
77,0x1d8cf1c5735b92c52cad6f9ce61fd3a7eccf5f79,Doora Inu: Deployer,0.0194916 ETH,178
78,0xda3ad846a89d6e7cd9c5f6e5a9f11adbe2da6e7b,DTRUMP INU: Deployer,0.00102876 ETH,19
79,0xed6e07ea474e549631667ac4a60e92eaa57771d3,Edgeware: Deployer,0.00770803 ETH,2
80,0x9a480c450caa1f69e824a7c04304d234e05daced,El Dorado Exchange: Deployer,0.05134096 ETH,375
81,0x23afaba6def569254b0dcff25ade29e0528a5ab4,Elfswap: Deployer,0.00821877 ETH,4
82,0x6bc5fc9d0d908ef8444a7d8f6a7e1a7050a82084,Elk Finance: Deployer,0.07987334 ETH,6
83,0x84c8bd99df40626f6d9cb9a1e71d2f65278d75fa,ELLERIUM: Deployer,0.98787746 ETH,1730
84,0x331626d097cc466f6544257c2dc18f60f6382414,EthereumMax: Deployer,0.00621957 ETH,119
85,0x3882fdf273c497a6256e41c85485ed806eae9bbf,Factor: Deployer,0.02226649 ETH,9
86,0xccad6fbec3814458ad88734cdc397b075e0d7ba0,Farmland: Deployer,0.1343937 ETH,517
87,0x1272c99befa7a70f935edca81bf9a6e85c6d9d59,Fiat24: Deployer,0.09905739 ETH,814
88,0xa2438524d704232d610af0aeb27a790ce59f86ea,Fluid Finance SA: Deployer,0.24513921 ETH,152
89,0xf32d5db0b04e251a85590a4e865be91a001f1937,Fluidity Money: Deployer,0.13250299 ETH,21
90,0x5a33b47507e5225fcd7df11de06c84680ea5db87,Follow Me: Deployer,0.00002196 ETH,32
91,0x8e0a2c383a9f5edf5f04948a2966999666341670,FonAI: Deployer,0.09709482 ETH,29
92,0x9124b49270a464ddb6f36dc212eee5b1d69d5133,Frax Finance: Deployer,1.28309604 ETH,125
93,0xec9581354f7750bc8194e3e801f8ee1d91e2a8ac,Gains Network: Deployer,0.40978253 ETH,1865
94,0x5ffc120734ce00002b43919d27e70d881f02f8ef,Galxe: NFT Deployer,0.4114367 ETH,39
95,0x4c6ca73420362c521a05aac7eef12f2ea9eb8c5d,GamblerShiba: Deployer,0.00935277 ETH,454
96,0x93875c22102dd86a38d5bb94e91caafa5b1e5410,Garbi Protocol: Deployer,0.00246551 ETH,73
97,0x4bf7a0c21660879fdd051f5ee92cd2936779ec57,GMD Protocol: Deployer,5.08506814 ETH,4296
98,0x5f799f365fa8a2b60ac0429c48b153ca5a6f0cf8,GMX: Deployer,4.86375572 ETH,6928
99,0x6b46abc2f562b510911ed402acb22651367581af,Goblin: Deployer,0.04030079 ETH,857
100,,Sum of 244 Accounts,144.14456843 ETH,170790
