,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0xF763fa322Dc58dEe588252fAFee5f448e863b633,Carbon Token (SWTH),"$14,820,913",47,
1,2,0xfc77b86f3ade71793e1eec1e7944db074922856e,Mugen (MGN),$0,1287,
2,3,0xb40dbbb7931cfef8be73aeec6c67d3809bd4600b,prePO Token (PPO),$0,952,
3,4,0x93c15cd7de26f07265f0272e0b831c5d7fab174f,Liquid (LIQD),$0,1659,
4,5,0xa943F863fA69ff4F6D9022843Fb861BBEe45B2ce,Tangle (TNGL),$0,144,
5,6,0x463913d3a3d3d291667d53b8325c598eb88d3b0e,SolidLizard dex token (SLIZ),$0,3103,
6,7,0x6740Acb82ac5C63A7ad2397ee1faed7c788F5f8c,AlienFi (ALIEN),$0,1921,
7,8,0x60f7fd9977584793961d2ef293b8cbd6b3689710,Subsmate (SUBS),$0,7,
8,9,0xC337208Bb7ffB850A913aE26621cee5EF30Bf11d,PooChain (POOP),$0,44,
9,10,0x7f465507f058e17ad21623927a120ac05ca32741,Arcadeum (ARC),$0,4289,
10,11,0xf97307d029643c7551c1e0eefab51206076735d3,Staked ARC (sARC),$0,581,
11,12,0x1055f9956824c333ab52b6a87cc1feec8797e473,Burnt ARC (xARC),$0,163,
12,13,0xf740366cb77094ff0cb51770d0eaff58bf1697be,Escrowed ARC (esARC),$0,7,
