,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0xfa7f8980b0f1e64a2062791cc3b0871572f1f7f0,Uniswap (UNI),"$4,335,902,122",18538,
1,2,0x040d1edc9569d4bab2d15287dc5a4f10f56a56b8,Balancer (BAL),"$272,914,850",18419,
2,3,0x4e352cf164e64adcbad318c3a1e222e9eba4ce42,MCDEX Token (MCB),"$31,042,712",4126,
3,4,0x0c880f6761f1af8d9aa9c466984b80dab9a8c9e8,Pendle (PENDLE),"$30,766,116",1546,
4,5,0x3d9907f9a368ad0a51be60f7da3b97cf940982d8,Camelot token (GRAIL),"$28,198,151",17754,
5,6,0xada42bb73b42e0472a994218fb3799dfcda21237,ZigZag (ZZ),"$24,782,635",1291,
6,7,0x55678cd083fcdc2947a0df635c93c838c89454a3,Tokenlon (LON),"$15,817,005",1672,
7,8,0xa7aa2921618e3d63da433829d448b58c9445a4c3,DeversiFi Token (DVF),"$15,145,858",166,
8,9,0x7b5eb3940021ec0e8e463d5dbb4b7b09a89ddf96,Wombat Token (WOM),"$7,721,532",6,
9,10,0xaaa6c1e32c55a7bfa8066a6fae9b42650f262418,Ramses (RAM),"$2,793,797",2737,
10,11,0x3bd2dfd03bc7c3011ed7fb8c4d0949b382726cee,ROOBEE (ROOBEE),"$1,225,643",6,
11,12,0xde903e2712288a1da82942dddf2c20529565ac30,Swapr (SWPR),"$1,180,018",227224,
12,13,0x794baab6b878467f93ef17e2f2851ce04e3e34c8,YIN Finance (YIN),"$234,870",406,
13,14,0xc36442b4a4522e871399cd717abdd847ab11fe88,Uniswap V3 Positions NFT-V1 (UNI-V3-POS),$0,-,
14,15,0xd6d50e4792a7e65b07f501ae14ab62e0452622eb,Elfswap (ELFS),$0,30,
15,16,0x5837d843d49ffdefc78fe09b5f371427c917946f,QIAN second generation dollar (QSD),$0,89,
16,17,0x3caae25ee616f2c8e13c74da0813402eae3f496b,Camelot escrowed token (xGRAIL),$0,17697,
17,18,0x319e222de462ac959baf2aec848697aec2bbd770,OreoSwap (OREO),$0,3775,
18,19,0x73ed68b834e44096eb4bea6edead038c945722f1,SharkySwap (SHARKY),$0,1760,
19,20,0x6740Acb82ac5C63A7ad2397ee1faed7c788F5f8c,AlienFi (ALIEN),$0,1921,
20,21,0xeE9857dE0e55d4A54D36a5A5a73A15e57435FdCA,AsgardX (ODIN),$0,1336,
21,22,0x2F27118E3D2332aFb7d165140Cf1bB127eA6975d,Gridex (GDX),$0,11811,
