,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0x9fb9a33956351cf4fa040f65a13b835a3c8764e3,Multichain (MULTI),"$181,189,180",4,
1,2,0xee9801669c6138e84bd50deb500827b776777d28,O3 Swap Token (O3),"$2,379,603",471,
2,3,0xdae6c2a48bfaa66b43815c5548b10800919c993e,Hundred Finance (anyHND),$0,2,
3,4,0xd7c295e399ca928a3a14b01d760e794f1adf8990,MCDEX Token (anyMCB),$0,-,
4,5,0x0ebd9537a25f56713e34c45b38f421a1e7191469,QiDao (c),$0,-,
5,6,0x99415856b37be9e75c0153615c7954f9ddb97a6e,Mai Stablecoin (anyMAI),$0,4,
6,7,0x9873795f5dab11e1c0342c4a58904c59827ede0c,SushiToken (anySUSHI),$0,3,
7,8,0xc80931828047985eaa4c9a21bdae610e96046ae5,DIAToken (anyDIA),$0,1,
8,9,0xe6cdd3a275c976bca5d3de4f96c7514b899f0434,Amy Finance Token (anyAMY),$0,-,
9,10,0x3053ad3b31600074e9a90440770f78d5e8fc5a54,Marlin POND (anyPOND),$0,-,
10,11,0xc8a45dd787a301c38ad33f692f0d41c18590ef94,Feisty Doge NFT (anyNFD),$0,1,
11,12,0xa384bc7cdc0a93e686da9e7b8c0807cd040f4e0b,Plunge (anyPLG),$0,1,
12,13,0xb0ae108669ceb86e9e98e8fe9e40d98b867855fd,YIN Finance (anyYIN),$0,-,
13,14,0x340fe1d898eccaad394e2ba0fc1f93d27c7b717a,LEVR - levr.ly Logistics Token (anyLEVR),$0,-,
14,15,0x7c10b66c442fc403ab2b8bd73553d0df262ad8a5,Premia (anyPREMIA),$0,1,
15,16,0xaef9e3e050d0ef060cdfd5246209b0b6bb66060f,Dai Stablecoin (anyDAI),$0,34,
16,17,0x05e481b19129b560e921e487adb281e70bdba463,Tether USD (anyUSDT),$0,409,
17,18,0x1e31e3ba5e246e2f2390d29c778e33a59f6aa6c6,Wrapped BTC (anyWBTC),$0,25,
18,19,0xc6511bf39fd40bc15773eb233c59f2fb22c62112,Rainbow Pool (anyxRNBW),$0,2,
19,20,0x1dd9e9e142f3f84d90af1a9f2cb617c7e08420a4,Wrapped Ether (anyWETH),$0,753,
20,21,0xecb6d48e04d1df057e398b98ac8b3833eb3839ec,Rai Reflex Index (anyRAI),$0,-,
21,22,0x323a07f929f7c4db7631866af151248ae3912d98,Layer2DAO (anyL2DAO),$0,-,
22,23,0xbc2597d3f1f9565100582cde02e3712d03b8b0f6,Balancer (anyBAL),$0,2,
23,24,0x7beb05cf5681f402e762f8569c2fc138a2172978,Curve DAO Token (anyCRV),$0,2,
24,25,0xdf00960e0adfea78ee29da7fcca17cfdddc0a4ca,DEI (anyDEI),$0,2,
25,26,0x6ff0609046a38d76bd40c5863b4d1a2dce687f73,DEUS (anyDEUS),$0,3,
26,27,0x71604bc2766b8045a47b905ffea2038f7cdd43e9,Snowflake (anySNOW),$0,-,
27,28,0x9205c0e50b1d3b9cc01e07887a608683542a35be,anyFISH (anyFISH),$0,1,
28,29,0x3405a1bd46b85c5c029483fbecf2f3e611026e45,USD Coin (Arb1) (anyUSDC),$0,542,
