,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,Tether USD (USDT),"$79,178,751,716",224317,
1,2,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,USD Coin (Arb1) (USDC),"$33,908,425,734",361879,
2,3,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,Dai Stablecoin (DAI),"$5,238,200,862",97730,
3,4,0x4d15a3a2286d883af0aa1b3f21367843fac63e07,TrueUSD (TUSD),"$2,041,170,642",274,
4,5,0x17fc002b466eec40dae837fc4be5c67993ddbd6f,Frax (FRAX),"$1,044,221,912",6977,
5,6,0x680447595e8b7b3aa1b43beb9f6098c79ac2ab3f,Decentralized USD (USDD),"$720,413,164",33,
6,7,0x9d2f299715d94d8a7e6f5eaa8e654e8c74a988a7,Frax Share (FXS),"$556,539,370",3346,
7,8,0x6a7661795c374c0bfc635934efaddff3a7ee23b6,Dola USD Stablecoin (DOLA),"$51,343,413",64,
8,9,0xa970af1a584579b618be4d69ad6f73459d112f95,Synth sUSD (sUSD),"$42,709,201",4,
9,10,0x0385f851060c09a552f1a28ea3f612660256cbaa,dForce USD (iUSX),"$39,847,321",40,
10,11,0xFA5Ed56A203466CbBC2430a43c66b9D8723528E7,agEUR (agEUR),"$20,825,011",12770,
11,12,0x656B80B667a46869144047E6e6C0000C81610253,ANGLE_arbitrum (ANGLE),"$8,474,068",103,
12,13,0x64343594ab9b56e99087bfa6f2335db24c2d1f17,Vesta Stable (VST),"$6,506,231",59262,
13,14,0xd74f5255d557944cf7dd0e45ff521520002d5748,Sperax USD (USDs),"$1,448,288",32057,
14,15,0xe018c227bC84e44c96391d3067FAb5A9A46b7E62,Chromium Dollar (Cr),$0,60,
15,16,0x99415856b37be9e75c0153615c7954f9ddb97a6e,Mai Stablecoin (anyMAI),$0,4,
16,17,0xaef9e3e050d0ef060cdfd5246209b0b6bb66060f,Dai Stablecoin (anyDAI),$0,34,
17,18,0x05e481b19129b560e921e487adb281e70bdba463,Tether USD (anyUSDT),$0,409,
18,19,0xAD435674417520aeeED6b504bBe654d4f556182F,Jarvis Synthetic Euro (jEUR),$0,206,
19,20,0x6fc6dd0ced22982d6a3b3b4789de959a08563a26,Jarvis Synthetic United States Doll... (jUSD),$0,1,
20,21,0xB0B195aEFA3650A6908f15CdaC7D92F8a5791B0B,BOB (BOB),$0,23,
