,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0x13ad51ed4f1b7e9dc168d8a00cb3f4ddd85efa60,Lido DAO Token (LDO),"$1,838,928,506",4529,
1,2,0x17fc002b466eec40dae837fc4be5c67993ddbd6f,Frax (FRAX),"$1,044,221,912",6977,
2,3,0x753d224bcf9aafacd81558c32341416df61d3dac,Perpetual (PERP),"$57,281,226",6,
3,4,0xbfa641051ba0a0ad1b0acf549a89536a0d76472e,Badger (BADGER),"$55,789,124",1422,
4,5,0x5298060a95205be6dd4abc21910a4bb23d6dcd8b,Route (ROUTE),"$28,688,999",4,
5,6,0x7ba4a00d54a07461d9db2aef539e91409943adc9,Stake DAO Token (SDT),"$17,867,979",74,
6,7,0x51318b7d00db7acc4026c88c3952b66278b6a67f,Plutus (PLS),"$10,876,637",264764,
7,8,0xc628534100180582e43271448098cb2c185795bd,Flashstake (FLASH),"$3,271,600",124,
8,9,0x965772e0e9c84b6f359c8597c891108dcf1c5b1a,PickleToken (PICKLE),"$2,450,750",588,
9,10,0xd3Ac016b1B8C80EeAdDe4D186A9138C9324e4189,Okcash (OK),"$1,103,205",374,
10,11,0x848e0ba28b637e8490d88bae51fa99c87116409b,Agave (AGVE),"$1,020,249",10,
11,12,0x6f67043201c903bbcbc129750cb3b328dd56a0a5,BAC (BAC),"$234,577",2,
12,13,0x552e4e96a0ce6d36d161b63984848c8dac471ea2,SakeToken (SAKE),"$204,443",2,
13,14,0xb965029343d55189c25a7f3e0c9394dc0f5d41b1,Indexed (NDX),"$31,601",70,
14,15,0x3642c0680329ae3e103e2b5ab29ddfed4d43cbe5,Plenny (PL2),$0,274,
15,16,0x2c852d3334188be136bfc540ef2bb8c37b590bad,MAGICToken (MAGIC),$0,763,
16,17,0xfac38532829fdd744373fdcd4708ab90fa0c4078,tender LPT (tLPT),$0,1106,
17,18,0x43e4ef7e796a631539f523900da824e73edc3110,Pegasus (PGS),$0,323,
18,19,0xfd559867b6d3445f9589074c3ac46418fdfffda4,Goblin (GOBLIN),$0,967,
19,20,0x3cd1833ce959e087d0ef0cb45ed06bffe60f23ba,Land (LAND),$0,733,
