,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0x18c11FD286C5EC11c3b683Caa813B77f5163A122,Gains Network (GNS),"$220,712,942",12496,
1,2,0x079504b86d38119f859c4194765029f692b7b7aa,Lyra Token (LYRA),"$44,004,788",869,
2,3,0x431402e8b9de9aa016c743880e04e517074d8cec,Hegic (HEGIC),"$19,059,399",1840,
3,4,0x1a5b0aaf478bf1fda7b934c76e7692d722982a6d,Buffer Token (BFR),"$8,229,421",11308,
4,5,0x6aa395f06986ea4efe0a4630c7865c1eb08d5e7e,Jarvis Reward Token (JRT),"$4,876,228",67,
5,6,0xccd3891c1452b7cb0e4632774b9365dc4ee24f20,EDE (EDE),"$842,653",1506,
6,7,0x9b3fa2a7c3eb36d048a5d38d81e7fafc6bc47b25,Aluna (ALN),"$169,903",24,
7,8,0xcafcd85d8ca7ad1e1c6f82f651fa15e33aefd07b,Wootrade Network (WOO),$0,5981,
8,9,0x488cc08935458403a0458e45e20c0159c8ab2c92,Futureswap Token (FST),$0,25,
9,10,0x20f9628a485ebcc566622314f6e07e7ee61ff332,SUM (SUM),$0,132,
10,11,0x43e4ef7e796a631539f523900da824e73edc3110,Pegasus (PGS),$0,323,
11,12,0xb40dbbb7931cfef8be73aeec6c67d3809bd4600b,prePO Token (PPO),$0,952,
12,13,0x954ac1c73e16c77198e83c088ade88f6223f3d44,LeverageInu (LEVI),$0,1040,
13,14,0x27d8de4c30ffde34e982482ae504fc7f23061f61,MyMetaTrader Token (MMT),$0,2296,
14,15,0xbbea044f9e7c0520195e49ad1e561572e7e1b948,MZR (MZR Token),$0,789,
15,16,0x1824a51c106efc27d35a74efb56d9bf54ddb22d4,Perpy-Token (PRY),$0,4055,
