,Address,Name Tag,Balance,Txn Count
0,0xbbbd1bbb4f9b936c3604906d7592a644071de884,Allbridge: Bridge,"5,698.00679928 AVAX",27062
1,0xf5163f69f97b221d50347dd79382f11c6401f1a1,Avalanche Bridge: Bitcoin,"2,541.67837831 AVAX",10212
2,0xeb1bb70123b2f43419d070d7fde5618971cc2f8f,Avalanche: Bridge,"21,459.95865924 AVAX",31022
3,0xf78765bd14b4e8527d9e4e5c5a5c11a44ad12f47,Biconomy: Hyphen Bridge,0.00915533 AVAX,28965
4,0xef3c714c9425a8f3697a9c969dc1af30ba82e5d4,Celer Network: cBridge,0.1 AVAX,184100
5,0xbb7684cc5408f4dd0921e5c2cadd547b8f1ad573,Celer Network: cBridge 2.0,0 AVAX,9512
6,0xdef78a28c78a461598d948bc0c689ce88f812ad8,Cerby: Bridge Fees Wallet,0.00021315 AVAX,131
7,0xef038429e3baaf784e1de93075070df2a43d4278,Cerby: Cross-Chain Bridge,0 AVAX,193
8,0x43de2d77bf8027e25dbd179b491e8d64f38398aa,deBridgeGate,246.82 AVAX,27935
9,0x3c2269811836af69497e5f486a85d7316753cf62,LayerZero: Avalanche Endpoint,0 AVAX,37
10,0xc10ef9f491c9b59f936957026020c321651ac078,Multichain: anyCall V6,1.5 AVAX,226
11,0x4e13c3c78094e60cef02d87fd266cd7aed415f17,Multichain: Moonbeam Bridge,"2,531.90640839 AVAX",5731
12,0xb0731d50c681c45856bfc3f7539d5f61d4be81d8,Multichain: Router V4,0 AVAX,765122
13,0xe5cf1558a1470cb5c166c2e8651ed0f3c5fb8f42,Multichain: Router V4 2,0 AVAX,175623
14,0x833f307ac507d47309fd8cdd1f835bef8d702a93,Multichain: Router V6,0 AVAX,88185
15,0x05f024c6f5a94990d32191d6f36211e3ee33504e,Multichain: Router V6 2,0 AVAX,19523
16,0xb6bb41b1fb8c381b002c405b8abb5d1de0c0abfe,Optics: ERC-20 Bridge,0 AVAX,6
17,0x541ec7c03f330605a2176fcd9c255596a30c00db,Rubic Exchange,0 AVAX,37650
18,0x1afcef48379ecad5a6d790ce85ad1c87458c0f07,Spore: Bridge,0 AVAX,8326
19,0xc05e61d0e7a63d27546389b7ad62fdff5a91aace,Synapse: Bridge,471.22544976 AVAX,183203
20,0x997108791d5e7c0ce2a9a4aac89427c68e345173,Synapse: Bridge Zap,0 AVAX,14618
21,0x0e082f06ff657d94310cb8ce8b0d9a04541d8052,Wormhole: Token Bridge,1.53957 AVAX,105566
22,,Sum of 22 Accounts,"32,952.74463349 AVAX",1722948
