,Address,Name Tag,Balance,Txn Count
0,0x596fa47043f99a4e0f122243b841e55375cde0d2,Avalanche Bridge: 0x.e,0 AVAX,200
1,0xd501281565bf7789224523144fe5d98e8b28f267,Avalanche Bridge: 1INCH.e,0 AVAX,2096
2,0x63a72806098bd3d9520cc43356dd78afe5d386d9,Avalanche Bridge: Aave.e,0 AVAX,11785
3,0x2147efff675e4a4ee1c2f918d181cdbd7a8e208f,Avalanche Bridge: Alpha.e,0 AVAX,2582
4,0x98443b96ea4b0858fdf3219cd13e98c7a4690588,Avalanche Bridge: BAT.e,0 AVAX,367
5,0x19860ccb0a68fd4213ab9d8266f7bbf05a8dde98,Avalanche Bridge: BUSD.e,0 AVAX,6075
6,0xc3048e19e76cb9a3aa9d77d8c03c29fc906e2437,Avalanche Bridge: COMP.e,0 AVAX,236
7,0x249848beca43ac405b8102ec90dd5f22ca513c06,Avalanche Bridge: CRV.e Token,0 AVAX,275
8,0xd586e7f844cea2f87f50152665bcbc2c279d8d70,Avalanche Bridge: Dai.e,0 AVAX,268625
9,0x8a0cac13c7da965a312f08ea4229c37869e85cb9,Avalanche Bridge: GRT.e,0 AVAX,675
10,0x5947bb275c521040051d82396192181b413227a3,Avalanche Bridge: Link.e,0 AVAX,38242
11,0x88128fd4b259552a9a1d457f435a6527aab72d42,Avalanche Bridge: MKR.e,0 AVAX,203
12,0x02d980a0d7af3fb7cf7df8cb35d9edbcf355f665,Avalanche Bridge: SHIB.e,0 AVAX,391
13,0xbec243c995409e6520d7c41e404da5deba4b209b,Avalanche Bridge: SNX.e,0 AVAX,238
14,0x37b608519f91f70f2eeb0e5ed9af4061722e4f76,Avalanche Bridge: SUSHI.e,0 AVAX,6054
15,0x3bd2b1c7ed8d396dbb98ded3aebb41350a5b2339,Avalanche Bridge: UMA.e,0 AVAX,81
16,0x8ebaf22b6f053dffeaf46f4dd9efa95d89ba8580,Avalanche Bridge: UNI.e,0 AVAX,2403
17,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,Avalanche Bridge: USDC.e,0 AVAX,1128601
18,0xc7198437980c041c805a1edcba50c1ce5db95118,Avalanche Bridge: USDT.e,0 AVAX,784877
19,0x50b7545627a5162f82a992c33b87adc75187b218,Avalanche Bridge: WBTC.e,0 AVAX,90311
20,0x49d5c2bdffac6ce2bfdb6640f4f80f226bc10bab,Avalanche Bridge: WETH.e,0 AVAX,519455
21,0xabc9547b534519ff73921b1fba6e672b5f58d083,Avalanche Bridge: WOO.e,0 AVAX,6801
22,0x9eaac1b23d935365bd7b542fe22ceee2922f52dc,Avalanche Bridge: YFI.e,0 AVAX,531
23,0xc7b5d72c836e718cda8888eaf03707faef675079,https://trustswap.com/,0 AVAX,2427
24,,Sum of 24 Accounts,0 AVAX,2873531
