,Address,Name Tag,Balance,Txn Count
0,0x56984f04d2d04b2f63403f0ebedd3487716ba49d,Abracadabra: wMEMO Cauldron,0 AVAX,73937
1,0x5ca135cb8527d76e932f34b5145575f9d8cbe08e,Fraxswap: Factory,0 AVAX,3
2,0xc2544a32872a91f4a553b404c6950e89de901fdb,Fraxswap: Router,0 AVAX,3013
3,0x832cb306640dd33542dba08ca1c13dd6686a3a88,PoolTogether: Receiver Timelock Trigger,0 AVAX,241
4,0x1dd061234744088c36b26e81ec4c9c729507ff28,XPower: LOKI MoE Treasury v5a,0 AVAX,78
5,0x442d629dd3028edf4efcc2aafff00f9d7d1a7470,XPower: LOKI MoE Treasury v5b,0 AVAX,27
6,0xf0f11d6d86346c541ba2ef2f48ad7a58255cd52b,XPower: LOKI MoE v5b,0 AVAX,115
7,0xee231e251b5a422ccf9514fac1362a0a06463ced,XPower: LOKI NFT Treasury v4a,0 AVAX,79
8,0x67044183139be9fb4e11f503f209fe08a26a96c1,XPower: LOKI NFT Treasury v5a,0 AVAX,14
9,0xa3edfaafa10b696356437223e17aee626ddc4fbc,XPower: LOKI NFT Treasury v5b,0 AVAX,6
10,0x961359b67142d4fc86b65a50fdc2b006a0439ca6,XPower: LOKI SoV v5b,0 AVAX,17
11,0x8c1568bee37c650fbee29a53bb36a9ce34e7ff73,XPower: ODIN MoE Treasury v4a,0 AVAX,100
12,0xe30371f7266ea7840c238e9c9f26e795e649e540,XPower: ODIN MoE Treasury v5a,0 AVAX,173
13,0x12cbb4f199b82da9c8df1d35a8ed42f681f64337,XPower: ODIN MoE Treasury v5b,0 AVAX,44
14,0xc326a3efdc529cc3dfedefb01bcd2f5aa9d77147,XPower: ODIN MoE v5b,0 AVAX,81
15,0x2610862b07b2998c6cbb8c56fbfcea8c94bb8ffe,XPower: ODIN NFT Treasury v4a,0 AVAX,187
16,0xfcc32553ef7f77937adba9c3c528a50a71c3593c,XPower: ODIN NFT Treasury v5a,0 AVAX,33
17,0xae24df43f4e78730a5d2614fd47f232c38ed0e10,XPower: ODIN NFT Treasury v5b,0 AVAX,8
18,0x9acec802a2b2fb2d7c89c50cc1d993f1aad0a345,XPower: ODIN SoV v5b,0 AVAX,22
19,0xa2433ff916457694af1edfe499bd61d67312ac8a,XPower: THOR MoE Treasury v4a,0 AVAX,16
20,0x035e35b4f5d76bbeb74ba737a36ee080811769fe,XPower: THOR MoE Treasury v5a,0 AVAX,67
21,0x98b25c7411bf9f1132cc7f32f704d09f1d37b302,XPower: THOR MoE Treasury v5b,0 AVAX,28
22,0x3ccccbf2fbbe7e918617a7fb9799129de3a150b8,XPower: THOR MoE v5b,0 AVAX,259
23,0xd7b2568ce0f91fcb0a8aefc60dae64e3350656c3,XPower: THOR NFT Treasury v4a,0 AVAX,223
24,0x1c4cad5744a9d652ada6239a3d63153bd178e51c,XPower: THOR NFT Treasury v5a,0 AVAX,16
25,0xe31255e7d8781fb5590822f30bdcfd56a9f98583,XPower: THOR SoV v5b,0 AVAX,15
26,,Sum of 26 Accounts,0 AVAX,78802
