,Address,Name Tag,Balance,Txn Count
0,0x23b868bebdfd2d6faedaa92e44aef6c8704612bc,Pendle: BenQi Forge,0 AVAX,2
1,0x21d2e8229fcf1b343085fca9c5c7418a9b0fc361,Pendle: BenQi Yield Deployer,0 AVAX,2
2,0x94d7e5c48ca9627001facb04d1820c54dff3032c,Pendle: Data,0 AVAX,15
3,0x4d0cf9e4d28c85b0cea3c4c68f3c54f9f474af8e,Pendle: Generic Market Factory,0 AVAX,1
4,0xb3c6772f341ad234fa41f8c4f981cf4489dfa6e9,Pendle: OT-PA/PENDLE Liquidity Mining,0 AVAX,681
5,0x224d395e9e123bc9c37bff8bcd845562d5232713,Pendle: OT-qi/USDC Liquidity Mining,0 AVAX,198
6,0xfe60eec35e3c4aad1e69f10957ad0a7d3cfc6cea,Pendle: OT-qi/WAVAX Liquidity Mining,0 AVAX,210
7,0xd0788af7a613b81f437a51b96594a6387c7329b1,Pendle: OT-xJOE Liquidity Mining,0 AVAX,351
8,0xfb98b335551a418cd0737375a2ea0ded62ea213b,Pendle: PENDLE Token,0 AVAX,5288
9,0x4b21630f3680cd2e1139c02f9bf3739e2bd418fa,Pendle: Reward Manager BenQi,0 AVAX,32
10,0x0b1fc9cde816edfb6a269b9eb13616a7dbe714ff,Pendle: Reward Manager Joe Simple,0 AVAX,2
11,0xd7402a0899f3a6c1e62b0993e134d4cb8e834685,Pendle: Reward Manager XJoe,0 AVAX,24
12,0x771ad65bf2837c89a1cc0a0fc601d9de7f217b52,Pendle: Router,0 AVAX,22082
13,0x5802cd94b51b3cd5a8446a6d3fa26c25d97618c2,Pendle: Trader Joe Simple Forge,0 AVAX,3
14,0x09131d750f3f7e646fbdce6dd9699775fa0daaca,Pendle: XJoe Forge,0 AVAX,2
15,0x331a4e4aedea3553b5c31c6a5df6c4a35de30241,Pendle: XJoe Yield Deployer,0 AVAX,2
16,0xd09c0c0c15f9e1fd8b7b2a6dc022a6bacd615a4d,Pendle: Yield Deployer Base V2,0 AVAX,2
17,0x204e698a71bb1973823517c74be041a985eaa46e,Pendle: YT-PA/PENDLE Liquidity Mining​,0 AVAX,1263
18,0x2489a32844556193fb296c22597bdc158e9762a0,Pendle: YT-qi/USDC Liquidity Mining​,0 AVAX,310
19,0x47a3e9d5c87651d4074ef67a160afdb3f42cb242,Pendle: YT-qi/WAVAX Liquidity Mining,0 AVAX,243
20,0xa3e0ca7e35f47f6547c0c2d8f005312c2188e70f,Pendle: YT-xJOE Liquidity Mining,0 AVAX,401
21,,Sum of 21 Accounts,0 AVAX,31114
