,Address,Name Tag,Balance,Txn Count
0,0x80b8d36f2a85ec557ec1955c373961e2221c7540,Alligator: Router,0 AVAX,3286
1,0x60cdc7aca4274ffd2a4af0aa0f7f2add676f42c3,Blackbullswap: Router,0 AVAX,6
2,0x0310a29c841e8cd7205e1526d4f34e4f2e35024f,Router: 0x031...24f,0.04696874 AVAX,2411
3,0x29a519e21d6a97cdb82270b69c98bac6426cdcf9,Router: 0x29a...cf9,5.0650127 AVAX,20428
4,0x33b2ad85f7dba818e719fb52095dc768e0ed93ec,Router: 0x33b...3ec,3.71317564 AVAX,958
5,0x6fd84ba95525c4ccd218f2f16f646a08b4b0a598,Router: 0x6fd...598,0.49072025 AVAX,3873
6,0x7e76de758cd414096a4882ed2824bc513d7ed7c9,Router: 0x7e7...7c9,0.52507785 AVAX,2268
7,0x8fe33192c87b76418cf117981794719adf587645,Router: 0x8fe...645,0 AVAX,55
8,0xae1e59402a3f483f0bbb663800ff21a0f2b1701d,Router: 0xae1...01d,5.71942885 AVAX,6631
9,,Sum of 9 Accounts,15.56038406 AVAX,39916
