,Address,Name Tag,Balance,Txn Count
0,0x587bc7775f88d9a190aa02d30f7df2c9bb183f5d,Snowbank DAO: MIM Minter,0 AVAX,43486
1,0x7d1232b90d3f809a54eeaeebc639c62df8a8942f,Snowbank DAO: SB Token,0 AVAX,130832
2,0x288e6d7f4935c1f4d2862715306d4bdf8dea6592,Snowbank DAO: SB-AVAX Minter,0 AVAX,14805
3,0x90a08fdf9f433954930f19e97fe9a1b0bdbf5c5f,Snowbank DAO: SB-MIM Minter,0 AVAX,37917
4,0xe9eb40d52ce4744322204d4a29af63c30f0260a4,Snowbank DAO: sSB Token,0 AVAX,61786
5,0x85784d5e2ccae89bcb39ebf0ac6cdc93d42d99ad,Snowbank DAO: Staking,0 AVAX,69659
6,0x3d371d925db78f8e46130af95756789ece6387ce,Snowbank DAO: Staking Helper,0 AVAX,99019
7,0xa82422a5fd4f9cb85cd4aac393cd3296a27dd873,Snowbank DAO: Treasury,0 AVAX,140
8,0x472c18c4079ecb68629f4fba1141172404bfee9c,Snowbank DAO: wAVAX Minter,0 AVAX,30620
9,0x2c8ba2705f5fb5ac7217f6c275114725f2f4b88c,Snowdog DAO: SDOG Bond Depository,0 AVAX,26125
10,0xde9e52f1838951e4d2bb6c59723b003c353979b6,Snowdog DAO: SDOG Token,0 AVAX,69121
11,0x99bc52404f3d268ba6c69282443bc5c28fc06fd1,Snowdog DAO: Staking Helper,0 AVAX,34833
12,,Sum of 12 Accounts,0 AVAX,618343
