,Address,Name Tag,Balance,Txn Count
0,0x3709e8615e02c15b096f8a9b460ccb8ca8194e86,,0 AVAX,34762
1,0xc0a031c78fce41b5124d73df869dea5cb9dc3eb4,Vee.Finance: Chainlink,0 AVAX,0
2,0xeef69cab52480d2bd2d4a3f3e8f5ccff2923f6ef,Vee.Finance: Comptroller,0 AVAX,2254
3,0xaf7f6f7a1295dedf52a01f5c3f04ad1b502cda6a,Vee.Finance: Stablecoin Comptroller,0 AVAX,1548
4,0x82fccafc520a051d2b22d376858487a58ab9f862,Vee.Finance: TimeLock,0 AVAX,426
5,0x125605c515e3f75cad62d3613c97a76f13d73a64,Vee.Finance: veAVAX,19.2684751 AVAX,3369
6,0xa4a4c639a8c3d0729d95745381405fbd92711f48,Vee.Finance: veUSDC.e,0 AVAX,2145
7,0x255f6a69f1c7195fd8850ed6de3ef98937915f60,Vee.Finance: veUSDT.e,0 AVAX,1665
8,0x2773604fcf4dea8854e0a9fe7e96ad8f39d7c369,Vee.Finance: veWBTC.e,0 AVAX,857
9,0xf8275d3aa3d7b75ff558a3aa4ad9bab03e33bfb7,vee.Finance: veWETH.e,0 AVAX,1018
10,,Sum of 10 Accounts,19.2684751 AVAX,48044
