,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0xd4d026322c88c2d49942a75dff920fcfbc5614c1,DEAPCOIN (DEP),"$17,302,820.00",127,
1,2,0x62AceEA3e666C5706Ce1c61055fAc1A669d31D93,Kalmar Token (KALM),"$3,617,943.00",136,
2,3,0xb2a85c5ecea99187a977ac34303b80acbddfa208,ROCO (ROCO),"$2,933,181.00",11360,
3,4,0x68ee0d0aad9e1984af85ca224117e4d20eaf68be,Royale (ROY),"$610,237.00",1093,
4,5,0xf891214fdcf9cdaa5fdc42369ee4f27f226adad6,Imperium Empires Token (IME),"$232,124.00",18997,
5,6,0xbf1230bb63bfD7F5D628AB7B543Bcefa8a24B81B,Chronicum (CHRO),"$96,949.00",908,
6,7,0xf69c2fcd9128d49dfa22348c69177f9380438eb8,NFTSoccerGames (NFSG),"$65,932.00",795,
7,8,0x397bbd6a0e41bdf4c3f971731e180db8ad06ebc1,Avaxtars Token (AVXT),$492.00,2783,
8,9,0xbd7bd0b4650d324e3ea6f734faa3fc37d80b7d82,HON - Heroes Token (HRO),$0.00,-,
9,10,0xe6ee049183b474ecf7704da3f6f555a1dcaf240f,NovaXSolarEnergy (XSLR),$0.00,1324,
10,11,0x4c1057455747e3ee5871d374fdd77a304ce10989,NovaXMetal (XMTL),$0.00,1220,
11,12,0x70b4ae8eb7bd572fc0eb244cd8021066b3ce7ee4,NovaXCrystal (XCRS),$0.00,1238,
12,13,0xa64856F831D4793E781A4912A2389052348f9459,AVAXGHOST (AVAXGHOST),$0.00,-,
13,14,0xf15609c283403123271cb266fc2ada15a1603879,Spirit (SPRT),$0.00,404,
14,15,0x7761E2338B35bCEB6BdA6ce477EF012bde7aE611,chikn egg (EGG),$0.00,4144,
15,16,0xc7f4debc8072e23fe9259a5c0398326d8efb7f5c,HeroesChained (HeC),$0.00,23863,
16,17,0xcd6e72ee2eaead8cd1745527f5c94eee85b8e620,TheMatrixMeta (TMM),$0.00,1,
17,18,0x89e7a1efd61a2582b9546cbe98ffdef7b09666b5,Gameverse (GAMER),$0.00,9,
18,19,0x15c841043e13ffaa9a99fabea236d40f45615623,$BUSINESSES (BUSINESSES),$0.00,1171,
19,20,0x8E8148078F913a36C9d8C7FB2da8b479c77c6bA5,BLOOD (BLOOD),$0.00,2395,
20,21,0x4f60a160d8c2dddaafe16fcc57566db84d674bd6,Jewels (JEWEL),$0.00,7801,
21,22,0xeA068Fba19CE95f12d252aD8Cb2939225C4Ea02D,Fief (FIEF),$0.00,1010,
22,23,0x8A0AEd0697a96564ee7e1C38916e6c291D43a9Dd,Aurora (AURORA),$0.00,14,
23,24,0x5085434227aB73151fAd2DE546210Cbc8663dF96,Metaderby token (DBY),$0.00,6126,
24,25,0x1111111111182587795eF1098ac7da81a108C97a,Bold Point Token (BPT),$0.00,8890,
25,26,0x33c7CA334A963e9C8c8b105AA097a7E392a286C7,Level 1 (LVL),$0.00,81,
26,27,0x3025c5c2aa6eb7364555aac0074292195701bbd6,MadSkullz (MADSKULLZ),$0.00,-,
27,28,0xa695ea0c90d89a1463a53fa7a02168bc46fbbf7e,Castle Crush (CC),$0.00,-,
28,29,0xccf719c44e2c36e919335692e89d22cf13d6aaeb,OpenBlox Token (OBX),$0.00,4332,
29,30,0x7A023A408F51c23760Eb31190fc731bc12B52954,Janus Network (JNS),$0.00,7821,
30,31,0x100cc3a819dd3e8573fd2e46d1e66ee866068f30,Dragon Crypto Aurum (DCAU),$0.00,1826,
31,32,0x250bdca7d1845cd543bb55e7d82dca24d48e9f0f,Dragon Crypto Argenti (DCAR),$0.00,1481,
32,33,0x7fEF2139B84EeCEa4088307b2C6D4689d9dbd130,Neko Friends (NKF),$0.00,-,
33,34,0x4E04102284D3E766577Ab62F96453b6E35649eb2,Assemble Series (XEN),$0.00,-,
34,35,0x78Ea3fef1c1f07348199Bf44f45b803b9B0Dbe28,FLY (FLY),$0.00,2350,
35,36,0xfd538ca3f58dc309da55b11f007ff53fb4602876,BattleForGiostone (BFG),$0.00,845,
36,37,0xca8ebfb8e1460aaac7c272cb9053b3d42412aac2,GAU Token (GAU),$0.00,68,
37,38,0x8ae8be25c23833e0a01aa200403e826f611f9cd2,CRAFT (CRAFT),$0.00,20869,
38,39,0x5a15Bdcf9a3A8e799fa4381E666466a516F2d9C8,Snail Trail (SLIME),$0.00,9022,
39,40,0x42747cbb41755966d7d49f829ada6f1ba3affdbf,Orbs for World Of Hunters ($woh_ORB),$0.00,47,
