,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0x9fb9a33956351cf4fa040f65a13b835a3c8764e3,Multichain (MULTI),"$181,241,982.00",2,
1,2,0x340fe1d898eccaad394e2ba0fc1f93d27c7b717a,Orbs (ORBS),"$97,888,263.00",578,
2,3,0x264c1383ea520f73dd837f915ef3a732e204a493,Binance (BNB),$0.00,18195,
3,4,0x02a2b736F9150d36C0919F3aCEE8BA2A92FBBb40,yAxis (anyYAXIS),$0.00,2,
4,5,0xcc9b1f919282c255eb9ad2c0757e8036165e0cad,USD Coin (anyUSDC),$0.00,688,
5,6,0xd67de0e0a0fd7b15dc8348bb9be742f3c5850454,Frax Share (FXS),$0.00,167,
6,7,0x47536f17f4ff30e64a96a7555826b8f9e66ec468,Curve DAO Token (CRV),$0.00,4837,
7,8,0x94977c9888f3d2fafae290d33fab4a5a598ad764,Tether USD (anyUSDT),$0.00,152,
8,9,0x7782046601e7b9B05cA55A3899780CE6EE6B8B2B,BRZ (anyBRZ),$0.00,1,
9,10,0x0802d66f029c46E042b74d543fC43B6705ccb4ba,ApeCoin (APE),$0.00,969,
10,11,0x90b630991ab2fa3bfcf6e7b380830e1c3fb4bc4a,Ripple (XRP),$0.00,118,
11,12,0xe0ce60af0850bf54072635e66e79df17082a1109,IceToken (ICE),$0.00,2756,
12,13,0x7d09a42045359aa85488bc07d0ada83e22d50017,Wrapped Ether (anyETH),$0.00,97,
13,14,0x82197d7446a435105d6F3a430D72a6713960E34D,Inflation Adjusted Spice USD (anyiUSDS),$0.00,4,
14,15,0x56501B0B12Ee9518c2991451Bbc8d7F9267949d2,RadioShack Token (anyRADIO),$0.00,4,
15,16,0xd4143e8db48a8f73afcdf13d7b3305f28da38116,Dai Stablecoin (anyDAI),$0.00,216,
16,17,0x8CE3dfcAe03beb7D2CAb25a1E1434C3791f45DD8,Spice USD (anyUSDS),$0.00,2,
17,18,0x4ecf513a7d0e1548e14b621e21d2584bc7570918,Universal Store of Value (anyUSV),$0.00,11,
18,19,0xfa0ca21da6a94623d953034f140372613f102346,WolfSafePoorPeople (anyWSPP),$0.00,1,
19,20,0x6fefd97f328342a8a840546a55fdcfee7542f9a8,agEUR (agEUR),$0.00,83,
20,21,0xdccd7b567da13a11cde232522be708b2d1a14498,Iron Finance ICE Token (anyICE),$0.00,2,
21,22,0xe705af5f63fcabdcdf5016aa838eaaac35d12890,Crypto Development Services (anyCDS),$0.00,1,
22,23,0xFD14D755a3a3358aEc08d0979ECF369b4A387039,Shack Token (anySHACK),$0.00,1,
23,24,0xA6e822E865fBE37D6EBC6d721947aFbBd9F95C19,OddzToken (anyODDZ),$0.00,5,
24,25,0x7FC5670B2041d34414B0b2178Fc660b1E1faF801,5table Token (any5TABLE),$0.00,1,
25,26,0xa2f9a3323e3664b9684fbc9fb64861dc493085df,USD Coin (anyUSDC),$0.00,5,
26,27,0xdFb5A6b5136186f4fFcf3FE055B48F27793CdBD2,Spice (anySPICE),$0.00,2,
27,28,0xe2d27f06f63d98b8e11b38b5b08a75d0c8dd62b9,Avalanche (anyAVAX),$0.00,24,
28,29,0xc068dfcf3c796438b793f9f77609f0e10fb01f1f,TrueUSD (anyTUSD),$0.00,2,
29,30,0x4551fa2b6625d06179d30c30eedddc05c46d3f20,Wrapped MEMO (anywMEMO),$0.00,3,
30,31,0x32f1200bFb876FBB8f6e6a2Dea8f07F279146422,PSHARE (anyPSHARE),$0.00,11,
31,32,0x3b79a28264fc52c7b4cea90558aa0b162f7faf57,Mai Stablecoin (anyMAI),$0.00,4,
32,33,0x5157629E486b36f5862d163C119c4E86506cA15e,STEP.APP (anyFITFI),$0.00,4,
33,34,0xc789f877fbb6aa4457ee5531cceb76da6d3d1e3f,JoeToken (anyJOE),$0.00,3,
34,35,0x5f1c76b7a90d88ee5bada971a28aaef514719dbf,Arable Protocol (anyACRE),$0.00,1,
35,36,0x2cf7d99c1bff7caa25b737c909637948e6e7781e,Aave Token (anyAAVE.e),$0.00,1,
36,37,0x4de21b78c0478f215f00445e9f04d4076fb72e27,UNIFARM Token (anyUFARM),$0.00,1,
