,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0x62AceEA3e666C5706Ce1c61055fAc1A669d31D93,Kalmar Token (KALM),"$3,617,943.00",136,
1,2,0x9e3ca00f2d4a9e5d4f0add0900de5f15050812cf,NFTrade Token [via ChainPort.io] (NFTD),"$1,477,157.00",716,
2,3,0xb27c8941a7df8958a1778c0259f76d1f8b711c35,Kalao Token (KLO),"$990,312.00",7032,
3,4,0x6e7f5c0b9f4432716bdd0a77a3601291b9d9e985,Spore (SPORE),"$717,021.00",6129,
4,5,0xdebb1d6a2196f2335ad51fbde7ca587205889360,NFTmall GEM Token (GEM),"$85,086.00",29,
5,6,0x595c8481c48894771ce8fade54ac6bf59093f9e8,PolyGaj Token (GAJ),"$8,892.00",285,
6,7,0x78ea17559b3d2cf85a7f9c2c704eda119db5e6de,Avaware (AVE),$0.00,2261,
7,8,0x938fe3788222a74924e062120e7bfac829c719fb,Ape In (APEIN),$0.00,1240,
8,9,0xbd7bd0b4650d324e3ea6f734faa3fc37d80b7d82,HON - Heroes Token (HRO),$0.00,-,
9,10,0xa19871e031d4d76222d0c0c811c5216bcb553507,xGoatz (XGOATZ),$0.00,-,
10,11,0xa5bc94f267e496b10fbe895845a72fe1c4f1ef43,CryptoFrens (FREN),$0.00,-,
11,12,0x0c3b29321611736341609022c23e981ac56e7f96,NovaXPlanet (XPLN),$0.00,-,
12,13,0xab592d197ACc575D16C3346f4EB70C703F308D1E,chikn feed (FEED),$0.00,5513,
13,14,0x7761E2338B35bCEB6BdA6ce477EF012bde7aE611,chikn egg (EGG),$0.00,4144,
14,15,0x3eefb18003d033661f84e48360ebecd181a84709,Islander (ISA),$0.00,31875,
15,16,0x1716c9a1f785b8880a365326bdbd1c4258b13ce6,Scoobi-Doge (SCooBi),$0.00,3,
16,17,0xa2869a58cec44993a7fb5631b8d8215ee1c474a1,RugDust (RDST),$0.00,31,
17,18,0xdab72652c2957c16011f1ecb32d00c2c0b75299c,Frog Frens Spawn (SPAWN),$0.00,206,
18,19,0x00f5d01d86008d14d04e29efe88dffc75a9cac47,FarmLand (FarmLand),$0.00,-,
19,20,0x158cdfa4131965e9d464ae32256b0e0dc9339743,Arsenal NFT (ANFT),$0.00,23,
20,21,0xE09F89fA2f279aDC31943423C5A2C27323cC6BDB,SeaMan (SEAM),$0.00,-,
21,22,0x6241af3817db48a7f9e19fd9446d78e50936d275,JPEG (JPEG),$0.00,491,
22,23,0x3135E8e8E6253e161D63fD84d923F18339c126C8,DeFi Frens (FREN),$0.00,-,
23,24,0x892bb36c427b6e64ab5d1d155e7c8a0b1791b28b,Guest Token (GUEST),$0.00,3107,
24,25,0xaf2e30449f9e7165257a9608f8dcc24e05ca4406,XPower PARA NFT (PARA),$0.00,-,
25,26,0x6d5087b3082f73d42a32d85e38bc95dccede39bb,AvaxApes (AVAXAPE),$0.00,-,
26,27,0xA579885B0FdE890fB5164DD8358359acf2a79e8A,Doobie Love (DOOBIE),$0.00,3,
27,28,0xb8e8D3551789eACC315e68b09661312be36f163A,The Society (TSC),$0.00,-,
28,29,0x449674B82F05d498E126Dd6615a1057A9c088f2C,LostToken (LOST),$0.00,13181,
29,30,0x23cD2E6b283754Fd2340a75732f9DdBb5d11807e,EverRise NFT Stakes (nftRISE),$0.00,-,
30,31,0x6caD7faa3F17e2E845cbf6dEFeBDaE44484d448e,Toonlands (Toonlands),$0.00,-,
31,32,0x90A5CF7D19ED8a3e813C796541eF5125920d8a82,NFT Stakehouse (BONES),$0.00,8,
32,33,0xdC3a5c2d973B52652f87A22002FF1502FBE91b26,Frog Frens (FREN),$0.00,-,
33,34,0x1111111111182587795eF1098ac7da81a108C97a,Bold Point Token (BPT),$0.00,8890,
34,35,0xA90Cded6dad06dF521f22643B2cA98c068CEe866,DigitDonuts (Donuts),$0.00,-,
35,36,0xa72f8821c3668be971b046d744ac4279fd5fc19d,Hamsterz Beach Club (HBC),$0.00,-,
36,37,0x9767203e89dcD34851240B3919d4900d3E5069f1,A4 (A4),$0.00,6,
37,38,0xf4625148efa2d3e160399b3ffb22230c9a4544ed,PrintCoin (PRINT),$0.00,24,
38,39,0x34FeE42698a94C7c6aa5FF674dCC26655Ee9990c,Millionaire Rabbit (MILRAB),$0.00,-,
39,40,0x3025c5c2aa6eb7364555aac0074292195701bbd6,MadSkullz (MADSKULLZ),$0.00,-,
40,41,0x1325cBa8123f2bF381911Ef36E23738F2e2E4697,st0ked (st0ked),$0.00,-,
41,42,0xe52BBe513922ed6E7EFa7cC67f9F8452bbD3cC3d,VM Comics (VMC),$0.00,-,
42,43,0x7a1ac006a24678f5d41b20d309d0d95f892b8ae4,VM Hats (VMH),$0.00,-,
43,44,0x9c466304100861c8a5864939eb5681233f13c20d,VM Gorillas (VMG),$0.00,-,
44,45,0xC3cB0694aaB7826F02bd759e5443017238dC1415,MetaDoors (METADOOR),$0.00,-,
45,46,0x9631be8566fC71d91970b10AcfdEe29F21Da6C27,Intelligent Monsters (IMON),$0.00,14,
46,47,0x7A023A408F51c23760Eb31190fc731bc12B52954,Janus Network (JNS),$0.00,7821,
47,48,0x3ce2aD7261cd6EA10A0BdBbeFCe4B9E4F1b0dc70,RoyalCrows (RC),$0.00,-,
48,49,0x5FC6259e19b93d407c51fe83D6ed147e712cd6Ff,MetaDoors 3D (METADOOR3D),$0.00,-,
49,50,0x74A488BcCb16d90Fd628E75132e49ff067384aA9,NFTArt.Finance (NFTART),$0.00,36,
50,51,0xfe40930c588425ab5e9b6d4b078ad8088225e476,SNFT Collections (SCA),$0.00,-,
51,52,0x65378b697853568da9ff8eab60c13e1ee9f4a654,Husky (HUSKY),$0.00,4001,
52,53,0x7b3b3a547d62536d2f85b1241dc3a2566d2b42d0,AvaxSurfBoards_Phase_One (ASBP1),$0.00,-,
53,54,0xd4ab1b50b6ee66bac6a51fa052a5da84e0eb0d33,AvaxSurfBoards (ASB),$0.00,-,
54,55,0x93a0929477187271C38cC991F5E355e2BEcd09a6,XPower PPTs (XPOWPPT),$0.00,-,
55,56,0x566533a903732dB0Af1DF53eFA388d340DD042FE,XPower NFTs (XPOWNFT),$0.00,-,
56,57,0xd328e7ba481ea9b77c83d7eb402496bbb2b13dc5,C-Checks - Avax Originals (CCHKS),$0.00,-,
57,58,0xd72e9ef9a68d1b46e46438133738017ae5a0eeb1,C-Checks - Avax Nemesis (NCKS),$0.00,-,
58,59,0x5ff3bad71b87ef9a75b3b6e5369c48d987348468,Verified C-Checks (VCHKS),$0.00,-,
59,60,0x2AA5d15Eb36E5960d056e8FeA6E7BB3e2a06A351,Hedgeys (HDGY),$0.00,-,
60,61,0x710d355185ca7d7b4d1b032272627317df40876a,Upgradeable C-Checks (UCHKS),$0.00,-,
