,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0x442f7f22b1ee2c842beaff52880d4573e9201158,Wrapped BNB (Wormhole) (WBNB),$0.00,81,
1,2,0xa41a6c7e25ddd361343e8cb8cfa579bbe5eedb7a,BUSD Token (Wormhole) (BUSD),$0.00,14,
2,3,0x98a4d09036cc5337810096b1d004109686e56afc,PancakeSwap Token (Wormhole) (Cake),$0.00,-,
3,4,0x8b82a291f83ca07af22120aba21632088fc92931,Wrapped Ether (Wormhole) (WETH),$0.00,976,
4,5,0x70928e5b188def72817b7775f0bf6325968e563b,LUNA (Wormhole) (LUNA),$0.00,1109,
5,6,0xf2f13f0b7008ab2fa4a2418f4ccc3684e49d20eb,Wrapped Matic (Wormhole) (WMATIC),$0.00,778,
6,7,0x12af5c1a232675f62f405b5812a80e7a6f75d746,Wrapped ROSE (Wormhole) (wROSE),$0.00,15,
7,8,0xfe6b19286885a4f7f55adad09c3cd1f906d2478f,Wrapped SOL (Wormhole) (SOL),$0.00,557,
8,9,0x6145e8a910ae937913426bf32de2b26039728acf,USD Coin (Wormhole) (USDC),$0.00,52,
9,10,0xb24ca28d4e2742907115fecda335b40dbda07a4c,USD Coin (Wormhole) (USDC),$0.00,45,
10,11,0x543672e9cbec728cbba9c3ccd99ed80ac3607fa8,USD Coin (PoS) (Wormhole) (USDC),$0.00,72,
11,12,0x0950fc1ad509358daead5eb8020a3c7d8b43b9da,USD Coin (Wormhole) (USDC),$0.00,231,
12,13,0xa67bcc0d06d7d13a13a2ae30bf30f1b434f5a28b,Tether USD (Wormhole) (USDT),$0.00,63,
13,14,0xf0ff231e3f1a50f83136717f287adab862f89431,USDT (Wormhole) (USDT),$0.00,54,
14,15,0xb599c3590f42f8f995ecfa0f85d2980b76862fc1,UST (Wormhole) (UST),$0.00,4644,
