,Address,Name Tag,Balance,Txn Count
0,0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,Bitfinex 1,9.9617374 Ether,391319
1,0x36a85757645e8e8aec062a1dee289c7d615901ca,Bitfinex 10,"177,328.30765968 Ether",26
2,0xc56fefd1028b0534bfadcdb580d3519b5586246e,Bitfinex 11,"95,263.26323519 Ether",1
3,0x0b73f67a49273fc4b9a65dbd25d7d0918e734e63,Bitfinex 12,"34,740.37540505 Ether",1
4,0x482f02e8bc15b5eabc52c6497b425b3ca3c821e8,Bitfinex 13,0.26199736 Ether,2
5,0x742d35cc6634c0532925a3b844bc454e4438f44e,Bitfinex 2,"1,341,545.43689507 Ether",17186
6,0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,Bitfinex 3,"40,306.99898567 Ether",2247062
7,0xdcd0272462140d0a3ced6c4bf970c7641f08cd2c,Bitfinex 4,"123,587.69025187 Ether",10
8,0x4fdd5eb2fb260149a3903859043e962ab89d8ed4,Bitfinex 5,"100,116.86592345 Ether",23
9,0x1b29dd8ff0eb3240238bf97cafd6edea05d5ba82,Bitfinex 6,1.37340398 Ether,13
10,0x30a2ebf10f34c6c4874b0bdd5740690fd2f3b70c,Bitfinex 7,2.10290367 Ether,4
11,0x3f7e77b627676763997344a1ad71acb765fc8ac5,Bitfinex 8,0.00103169 Ether,10
12,0x59448fe20378357f206880c58068f095ae63d5a5,Bitfinex 9,"215,368.75591044 Ether",28
13,0x7727e5113d1d161373623e5f49fd568b4f543a9e,Bitfinex: Contract 1,0 Ether,513181
14,0x0e55c54249f25f70d519b7fb1c20e3331e7ba76d,Bitfinex: Contract 2,0 Ether,496
15,0x5dbdebcae07cc958ba5290ff9deaae554e29e7b4,Bitfinex: Deployer 1,11.08707483 Ether,4
16,0x2ee3b2df6534abc759ffe994f7b8dcdfaa02cd31,Bitfinex: Deployer 2,0.986238 Ether,7
17,0xe1f3c653248de6894d683cb2f10de7ca2253046f,Bitfinex: Deployer 3,0 Ether,1848
18,0x2903cadbe271e057edef157340b52a5898d7424f,Bitfinex: Deployer 4,1.75231945 Ether,60
19,0x36928500bc1dcd7af6a2b4008875cc336b927d57,Bitfinex: Deployer 5,0 Ether,141
20,0x14d06788090769f669427b6aea1c0240d2321f34,Bitfinex: Deployer 6,0 Ether,631
21,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,Bitfinex: LEO Token,0 Ether,44976
22,0xab7c74abc0c4d48d1bdad5dcb26153fc8780f83e,Bitfinex: MultiSig 1,0.01470426 Ether,530
23,0xc6cde7c39eb2f0f0095f41570af89efc2c1ea828,Bitfinex: MultiSig 2,0.14412363 Ether,5336
24,0xc61b9bb3a7a0767e3179713f3a5c7a9aedce193c,Bitfinex: MultiSig 3,"100,019.76046368 Ether",110
25,0xcafb10ee663f465f9d10588ac44ed20ed608c11e,Bitfinex: Old Address 1,0.09138507 Ether,8169
26,0x7180eb39a6264938fdb3effd7341c4727c382153,Bitfinex: Old Address 2,0.0035395 Ether,38271
27,0x69c6dcc8f83b196605fa1076897af0e7e2b6b044,Bitfinex: Old Contract 1,0 Ether,13
28,0x8d5a41e85f4ce2433beef476305d307b9205d98d,Bitfinex: Old Contract 2,0 Ether,737
29,0xc581b735a1688071a1746c968e0798d642ede491,Euro Tether: EURT Token,0 Ether,6884
30,0xabdf147870235fcfc34153828c769a70b3fae01f,EURT:undefined,0 Ether,132
31,0x4922a015c4407f87432b179bb209e125432e4a2a,Tether Gold: Old XAUt Token,0 Ether,4769
32,0x5754284f345afc66a98fbb0a0afe71e0f007b949,Tether: Treasury,1.60062186 Ether,3515
33,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether: USDT Stablecoin,1 wei,136825135
