,Address,Name Tag,Balance,Txn Count
0,0xbbbd1bbb4f9b936c3604906d7592a644071de884,Allbridge: Bridge,26.4417167 BNB,71617
1,0x6f817a0ce8f7640add3bc0c1c2298635043c2423,Anyswap: anyETH Token,0 BNB,37550
2,0xb1cb88b1a1992deb4189ea4f566b594c13392ada,AnySwap: Bridge Avalanche,"4,491.68673703 BNB",65607
3,0x4b3b4120d4d7975455d8c2894228789c91a247f8,Anyswap: Bridge Fantom,"6,112.92568655 BNB",290706
4,0xd6faf697504075a358524996b132b532cc5d0f14,Anyswap: Moonriver Bridge,786.71405359 BNB,39900
5,0x5d96d4287d1ff115ee50fac0526cf43ecf79bfc6,Celer Network: cBridge 2.0,0 BNB,21526
6,0x43de2d77bf8027e25dbd179b491e8d64f38398aa,deBridgeGate,134.65 BNB,6619
7,0xfd53b1b4af84d59b20bf2c20ca89a6beeaa2c628,Harmony: Bridge,52.46474393 BNB,159791
8,0xa90a8e34cea28bf9a234d4eac240fb32358b51ab,iSwap: Binance Bridge,0.02346266 BNB,33430
9,0x3c2269811836af69497e5f486a85d7316753cf62,LayerZero: Binance Smart Chain Endpoint,0 BNB,45
10,0x4948ff01cf150e7867d9eeef6272db13fd37c537,Less Network: Bridge,0 BNB,442
11,0x05b70fb5477a93be33822bfb31fdaf2c171970df,Mayan: Swap Bridge,0 BNB,3609
12,0xc10ef9f491c9b59f936957026020c321651ac078,Multichain: anyCall V6,0.32711497 BNB,6730
13,0x92c079d3155c2722dbf7e65017a5baf9cd15561c,Multichain: Bridge,0 BNB,9189
14,0xd1c5966f9f5ee6881ff6b261bbeda45972b1b5f3,Multichain: Router V4,0 BNB,1304298
15,0xabd380327fe66724ffda91a87c772fb8d00be488,Multichain: Router V4 2,0 BNB,194300
16,0xe1d592c3322f1f714ca11f05b6bc0efef1907859,Multichain: Router V6,0 BNB,69850
17,0x638e8fe7ad4d9c05735ecb6b9c66013679276651,Spore Finance: Bridge,0 BNB,8447
18,0xd123f70ae324d34a9e76b67a27bf77593ba8749f,Synapse: Bridge,15.28257795 BNB,148482
19,0x749f37df06a99d6a8e065dd065f8cf947ca23697,Synapse: Bridge Zap 1,0 BNB,145138
20,0x158b536c2ae3afdea1be69fd91f942a2f96e0a6d,Undead Blocks: Bridge,0.01625256 BNB,3855
21,0x98f3c9e6e3face36baad05fe09d375ef1464288b,Wormhole: Binance Smart Chain Core Bridge,0 BNB,9
22,0x5a58505a96d1dbf8df91cb21b54419fc36e93fde,Wormhole: NFT Bridge,0 BNB,2089
23,0xb6f6d86a8f9879a9c87f643768d9efc38c1da6e7,Wormhole: Token Bridge,2.57201334 BNB,438810
24,0x31efc4aeaa7c39e54a33fdc3c46ee2bd70ae0a09,xPollinate: Transaction Manager,0 BNB,61112
25,0xcb9cc9d0f8f4ac451a523d3c064553dd33ea39e3,Zeroswap: BSC Bridge,0 BNB,6754
