,Address,Name Tag,Balance,Txn Count
0,0x540c428d67b6038c7e6199a02605cbb3b6626384,Azbit: Azbit 2,21.01604592 BNB,101
1,0x01c952174c24e1210d26961d456a77a39e1f0bb0,Binance Hot Wallet 10,"252,357.80022784 BNB",2325609
2,0x631fc1ea2270e98fbd9d92658ece0f5a269aa161,Binance: Hot Wallet,8.33074503 BNB,10642413
3,0xeb2d2f1b8c558a40207669291fda468e50c8a0bb,Binance: Hot Wallet 10,"233,033.68062727 BNB",8587159
4,0x161ba15a5f335c9f06bb5bbb0a9ce14076fbb645,Binance: Hot Wallet 11,"245,244.98125726 BNB",4144967
5,0x515b72ed8a97f42c568d6a143232775018f133c8,Binance: Hot Wallet 12,"250,919.60510175 BNB",4403778
6,0xbd612a3f30dca67bf60a39fd0d35e39b7ab80774,Binance: Hot Wallet 13,"247,076.6827179 BNB",4231992
7,0x7a8a34db9acd10c3b6277473b192fe47192569ca,Binance: Hot Wallet 14,2.07118884 BNB,282003
8,0xa180fe01b906a1be37be6c534a3300785b20d947,Binance: Hot Wallet 16,"218,365.09903872 BNB",8922785
9,0x29bdfbf7d27462a2d115748ace2bd71a2646946c,Binance: Hot Wallet 17,"216,872.69867712 BNB",2443450
10,0x73f5ebe90f27b46ea12e5795d16c4b408b19cc6f,Binance: Hot Wallet 18,"205,333.53851311 BNB",2287666
11,0x1fbe2acee135d991592f167ac371f3dd893a508b,Binance: Hot Wallet 19,"229,712.86365559 BNB",2376368
12,0xb1256d6b31e4ae87da1d56e5890c66be7f1c038e,Binance: Hot Wallet 2,5.6953737 BNB,5395317
13,0xf977814e90da44bfa03b6295a0616a897441acec,Binance: Hot Wallet 20,"7,114,733.45459395 BNB",4861
14,0x17b692ae403a8ff3a3b2ed7676cf194310dde9af,Binance: Hot Wallet 3,2.96350866 BNB,985862
15,0x8ff804cc2143451f454779a40de386f913dcff20,Binance: Hot Wallet 4,1.59896992 BNB,785047
16,0xad9ffffd4573b642959d3b854027735579555cbc,Binance: Hot Wallet 5,3.45356336 BNB,823009
17,0x8894e0a0c962cb723c1976a4421c95949be2d4e3,Binance: Hot Wallet 6,"553,889.89657619 BNB",18987846
18,0xe2fc31f816a9b94326492132018c3aecc4a93ae1,Binance: Hot Wallet 7,"195,892.54287084 BNB",14962680
19,0x3c783c21a0383057d128bae431894a5c19f9cf06,Binance: Hot Wallet 8,"250,104.88757178 BNB",6718520
20,0xdccf3b77da55107280bd850ea519df3705d1a75a,Binance: Hot Wallet 9,"218,896.85890046 BNB",6580178
21,0xc92afb747c0d6c54cfa414c4435360fd8427b635,BitDiamond: IndoEx Exchange,0 BNB,0
22,0x73f7edc2c4e3dbb0728184e1ef565d3e05efbc05,BitKeep: NFT Exchange,0 BNB,158611
23,0x8c128dba2cb66399341aa877315be1054be75da8,Bitmart: Wallet,5.12968502 BNB,814442
24,0x328130164d0f2b9d7a52edc73b3632e713ff0ec6,Bitmart: Wallet 2,13.95081612 BNB,665990
25,0x660e3bd3bcda11538fa331282666f1d001b87a42,CoinDCX 1,144.8927978 BNB,345
26,0x8c7efd5b04331efc618e8006f19019a3dc88973e,CoinDCX 2,"2,807.73901 BNB",3
27,0xf379fcd9c996d85de025985ba9b1c9c96daa4a72,CoinDCX 3,0 BNB,4569
28,0xa1813f73448a7392e6f069299c23120aeeab879a,CoinField,2.10806992 BNB,131
29,0x4727250679294802377dd6ca6541b8e459077c95,FixedFloat: Hot Wallet,442.17615533 BNB,509216
30,0x0d0707963952f2fba59dd06f2b425ace40b492fe,Gate.io,"14,038.67033103 BNB",3435274
31,0xefdca55e4bce6c1d535cb2d0687b5567eef2ae83,Huobi 1,517.65934842 BNB,985663
32,0x53f78a071d04224b8e254e243fffc6d9f2f3fa23,Kucoin: Hot Wallet 2,121.23595857 BNB,845203
33,0x1349907c197731c5ed98d8442309a15107cb6bad,MaskEX 1,0.48415987 BNB,1780
34,0xc6acb77befebff0359cc581973859eee8cbaeda1,MaskEX 10,0.6407902 BNB,1919
35,0xd666ad8d95903bce9b4dcd2cacde5145e36405c2,MaskEX 11,0.40893759 BNB,2130
36,0xd7aed730a7c4cf8dfe313b16712af3406f6dca5b,MaskEX 12,20.64180313 BNB,3408
37,0x2161217d22fac0188775432f8ba32f1d4272dd19,MaskEX 2,0.04191942 BNB,327
38,0x3dd878a95dcaef2800cd57bb065b5e8f2f438131,MaskEX 3,35.20213713 BNB,4308
39,0x46c75fc52e0263946f8f1a75a95c23a767d2f26e,MaskEX 4,0.12696483 BNB,6309
40,0x6e2673095545280f6f10e22eb861a555c6e94bec,MaskEX 5,1.1415308 BNB,6621
41,0x84457412efe8b3a05583cb496e1d2c03e6f36155,MaskEX 6,1.84218704 BNB,282
42,0x8458c828d602230e92eb0aac5a6aed5580011b6a,MaskEX 7,2.42984254 BNB,89
43,0xa310b3eeca53b9c115af529faf92bb5ca4b41494,MaskEX 8,2.61919993 BNB,2074
44,0xa4e71851a8c8eaefeb20a994159f4a443e46059b,MaskEX 9,0.22975363 BNB,356
45,0x4982085c9e2f89f2ecb8131eca71afad896e89cb,mexc.com,"2,418.99194916 BNB",5843453
46,0x0211f3cedbef3143223d3acf0e589747933e8527,mexc.com 2,0.56843658 BNB,11186
47,0x2e8f79ad740de90dc5f5a9f0d8d9661a60725e64,Mexc.com 3,829.81165701 BNB,86823
