,Address,Name Tag,Balance,Txn Count
0,0x98fb4fa5776f1300017dd11365c761dc142fe7bf,SwipeSwap: ADA-WBNB,0 BNB,311
1,0xa12128bbb1c24fb851d8ba6ec6836f00916712c2,SwipeSwap: BTCB-WBNB,0 BNB,319
2,0xa3b511a340017e858dc572355a594db035525137,SwipeSwap: BUSD-T-BUSD,0 BNB,556
3,0xa14dd52106abc9fb12ada0e8d7bdebe95943f831,SwipeSwap: BUSD-T-WBNB,0 BNB,241
4,0xdaeab56550ee42bb5b094511bcfcd92844527126,SwipeSwap: DAI-WBNB,0 BNB,1
5,0x95b7693a9dfeca69e1b46031390d5a36bfcaab9e,SwipeSwap: DOT-WBNB,0 BNB,243
6,0xfd08e722343ab852f627c3442d924b60ccc5449a,SwipeSwap: ETH-WBNB,0 BNB,250
7,0x70b31abf9be826edc188a15fc35cc6037103a58f,SwipeSwap: SXP-BTCB,0 BNB,542
8,0xf570d6e751976d0d10aa64acfa829a5ea4a51727,SwipeSwap: SXP-BUSD,0 BNB,1845
9,0xb450606703743d557a1c8384fffe6b941f8f60f4,SwipeSwap: SXP-WBNB,0 BNB,3276
10,0xad68d41305fb22171716c98f81f801f39880cbda,SwipeSwap: TWT-WBNB,0 BNB,646
11,0x3f97fa8420d67d2b778c2b3318dd8c59fa0cc2ec,SwipeSwap: USDC-WBNB,0 BNB,3
12,0xbe3e418441cf4ec44147af1a48dee11fa91da87d,SwipeSwap: VAI-BUSD,0 BNB,487
13,0xc61fb584daf69bedf912768aedc0658b11a1a75c,SwipeSwap: VAI-WBNB,0 BNB,297
14,0xb4e861775e0e3ee83862149e81245985ad82b861,SwipeSwap: WBNB-BUSD,0 BNB,298
15,0xdca1d335d30c9f185d4d70a3fcac6feef9eb440c,SwipeSwap: WBNB-XVS,0 BNB,330
