,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0x81f0419a521d39c3e7fcd1746a29e5aee5d59778,AgroDeal Lab (Agd lab),$0.00,14462,
1,2,0x621181f41f9c2ce98a0c72ec884aa3354c894fbd,FARMIES DOLLAR Token (FUSD),$0.00,95,
2,3,0xd0fa6e82bdf536a74012d2b6294dfa560e784c20,CoinTLS (CTLS),$0.00,9,
3,4,0x0751e3e9423dde51144d7abf485743f62009c9af,BhangCoin (BHC),$0.00,27,
4,5,0x32F738738F238865f8506593c6e2613647eCE478,Agriverse (AV),$0.00,11,
5,6,0x30601d903b0d12ee26d27bd6607caa72c205cf7a,Calvex (CLVX),$0.00,1789,
6,7,0x4c70855FcA2d2fF200bE82425CFDe6b24EFE53DB,Agrosolo Coin (AGR),$0.00,155,
7,8,0x1f9b1d0fD808583d68A8C451984D40c35556dBCB,AgroLifeCoin (AGLC),$0.00,500,
8,9,0x39cC67690D0F2d4aCD68d3d9B612a80D780b84c0,AGRO GLOBAL (AGRO),$0.00,9443,
9,10,0x7e7E8522aB7C797df75399708AB2983f336AD2c2,FARMIES (MIES),$0.00,859,
10,11,0xc8a11f433512c16ed895245f34bcc2ca44eb06bd,KISSAN (KSN),$0.00,24778,
11,12,0x8038b1f3eb4f70436569618530ac96b439d67bae,Micro Tuber (MCT),$0.00,5427,
12,13,0xEeE5B428E8941dC77fa4444772e04A30A892d3af,Agrocoin (AGROBR),$0.00,1215,
13,14,0xC0Cc1e5761bA5786916FD055562551798E50d573,ASYAGRO (ASY),$0.00,496,
14,15,0xf571bb0E1194De27fC8c20188a4d6a98EBef6821,Fertilizercoin (FERT),$0.00,1731,
15,16,0xdfe8Cc66d07C28Df1e287294dc4C8d6F4CDb049A,META KISSAN (MKSN),$0.00,37,
16,17,0x31dF33bB4925E19631Da760a9483fB5291d16994,ZRT by AgriSmartChain (ZRT),$0.00,8,
17,18,0x9a065d2ec9afc9c9f7d12bc0fa53c402b57757fa,Elia Token (ELIA),$0.00,574,
18,19,0x24F9d83b921E39a6858f12154EB8C8bbC6508eBF,Moringa Token (MGA),$0.00,535,
19,20,0x4e5b96822018447d243a38e212fe8416e73afb23,META FARM (METAFARM),$0.00,78,
20,21,0xde3bf4afde4aaf6bb4ab28d570f1ec59ccd68f48,Agrinoble Token (NOBLE),$0.00,23,
21,22,0xfAa3B1CaD63Acfd446b8bD0Fe6A157e4dC5b8A1a,Wine Protocol (WINE),$0.00,1837,
