,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0xd83c88db3a6ca4a32fff1603b0f7ddce01f5f727,Cream USD Coin (crUSDC),$0.00,238,
1,2,0x426d6d53187be3288fe37f214e3f6901d8145b62,Cream Cream (crCREAM),$0.00,127,
2,3,0xaa46e2c21b7763a73db48e9b318899253e66e20c,Cream XRP (crXRP),$0.00,110,
3,4,0x0e9d900c884964dc4b26db96ba113825b1a09baa,Cream Cosmos Token (crATOM),$0.00,75,
4,5,0x11883cdea6bab720092791cc89affa54428ce069,Cream BTCB Token (crBTCB),$0.00,391,
5,6,0x81c15d3e956e55e77e1f3f257f0a65bd2725fc55,Cream Cardano Token (crADA),$0.00,174,
6,7,0x3b0be453a4008ebc2edd457e7bd355f1c5469d68,Cream Uniswap (crUNI),$0.00,130,
7,8,0x2Bc4eb013DDee29D37920938B96d353171289B7C,Cream Binance USD (crBUSD),$0.00,997,
8,9,0x53d88d2ffdbe71e81d95b08ae0ca49d0c4a8515f,Cream Polkadot Token (crDOT),$0.00,166,
9,10,0xea466cd2583a0290b9e7b987a769a7eb468fb0a5,Cream YFI (crYFI),$0.00,46,
10,11,0x1ffe17b99b439be0afc831239ddecda2a790ff3a,Cream BNB (crBNB),$0.00,1436,
11,12,0x3942936782d788ce69155f776a51a5f1c9dd9b22,Cream ChainLink Token (crLINK),$0.00,116,
12,13,0x1af8c1c3ad36a041cb6678fed86b1e095004fd16,Cream Filecoin (crFIL),$0.00,44,
13,14,0xef6d459fe81c3ed53d292c936b2df5a8084975de,Cream Tether USD (crUSDT),$0.00,733,
14,15,0xe692714717a89e4f2ab89dd17d8dddd7bb52de8e,Cream Tezos Token (crXTZ),$0.00,38,
15,16,0x9095e8d707e40982affce41c61c10895157a1b22,Cream Dai Token (crDAI),$0.00,133,
16,17,0x8cc7e2a6de999758499658bb702143fd025e09b2,Cream Litecoin Token (crLTC),$0.00,68,
17,18,0x2d3bfadf9bc94e3ab796029a030e863f1898aa06,Cream Trust Wallet (crTWT),$0.00,182,
18,19,0x19ee64850862cfd234e20c0db4eda286f12ec907,Cream EOS Token (crEOS),$0.00,59,
19,20,0xb31f5d117541825d6692c10e4357008edf3e2bcd,Cream Ethereum Token (crETH),$0.00,403,
20,21,0x264bc4ea2f45cf6331ad6c3ac8d7257cf487fcbc,Cream AlphaToken (crALPHA),$0.00,88,
21,22,0x738f3810b3da0f3e6dc8c689d0d72f3b4992c43b,Cream Band Protocol Token (crBAND),$0.00,62,
