,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0xc748673057861a797275CD8A068AbB95A902e8de,Baby Doge Coin (BabyDoge),"$353,334,819.00",1712270,
1,2,0x42981d0bfbAf196529376EE702F2a9Eb9092fcB5,SafeMoon (SFM),"$130,503,712.00",705445,
2,3,0x7db5af2B9624e1b3B4Bb69D6DeBd9aD1016A58Ac,Volt Inu (VOLT),"$86,720,847.00",43451,
3,4,0xC001BBe2B87079294C63EcE98BdD0a88D761434e,EverGrow Coin (EGC),"$33,810,171.00",138438,
4,5,0xacfc95585d80ab62f67a14c566c1b7a49fe91167,FEGtoken (FEG),"$22,464,516.00",951618,
5,6,0x8a5d7fcd4c90421d21d30fcc4435948ac3618b2f,Cake Monster (MONSTA),"$6,938,494.00",12959,
6,7,0x3aD9594151886Ce8538C1ff615EFa2385a8C3A88,SafeMars (SAFEMARS),"$3,621,101.00",486092,
7,8,0x27ae27110350b98d564b9a3eed31baebc82d878d,CumRocket (CUMMIES),"$3,133,520.00",148005,
8,9,0x454B90716a9435E7161a9AEa5Cf00e0aCBE565aE,Source Token (SRCX),"$1,871,518.00",2612,
9,10,0x2A48eCe377b87ce941406657B9278b4459595E06,Lunatics (LunaT),"$1,177,645.00",8062,
10,11,0xA53E61578fF54f1ad70186Be99332a6e20b6ffa9,Golden Doge (GDOGE),"$798,649.00",29985,
11,12,0x4756cd85cd07769c2ce07a73497f208d56d48ec1,DogeCola (DOGECOLA),"$756,166.00",3278,
12,13,0x33a3d962955a3862c8093d1273344719f03ca17c,Spore (SPORE),"$710,889.00",146598,
13,14,0x7b9c3df47f3326fbc0674d51dc3eb0f2df29f37f,Lightning (LIGHT),"$503,674.00",7627,
14,15,0x49a9f9a2271d8c5da44c57e7102aca79c222f4a9,ALYATTES (ALYA),"$406,117.00",3081,
15,16,0xA72Ff2B799324B042AE379809eE54dACE99db3A5,Miss Doge (MDOGE),"$315,508.00",20779,
16,17,0xddc0dbd7dc799ae53a98a60b54999cb6ebb3abf0,SafeBLAST (BLAST),"$305,623.00",106991,
17,18,0x7d38315b92d0E7A85B35B2b7FE969B25935619D7,Ecoin Finance (ECOIN),"$279,483.00",5081,
18,19,0xb9df47c637d481af168ff5e13d9a4b1e5874b6f8,Proto Gold Fuel (PROTO),"$193,196.00",1288,
19,20,0x4048A31e0A4fA577D343290835b34eBB4e3dBB1b,SafeWhale (SWHAL),"$112,045.00",714,
20,21,0xa55ef2fb2b7b6a60371fd3def9b806e74a48be69,Adamant (ADMC),"$88,157.00",19247,
21,22,0x917841c010b3d86ED886F36F2C9807E07a2e3093,RisingSun (RSUN),"$56,849.00",7218,
22,23,0xf67006f8d22edEbd1191f3E728ab9a90289e6C38,LittleBabyDoge (LBD),"$56,635.00",12463,
23,24,0x8dc1942e2089e711725eda66ab06650035475441,BabyUSDT (BABYUSDT),"$47,532.00",5773,
24,25,0x03c580eecf2c36ab8a77a71d56d867ecd495552d,NUKE (NUKE),"$33,415.00",6070,
