,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0xE7095C7e56b02a52FA0729A4260490b7a594b77E,Charg Coin (CHG),"$3,695,957.00",29,
1,2,0x10b9dd394467f2cfbc769e07e88dc7e2c41b0965,Renewable Energy Token (RET),"$3,510,973.00",12468,
2,3,0x5a29c96fa93ffa8845fb7f8616a03aa85fcc11d6,France REV Finance (FRF),"$75,335.00",2027,
3,4,0x50d88223a2240f43407a868caaa38a08279caadd,Sinan Energy Token (SET),$0.00,90,
4,5,0x6B7F786A7BDee678d46235f44F3b3014DEdEc0B1,RoyalBinaCoin (RBC),$0.00,18,
5,6,0x17b6057316c0c9e129d28edf3c09baa213af46e7,SolarCity ($SLC),$0.00,69,
6,7,0x3735D4d7022024037bF8835475408584eeDBaC3D,Ecological Fuel SO (ECOS),$0.00,24,
7,8,0xa2954b5734a9136bf648dce5bd2f9d2062551faa,ReduX (REDUX),$0.00,112,
8,9,0x421e16aeb0d8e6d4fbdf1f7cf6b846260dc6512b,NEL HYDROGEN (NEL),$0.00,4292,
9,10,0xec126e20e7cb114dd3ba356100eaca2cc2921322,Solar Energy (SEG),$0.00,9447,
10,11,0xb53180d39b4ca2ae290d589314a90e48f36af998,Megatech (MGT),$0.00,179,
11,12,0xfa86225e0c7f51c30f0c3647bfd2b266c3e3b6f6,Candela Coin (CLA),$0.00,740,
12,13,0xD8CE8abF4a0DF64884c1FB0FBFA9eC555fF156D3,GLAKI (GLAKI),$0.00,3,
13,14,0x4cae54c04502fb386b0ceeb883c30f24e2a3b348,THAW Token (THAW),$0.00,223,
14,15,0xaC41Fb8013c0B63588fC63997785A5d79E73eb28,Frz solar system (Frzss),$0.00,24198,
15,16,0x1f117522c514db7E5bDDCa8E86F4CbF67Bbe22cB,LITHENERGY (LITH),$0.00,32,
16,17,0x886e76d8733348902cce032fae17c94bd3376848,Alien Disclosure Science Project (ADP),$0.00,1,
17,18,0x8868F307098e2F5fd81b8beeB21582a6A3c2cB25,LIGHT Minner (MINNER),$0.00,5278,
18,19,0xbAEB6b2B8216F0b4fbE66B10b02E7F5BE1cbd7CF,Light Company (LIGHT),$0.00,102,
19,20,0x4fb76a84f79ecf902da9411f3820a24b5ac79e40,Electrinity (ELIT),$0.00,1704,
20,21,0xc519a8fc44dbdbf1aac2205847b8d7549339215e,Anagata (AHA),$0.00,1,
21,22,0x03a7a721be66a4609b846BA7d2F4a83f6018928d,AMERTA (AMRT),$0.00,15,
22,23,0x20e753ae4837c36d60e7d1c18dd7e878c923ba57,ORGONX (ORGX),$0.00,1307,
23,24,0xd56A23c30D915e28B62aF91A5d7234Ea7A72456f,SUNMINE (SUMI),$0.00,5,
24,25,0xd8b6870Cb630C9b049EfDdd25801CA5F83b36189,Become Integrated One System (BIOS),$0.00,308,
25,26,0x405Ef490862AD5fB2D80995b35459594290A7AA9,Green Life Energy (GLE),$0.00,3577,
26,27,0xb3654e2434c712ad9804fe7c2d875a9861073244,Green Earth Moon Coin (GREEN),$0.00,461,
27,28,0xf7b07363c7677fDCbC973A11c2D611c020d50D17,Green Watt Project (GWP),$0.00,33,
28,29,0x2002F7c235FEdC8aCbFbbF0479527Eb59d8F5DC7,LuckyCoin (LKC),$0.00,8353,
29,30,0x84aFB95ca5589674e02d227Bdd6DA7E7DCf31A3E,PERPETUUM (PRP),$0.00,4190,
30,31,0xf8028b65005B0B45f76988d2A77910186E7af4eF,NDB (NDB),$0.00,131,
31,32,0x321614eb36245bf2e2f2e58badaaaad1475e1026,FRED Energy ERC-20 (bFREDX),$0.00,899,
32,33,0xD9E25c6984deF2a6671278c201F9735E7FC60Ba0,Sustainable Globe Coin Fraction (SGCF),$0.00,5036,
33,34,0xeE564F1098a267473b42130ee8d81d3fd0Fd4818,Solar Company (SLC),$0.00,8,
34,35,0x35f24e9fD12Bf7c3EA5678B45c97f7Bce9c4e7dc,EnerGSun (EGS),$0.00,6,
35,36,0x7880ae586cafab484e98db0e68cba40afdda1418,Renewable Energy (RAE),$0.00,810,
36,37,0xa0C324b15EfeF0dC13163aaf60470EDE64D17B83,REX Coin (REX),$0.00,54,
37,38,0x9eeb6c5ff183e6001c65a12d70026b900ae76781,IRENA Green Energy (IRENA),$0.00,41699,
38,39,0x02B74D711ba0b1bF3b9B4C29dDc2EaE7BBb2b217,Nexum (NXM),$0.00,8,
39,40,0x7661968f677a5d926a91785308ba029c6e9e60a6,RioGreen (RGREEN),$0.00,12327,
