,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0x4ac81e3631DcDa62109e3117c4CAE7bf70BbbbD2,SavePlanetEarth (SPE),"$3,087,946.00",15838,
1,2,0xbcba01f7d6cc0a950464a4b98ba8358c4f6b69a0,BitcoMine (BME),"$11,062.00",53814,
2,3,0x0ee3f668f8e51d81ade727a1e723c56cf0771a0c,Ideonella (SAKA),$0.00,1,
3,4,0xde623722f997404f9163692f88dd3d263617f8d4,ABees (ABEE),$0.00,1024,
4,5,0xefef90b7349a48452cdaaea398d600ddb56aef50,Sycle (SYCLE),$0.00,2419,
5,6,0xC2D90B5515Eff48998775a7900ff50aBC6404f8F,Clean_the_world (CTW),$0.00,44,
6,7,0xEb491c8BE8b3805C4E4628576DEF64aBDfcdD5eF,Florester Carbon Credit (FLOR),$0.00,273,
7,8,0x2510a3c9409d850f8b1aeff16f006571aa1f852e,Pest Free Token (PFT),$0.00,119,
8,9,0x3A89a48B50f8f2058C0876aE202f3b861e3eb081,Abix Coin (ABX),$0.00,9,
9,10,0x87cdfbe5f10345ca4efd41bdde7cc9198924f104,VANCE (VANCE),$0.00,2,
10,11,0x76c3b687432ca8d633f33c72256ae1b1e87915af,PLANT (PLN),$0.00,91,
11,12,0xab6FCDFA84DE99d4fFBE4b200749bd27197517Ba,PLASTIC TOKEN v2 (PLAS),$0.00,9289,
12,13,0xF3Dc3FE81d371eAa080b00ae51a8237Ec90A63eB,Planet Earth Saver (S-P-E),$0.00,4674,
13,14,0xc7D83a96B035019c6F7e858449bD9EB05F94b581,Treepto (TPO),$0.00,1720,
14,15,0x2b9ab86a2255257168874cac687a2ff7c1ea4207,Safe Terra (SafeTerra),$0.00,15929,
15,16,0xB92f21f527c5Fd19fccC93B93fe495B124648d3f,Salamin Wizard (SWIZ),$0.00,42,
16,17,0x9dc5fa9346d90119cf8f394570db2e35c81f09e0,Save the Soil (STS),$0.00,361,
17,18,0x5e645f43330a09a76714f6a9a2a76bb82fbdfbcf,Green Life Tree (GTree),$0.00,171,
18,19,0xf9401ac58a7e19ae12ba6b6ae8b71bb00f295171,HalfEmptyBottle (HEB),$0.00,106,
19,20,0xffaa85705ae216363e4e843b67ff3c238fcf0de2,Euro Shiba Inu (EShib),$0.00,21578,
20,21,0xbea3353f43c6e4e33547143ea107301ffe1c941d,BitNature (BNAT),$0.00,9,
21,22,0x248f2fd8A34303d8F1B7Ba65A1848eF90ae4F72F,BeeCoin (BCO),$0.00,3407,
22,23,0x6d23970ce32Cb0F1929bECE7C56D71319e1b4F01,Multi Functional Environmental Toke... (MFET),$0.00,2909,
23,24,0x1E8Ca90E1902dBb5f822E0e417b19b15BfF68a21,amaznett (AMZT),$0.00,48,
24,25,0xaFb64E73dEf6fAa8B6Ef9a6fb7312d5C4C15ebDB,Grove Token (GVR),$0.00,23743,-
25,26,0x0556551f81623ae32c5c7cf853c67fafbe61648a,SolarFullCycle (SFC),$0.00,844,
26,27,0xd12E7B0D28FFE52E19F11297B92bacCD4f90b3DB,Aquaris (AQS),$0.00,276,
27,28,0x7559C35d47e4759B107624f6159f558B651Dfd41,CO2 Credit (TCO2),$0.00,635,
28,29,0x2b15c5d6b70cff872d48403f42f761d5e4f55850,WoodCoin (WDC),$0.00,217,
29,30,0x44F06c2DFC612ebC2584aED4D3cBEf63bDD3b06f,GreenJoro (GJ),$0.00,23,
30,31,0xCA243b8A563E4C590E083D54048eFEee30034BD7,RISING BIRD (RISING),$0.00,324,
31,32,0x2aaab1bd336819948c3286ce92034cdb95137d8b,Canopy (TREE),$0.00,32,
32,33,0xc2a468fc45ca2f94918dd6a986b4442b454da121,New Live Aid (AID),$0.00,6,
33,34,0xc519a8fc44dbdbf1aac2205847b8d7549339215e,Anagata (AHA),$0.00,1,
34,35,0xd66dbeb30b2a947534e8297fe51f4d38c8643393,Save Water (SAVEWTR),$0.00,1084,
35,36,0x4d2303ddf10d42f02eda2c674e06792f701716a5,SpaceXSafuu (SPACEXSAFUU),$0.00,149,
36,37,0x5e56394422782690653733DA4829c056B900BD18,OBSERV (OBSERV),$0.00,252,
37,38,0x8216188E9b8bE5bf88CceEADDeB6E7B58546f601,Amel Discus Coin (AMEL),$0.00,379,
38,39,0xde9d1597fc1e8ee8050b6517bce3b794cab24845,Telas Mundi (Telas Mundi),$0.00,136,
39,40,0x5105f5e7c2831d7cd2f2fa96402c38b707f2c7c4,Green-Planet (GPT),$0.00,32,
40,41,0x1f7d905c0c495dca4c9e859c313b29179d272ca1,Earthling (ETLG),$0.00,741,
41,42,0xA3a7f7ccc7b3f5BE5828f92cC33Cf5cAfb027443,PlanetCats (CATCOIN),$0.00,939,
42,43,0x6afb7e3eb09f0b3cdc577c0a797615e0f33e0ef8,SafeOcean (SFO),$0.00,32,
43,44,0xeE33114EF9AfB0779f0505C38AFBB1644f4073cc,RMOG (RMOG),$0.00,961,
44,45,0x09Faf80c7Df27d0Fb8A717324963cB871f6814f7,Clear Water ($CLEAR),$0.00,1344,
45,46,0xd81a6c33f5619dedd200dbcaf8e7ad8af5ad75b5,AmazonasCoin (AMZ),$0.00,195,
46,47,0x256f1d562b109f977cc8d5c56d785d8ed283a1a7,GretaChain (GRETA),$0.00,137,
47,48,0x42992B80F3cE312D3DdC1f0AC805FB7A9e1B656c,SAVEBEE Token (SAVEBEE),$0.00,930,
48,49,0x49BaD0087ccFa21105601b62214AF2E0AE726CD6,H2O Securities Coin (H2OC),$0.00,274,
49,50,0x0269d749260da5046135fAc6c2A4c16ceaa633bF,ECOTO (ECOTO),$0.00,1510,
50,51,0xa0D018aea307c5169AEC3319516aE5f9E4ce5051,Luxury Royal Coin (LRCO),$0.00,451,
51,52,0xB9d35811424600fa9E8cD62A0471fBd025131cb8,YES WORLD (YES),$0.00,136039,
52,53,0xf0d35f96ad8cefca54e048bf1569b5fd94c27dc1,CARBON (CO2),$0.00,1477,
53,54,0xbb8905d53187068dfd49315abcd277dd5e8a650e,Cryptohdro (HDRO),$0.00,17,
54,55,0x9e80da4Df5d6276d3446b4c9E47A576A093851a7,Krypterz (KPZ),$0.00,1,
