,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0x29cb1ad7fab6eb2c0112c44a4b576928ac682aa1,Pieme (PIE),$0.00,381,
1,2,0xaa44051bdd76E251aab66dbbE82A97343B4D7DA3,LAMEA (LAMEA),$0.00,496,
2,3,0x45d4d5b638884f84eb32bc532eec7adcaa7ceff3,FODIES (FODIS),$0.00,4313,
3,4,0xd1fe2a2d49b81fA1e6e4E233D5be28BA5dAaf4d0,Food And Beverage İndustry Token (FABİ),$0.00,4,
4,5,0xd6dA6491A6663B1d413715f4fD8eDD74a4b47694,The Landlord (LNDLRD),$0.00,360,
5,6,0x72ba9c87c2d564e680a709f5e70276b6d8dbf14d,CRYPTOEAT (CEAT),$0.00,26,
6,7,0xc46fe585f349b782ae319046683868b6227bca67,FoodFind (FOODPAY),$0.00,1308,
7,8,0xA3378bd30f9153aC12AFF64743841f4AFa29bC57,Crypto Pay Food (CPF),$0.00,1201,
8,9,0xeaed1c1c9abc4096ca07247d570a5b34906c73d8,PINTA (PNT),$0.00,2648,
9,10,0xd28d5fb268ee98590092748d953e5ea94be0a1de,GCWine (GCW),$0.00,81,
