,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0x3b1377d50DDb4609536beA482f41a2E1A6C4e857,SUN (SUN),"$58,886,480.00",3,
1,2,0xcafe001067cdef266afb7eb5a286dcfd277f3de5,ParaSwap (PSP),"$42,858,323.00",300,
2,3,0xdDC3D26BAA9D2d979F5E2e42515478bf18F354D5,QiDao (QI),"$6,838,384.00",207,
3,4,0xa75d9ca2a0a1d547409d82e1b06618ec284a2ced,Wombex Token (WMX),"$2,777,920.00",10713,
4,5,0xBD100d061E120b2c67A24453CF6368E63f1Be056,iDeFiYieldProtocol (iDYP),"$197,946.00",512,
5,6,0x0ca2f09eca544b61b91d149dea2580c455c564b2,Icarus (ICA),"$12,503.00",2816,
6,7,0xf8e026dc4c0860771f691ecffbbdfe2fa51c77cf,BGOV Token (BGOV),$0.00,3398,
7,8,0xcb8B997BC685a5bDc3651a1ac30e65dC07FB7B8a,APEPARK DAO (APD),$0.00,129,
8,9,0xa78fd59d898b54e5d7bac783b43ef45bb87ec9cd,UltimatePower (UltPow),$0.00,776,
9,10,0x5e95a952a7f79f978585afd54a053af0f51372fa,SB GROUP (SBG),$0.00,54651,
10,11,0x4ee83441a22BEB71eaAc91a225C39B6eC53D4FDd,MINIX (MNX),$0.00,693,
11,12,0x57457b5d725d85a70a3625d6a71818304e773618,Pylon Eco Token (PETN),$0.00,9165,
12,13,0x7aE1Cbec5c315B31948DD2A5A7C2a6A6040D3d5b,GO! (GO!),$0.00,1169,
13,14,0xCb10A6B203120C50Cce48e3E1131aA717A82fb5F,Novo V2 Token (NOVO),$0.00,673,
14,15,0x975367d8D68F96f5956CfE01f6e9868E271220de,CoinDD (CDD),$0.00,1651,
15,16,0x89b79bc24dc1c346e98a0b784877dd8ecb329c58,GeneratorToken (GEN),$0.00,16,
16,17,0x83ea1c931922b75cd7c8a8e97dd6e167e7e09b9d,United Metaverse Token (UMT),$0.00,2772,
17,18,0x580cf2c36b913228dd0194a833f0ead8938f18ae,KIT Token (KIT),$0.00,9980,
18,19,0x8c73dc245d2626311dd28319793893460b358f3c,Super Vote LAUNCH (svLAUNCH),$0.00,3426,
19,20,0xf9697b3d3b52030c696d88a4ccc85abd7c83ecfe,Proto Gold DAO (LAW),$0.00,587,
20,21,0x53242B160E050d97202c33CB1B5c07428A2789fF,OvnGovernor (-),$0.00,-,
21,22,0x065b77156b9ab417bd30fc25e30ce5b9a7dd2066,Wohlstand Token (WT),$0.00,14,
22,23,0x7fa4cd8aeedcb8d36dbc5d856e3a1bee490d7b36,Wall Street Ninja (WSN),$0.00,1564,
23,24,0xC90479dd0F58c9c867cb4697bb26b31075CEbe8c,OvnToken (OVN),$0.00,1,
24,25,0xb480da58281c8015e344564ae60ce0d1e769d57e,PiSwap Token (PIS),$0.00,49,
25,26,0xd58F7192f72534B7c89002099D281E439ADFCc6B,Giver (GIVER),$0.00,76,
26,27,0x6ea059a29eccecee4e250414fe9f5ffb44fa4112,MAXIMACASH (MAXCASH),$0.00,5594,
27,28,0x410319197d3394652b7dddc669e58fbe30b56090,CyberTime Finance Token (CTF),$0.00,2581,
28,29,0x5f1761e0dfda765494e94389689ae03dbe6ce80c,Digital Flyer Governance Token (DFGT),$0.00,1,
29,30,0xddb3bd8645775f59496c821e4f55a7ea6a6dc299,Golden Banana (GNANA),$0.00,9967,
30,31,0xeC9c12A46098135402760d0EbF323B7F5DE489BF,DumpsterFire (DFIRE),$0.00,102,
31,32,0x27387362a24b27129da9fb8e4b68a170b72c9e74,Tres Leches (3Leches),$0.00,30,
32,33,0x9ad7b071a5544ae52c6e42550d4a588b61c5d140,Carrot Governance Token (CRRT),$0.00,1757,
