,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0x77edfae59a7948d66e9911a30cc787d2172343d4,LABEL (LBL),"$5,166,910.00",1510,
1,2,0xeac9873291ddaca754ea5642114151f3035c67a2,Decubate Token (DCB),"$1,273,811.00",7873,
2,3,0x9E95A285eB16a4Dc6254F5354E8C2214B3E4a9D4,Bulls Coin (Bulls),$0.00,1102,
3,4,0x90d5eb808e8463239262c0f476a2bf0f29b6811b,RaddixHodlToken (RHT),$0.00,19,
4,5,0x87629b8fbfcf72dd813986154311c35424186997,Nadol (NAD),$0.00,173,
5,6,0xdCAC116fF1B4D3595E323a92902E85fBee1104bf,LockPay V2 (LOCKPAY2),$0.00,3358,
6,7,0xebb07b888cf4bc1276203408aa0b2022e633a34c,Sirio (SIR),$0.00,5215,
7,8,0x76f3E6F5B67851aD44F5D40B9a2F376397c4FE17,EarnUSD (EUSD),$0.00,168,
8,9,0x9761b9d1bfdc9a71020375253dd5971a7eaa2a7f,Ennedi Investment Token (EIT),$0.00,429,
9,10,0x0d265949881d2120a9a1a1a0528941f4761a6aad,Tyz (TYZ),$0.00,60,
10,11,0xB9e8E7BF21A6e3F605bB680F3fB47a0b49b7747f,Crypto Lance Pro (CLP),$0.00,13,
11,12,0xbFc5D671Ccdeb25654EF83C61b1535B2CB0A29c7,Neptune (NPTUN),$0.00,1653,
12,13,0x218Fb582F13584628413f9e5ef61a3d8Bb1de702,Rincoin (RINC),$0.00,4,
13,14,0x888888d87d85bc11549b17907e8f589214eb90c2,DePlutus Token (PLUT),$0.00,1185,
14,15,0x5a04dc8d3dfdc388963592702f1a24aa4fee467e,BNBMoney (BNBM),$0.00,2042,
15,16,0x9d359D5215D13580A08bd4E5436C5E8Cd3201Fd0,Platanaso (PLNT),$0.00,915,
16,17,0xaC2FD2462e7C1708dCDC88116FE0d10808389Fa3,Car Collector Crypto Token (CARCC),$0.00,38,
17,18,0x1263f9591691cdee241ffd48a255f936faf5936a,Proxima (PRX),$0.00,26,
18,19,0xa1d0d3fcdc405f850342bf26f11510f6c6f88fef,Ultheria (UTH),$0.00,244,
19,20,0xC509b09f68fB65c0c6d97223Da8D084BAf787DA8,PigByt (🐷 PBT),$0.00,388,
20,21,0xF02b31b0B6dCabd579e41A0250288608FA43F898,Athos Meta (ATM),$0.00,10012,
21,22,0xd523f5097fe10cb8760f7011796a6edf7a268061,GM Holding (GM),$0.00,811,
22,23,0x67314079d9c048612E925d8518f9C42ABD797B6d,Generational Finance (GENFi),$0.00,37,
23,24,0x7fcfc27036abdfada522cd97650dac90942358b9,Safegold (SAUX),$0.00,9,
24,25,0x2Bb06b3F1953F3579DDa3bC6CbBd9c78d7Ff1340,Potfolio (PTF),$0.00,649,
25,26,0x17245F6C4f54B84Bb71AEAeEf38cec57b7F9a77b,EarnPay (EARNPAY),$0.00,779,
26,27,0x07d5bf841beb877c9bE550B79cb0d49e4e091Dec,ian (IAN),$0.00,68,
