,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0x72cfd829bbda21f812f57c7012a5bf434cb6e7b3,Stronghands Finance (ISHND),"$144,587.00",2311,
1,2,0x1ecfe23e73f03128644646ba66405dcaf3b32ec3,TEN Finance (TENFI),$0.00,1579,
2,3,0x605aa8decdd9414069644f3bcf8bad556a3733a8,Fairy Forest (FFN),$0.00,6,
3,4,0x15866301d89A1751A1E5114f0F8b582A1Ed46567,SIONIX (SIONIX),$0.00,520,
4,5,0xd4d2abbef1b26458504e7027233d5e7f09ea476d,MoonWilly (MNWL),$0.00,16669,
5,6,0xab167E816E4d76089119900e941BEfdfA37d6b32,Shibnobi (SHINJA),$0.00,10018,
6,7,0x18c5fac26c5d8b859b3a83f0f167d8924098d28a,NAFTY (NAFTY),$0.00,16674,
7,8,0xcd285ed6dbF374c8843b21A2456bCbbb6222BC8c,Menzy (MNZ),$0.00,4,
8,9,0xe1bfb4b07f8b9197d913fd8cc4af713f99388596,AgroLifeCoin (AGLC),$0.00,3,
9,10,0x1b2ad68fb4133fd04b41af1c2c044ca8866235d7,HealTheCancer (HTC),$0.00,138,
10,11,0x1060ae67986a1a5a02ee023e3f5dfc2f5d04ebb4,DogeBSC (DogeBSC),$0.00,2039,
11,12,0x8fe8df37335edb6e9f41f6baf550d2a973f48f21,Coinerr (ERR),$0.00,6408,
12,13,0xd91E5e735EAcCAa569Edab1fa4F8fe2db2531A19,Financial Intelligence Group Token (ATBFIG),$0.00,1741,
13,14,0xc242b6a3983e90d279ed68ac70f47cfc7e5e1e1c,Ptlk Token (PTLK),$0.00,10022,
14,15,0x927fF4AD97991C1eeC44AB02c6970088ffa85250,Xtremcoin (XTR),$0.00,8434,
15,16,0xb1cf48a14ea54d63505a8c4063052886e98062e5,Coin Gabbar Token (CGT),$0.00,1,
16,17,0xEA5E9F39F4B4Bc2684e49A0E43127F7f6F6be3b8,MuuInu (MINU),$0.00,9636,
17,18,0xE0b1EF69BC4AB4173989C1190f0d77A813f3B726,Fat Cat Killer (KILLER),$0.00,10603,
18,19,0x976427dd3e55e8a2d5e358dbc54528d1990aadf4,Arix (ARIX),$0.00,7053,
19,20,0x2f7b4c618dc8e0bba648e54cdadce3d8361f9816,NFTL Token (NFTL),$0.00,995,
