,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0xf8a0bf9cf54bb92f17374d9e9a321e6a111a51bd,Binance-Peg ChainLink Token (LINK),"$3,562,521,437.00",129248,
1,2,0x056d5e4e7d47b8703bc3bd46d17aa3d37420578f,WINkLink (WIN),"$81,783,107.00",6,
2,3,0x99956d38059cf7beda96ec91aa7bb2477e0901dd,DIAToken (DIA),"$34,624,571.00",2829,
3,4,0xa325ad6d9c92b55a3fc5ad7e412b1518f96441c0,Oraichain Token (ORAI),"$19,250,646.00",5297,
4,5,0x6e4a971b81ca58045a2aa982eaa3d50c4ac38f42,Bridge (BRG),"$8,914,403.00",52563,
5,6,0xd4fbc57b6233f268e7fba3b66e62719d74deecbc,Modefi (MOD),"$4,798,802.00",1919,
6,7,0x50de6856358cc35f3a9a57eaaa34bd4cb707d2cd,RAZOR (RAZOR),"$4,554,971.00",775,
7,8,0x42f9c5a27a2647a64f7d3d58d8f896c60a727b0f,Kenshi (KENSHI),"$1,849,201.00",1186,
8,9,0xc5326b32e8baef125acd68f8bc646fd646104f1c,ZAP TOKEN (ZAP),"$719,281.00",577,
9,10,0x5827A07BA092C1ef586765B9A133F3e7E3da985E,Everath (EATH),$0.00,1314,
10,11,0x401d9c80b8f349c462c1f85f16f0e7158216d98b,Lorem Token (LOREM),$0.00,535,
11,12,0x846F52020749715F02AEf25b5d1d65e48945649D,Umbrella (UMB),$0.00,4803,
12,13,0xe53b185ed220ab14460a9a2ac46e096ff3a90171,KuwaOracle (KUOR),$0.00,8312,
