,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0x2ed9a5c8c13b93955103b9a7c167b67ef4d568a3,Mask Network (MASK),"$461,206,871.00",7494,
1,2,0x0112e557d400474717056c4e6d40edd846f38351,Binance-Peg Phala Network Token (PHA),"$79,530,316.00",9205,
2,3,0xa2120b9e674d3fc3875f415a7df52e382f141225,Automata (ATA),"$55,148,660.00",21180,
3,4,0xbb38f4b6e289aa900505c92bd9743bd4d3c8d2de,Ethereum Meta (ETHM),"$33,191,309.00",1423,
4,5,0x5539e65b1e4854d28db16ba4d0873d11a9949c94,Knoxstertoken (FKX),"$3,372,450.00",8,
5,6,0xc52ec11337e1fd591add3488e3b87de90b865e6f,Falcon (FNT),"$715,020.00",494,
6,7,0x65e66a61d0a8f1e686c2d6083ad611a10d84d97a,Raze Network (RAZE),"$424,210.00",3463,
7,8,0x740e08e52542df19d7f2f9cbf3924ac0bfe53071,CPLAY Network (CPLAY),$0.00,683,
8,9,0x8b8c48a7900b423115d74fe04ff2545944f3a4ec,Axolotl (AXOL),$0.00,88,
9,10,0xf57fd03eaacd3a9157184a55d8d9117fc84503b7,Smart Digital Connect (SDC),$0.00,1192,
10,11,0x87c22615435998d69aca34889d03155b694a94fc,Diemlibre (DLB),$0.00,112170,
11,12,0x53d214d8486be8ebca643fb529b8f8fa3840439c,KEYS-TOKEN ($KEYS),$0.00,1869,
12,13,0x91d5546564A31CE5f0f4F3302C55f6921E1916Af,ShadowFi (SDF),$0.00,10364,
13,14,0x38ffa52c7628f5ccf871472e40c462e4483215c9,SwirlToken (SWIRL),$0.00,726,
14,15,0xd5d0322b6bab6a762c79f8c81a0b674778e13aed,Binance-Peg Firo Token (FIRO),$0.00,8858,
15,16,0xdEBAA696f6Ed65c9D26d51F2Afb2F323f3c058E1,Cryptogram (Cryptogram),$0.00,8001,
16,17,0xCDD6494aEB193C8d5541b5B9c5e72a3809A98fdc,DecentraWorld ($DEWO),$0.00,2063,
17,18,0x1daa04b4d70533af4b96190bd8e7d4913f2220d9,Yeti Coin (YETI),$0.00,893,
18,19,0x69B0af16FDd2E80968eb505cd41DC26efb2B80BF,BlockBlend (BBL),$0.00,3281,
19,20,0xD0f4afA85a667d27837e9c07c81169869c16Dd16,PRIVA (bPRIVA),$0.00,5091,
