,#,Contract Address,Token Name,Market Cap,Holders,Website
0,1,0x8683e604cdf911cd72652a04bf9d571697a86a60,Blockchain Certified Data Token (BCDT),"$2,340,202.00",470,
1,2,0x7c1b2f618569789941b88680966333f3e8fedc61,XProject (XPRO),"$331,258.00",4622,
2,3,0x51e7b598c9155b9dccb04eb42519f6eec9c841e9,Bitlocus Token (Wormhole) (BTL),"$163,902.00",21739,
3,4,0x613e18F13391cD4bFEDF8a904991077C7eF29Ee6,ALLBESTICO.com (ALLBI),"$12,679.00",1012,
4,5,0x7c23751c8ccc19d0a0a9a7f1ff52e213161118cd,Crafty Metaverse (CMETA),$0.00,146,
5,6,0xe75df811fA54942C670a888deDca1D472390881C,Planeteer Social (PTS),$0.00,2808,
6,7,0xe2C5fCF777A2B860921116B275951A50e8135EEb,Shera (SHR),$0.00,2242,
7,8,0x22e303f8f144e4d4c599ca59cdeb42abb1dc14c7,Vocos (VCS),$0.00,1783,
8,9,0x02269c6f076614d4d6a68b9508f72a56809f1b22,SOROOSH SMART ECOSYSTEM (SSE),$0.00,652,
9,10,0x33b3a50c766Dd3e61b1e90b251390e7C28AeFb7C,Mobula (MOBL),$0.00,128,
10,11,0xcdf937995a55a9ab551d81b463ac0f7f02795368,VSC (VSC),$0.00,1,
11,12,0x222b06500a30ec220ce3d1477041db8e60669c39,Lingker Digital (LINGKER),$0.00,190,
12,13,0xA7B06fed44734471177a67D020660370a2C95c30,BIRDIE (BIRDIE),$0.00,169,
13,14,0xEA38Ecb9a563715205AF591957B32b793EA67e20,RedZone (ZONE),$0.00,9,
14,15,0x2238fefbb7f27a53a5f870021a30815bd5023f6c,Umbrella Protocol (UMP),$0.00,3,
15,16,0x488907d99cE2ac919A47AcFac896e825Fd23598f,CubYield (CUBY),$0.00,93,
16,17,0x8a36f19cfb1b9b963a9bf664dd786cc740edc5d2,INDDAIS (INIS),$0.00,363,
17,18,0x5606681fd5Df39b908EeFeE181071Cb7702aa845,BNbeans ($BNBS),$0.00,66,
18,19,0x068ea83ef7d581651da0c08fe1711669e45eb152,Token Neraverse Legendary (TNL),$0.00,4,
19,20,0x76a35F77a62f35FD46e68B6953D8FC7b75f46eb9,Beamer (BMR),$0.00,13,
20,21,0xcb2b11e8b780971907a9a171754c7d767ee8bc70,Binance Werecoin - Electric Vehicle... (BWRC),$0.00,460,
21,22,0x319b53e4fadc4b38b188547b31eade327962a6cf,BU Education Token (BUE),$0.00,22,
22,23,0x01dc6edc6e97db846a0029fe7ef28e4fdeb1ddcf,Legion (LGN),$0.00,6,
23,24,0xcb29d02d0c7edbeb7e0d701eb72a354d02c14fc3,PINGO INU (PINGO),$0.00,184,
24,25,0x331d7778ac4f9e33bf236cdcd0f9b2b3f7c461bb,Retoken (RETO),$0.00,223,
25,26,0x5B984bBABd3500F8e8c91CD6F916Dfe8C2f7b588,Bit Metaverse Token (BMT),$0.00,13,
26,27,0xb05b9daf5e71292b038bfeaff5a31af5e4f4419b,ProjectHusky (HUSK),$0.00,11,
27,28,0xee2cc93c1ecfcfdc92bde988be1811248d44a253,VIVI (VIVI),$0.00,94,
28,29,0xed9b3d9a4b8f1a567761c793bb88214904832d17,RAGSCOIN2.0 (RAGSCOIN2.0),$0.00,119,
29,30,0xb165b50332022E90f3f1AcF0da006280D8B3c9b5,GABX FINANCE (GABX),$0.00,2500,
30,31,0x8bb93979901cd159bf6763b223fbb315c31ccf7b,INTDESTCOIN (INTD),$0.00,186,
31,32,0x4D1E90aB966ae26c778b2f9f365aA40abB13f53C,STA TOKEN (STA),$0.00,116494,
32,33,0x24802247bd157d771b7effa205237d8e9269ba8a,Thetan Coin (THC),$0.00,59214,
33,34,0x36a28c7c9b3dea22f07f4df67833cbe764feeeb4,Cryptonits (CRT),$0.00,3763,
34,35,0x6ced2d77eeb7a6e392cc2b1a3b44c872f49fa602,BZ DIAMOND (BZD),$0.00,302,
35,36,0x2e74Ee4fc4466d0883eF5E12A0Ce344BFe15BE8D,PumpETH (PETH),$0.00,26907,
36,37,0x554cb7d2542cda7e0db69ae67b1f4d27e910ea8e,FcukCovid (FCOV19),$0.00,138,
37,38,0x8c2710A0C12c179882a1a36A4Ad68d0112873E28,ELON M. BATTLE TOKEN (ELONM),$0.00,6293,
38,39,0x9Aab6f0f8240590e6D973A8E84ACD759a99cC08f,System Of All (SALL),$0.00,6,
39,40,0xd00793ff24c06fa8fc350ddb3de60fb9994416f1,Ether Evolution (EVLN),$0.00,18,
40,41,0x30b5e345c79255101b8af22a19805a6fb96ddebb,REV3AL (REV3L),$0.00,1578,
41,42,0x3a9d5ea8313838aa455b9816a4b6533ef2bbb7b6,Eglomart (EMR),$0.00,13474,
42,43,0x09Aa9feAeAC79Da39Aa3A5A69Cc713aC8c9DF24e,Upload Token (UPLOAD),$0.00,432,
43,44,0x2decb6d8789777910ca5e425370bc9b6e5eb7b9c,WORTHWHILE (WHE),$0.00,5025,
44,45,0x68569056c9d8e93201270a22588632a138fca324,Yolllo (YOLLLO),$0.00,195,
45,46,0x31c700576Da98Cfd3e2BA6e32A32774bC2A8D066,MiToken (MIT),$0.00,12,
