,Address,Name Tag,Balance,Txn Count
0,0x9a6ebe7e2a7722f8200d0ffb63a1f6406a0d7dce,Decentraland: DAO Agent,8.6358068 Ether,0
1,0x89214c8ca9a49e60a3bfa8e00544f384c93719b1,Decentraland: DAO Community,8.53007264 Ether,97
2,0x959e104e1a4db6317fa58f8295f586e1a978c297,Decentraland: Estate,0 Ether,16596
3,0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d,Decentraland: LAND,0 Ether,59689
4,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,Decentraland: MANA Token,0 Ether,1711694
5,0x55ed2910cc807e4596024266ebdf7b1753405a11,Decentraland: MultiSig 1,1 wei,414
6,0xe5d0c3fea1e5f01ca4098e9580b93b3b5d0ea768,Decentraland: MultiSig 2,0.01 Ether,285
7,0x5bd48309926121370da1cbbd5b958926e8bdb328,Decentraland: MultiSig 3,0.00301752 Ether,96
8,0xebde1cfefbdf9eae2eea69a145ddb82cb71e7651,Decentraland: Registry,0 Ether,1
9,0xa66d83716c7cfe425b44d0f7ef92de263468fb3d,Decentraland: Token Sale,0 Ether,7042
10,0xfe95e04a628087fcdd5f278e61f148b47471af4a,Decentraland: Wallet,1.40662209 Ether,454
11,0x3c337fa1bf8725f59f73db6db719c792c5e8ae74,Decentraland: Whitelist Sale,0 Ether,11844
12,0xfd09cf7cfffa9932e33668311c4777cb9db3c9be,Decentraland: wMANA Token,0 Ether,226
