,Address,Name Tag,Balance,Txn Count
0,0x1debbc50322150eb44de3b663d5faa89c12b07ff,ARCx: ARCx Emissions Distributor,0 ETH,17
1,0xc434c28da5940462213c0057660a7132337205c1,ARCx: ARCx Guardian DAO,0 ETH,83
2,0x859a95b2b50c1fc25560a2c6dad5b3d0ba34b6e9,ARCx: ARCx Protocol DAO,0 ETH,63
3,0x1321f1f1aa541a56c31682c57b80ecfccd9bb288,ARCx: ARCx Token,0 ETH,9110
4,0x4317d259fcce32ebbb508c27b12f4afaca074ae3,ARCx: ARCx Treasury DAO,47.48651741 ETH,54
5,0x84ead9ce2e36b3e6cdf41c94d5397e5056b3d8d6,ARCx: cUSDC-STABLEx-CoreProxy,0 ETH,241
6,0xd1902581868163bef61776cfd27228ee5074be8f,ARCx: Farm 1,0 ETH,907
7,0xa9a9300ab9a70c43c19d6f42e3308be24d73d885,ARCx: Farm 2,0 ETH,513
8,0x580836540ca183ab71aa4c58253f5eeaad2552dc,ARCx: Farm 2.1,0 ETH,127
9,0x38b25c0a9e61e226023b700ce4a6a4134ecaeedf,ARCx: Farm 3,0 ETH,422
10,0x8016f490d76346ebec91707fd4fb56a7fe64f694,ARCx: Farm 4,0 ETH,631
11,0xd41a21f6a3debfe28b06ace2312a69c53107cee5,ARCx: Farm 5,0 ETH,1176
12,0x1960afc89ff98f4ee64d29a5082eb5002b376e35,ARCx: Farm 6,0 ETH,88
13,0xa85333da5e5a48498f0a65a1a6521e0ceadd3efd,ARCx: Farm 6.1,0 ETH,215
14,0x8f1155447ee97b5ae147a01a5c420b0fddf0370d,ARCx: Farm 7,0 ETH,327
15,0x3043b623632ff1ac88b3a17113e39c0b964381c5,ARCx: Farm 8,0 ETH,409
16,0xab0bca3ff56d891cc8b22a5d9705f7088ce3bf3b,ARCx: Farm 9,0 ETH,782
17,0x81f16e6b58738daaa4c5d493a240cca49c240f04,ARCx: ibETH-STABLEx-CoreProxy,0 ETH,186
18,0x066b7660b2003793fb2ffd0b8152158c016fbfef,ARCx: imUSD-STABLEx-CoreProxy,0 ETH,46
19,0xed30dd7e50edf3581ad970efc5d9379ce2614adb,ARCx: Old ARCx Token,0 ETH,2909
20,0xcd91538b91b4ba7797d39a2f66e63810b50a33d0,ARCx: STABLEx Token,0 ETH,1130
21,0x3252efd4ea2d6c78091a1f43982ee2c3659cc3d1,ARCx: STABLEx-3CRV-f-2,0 ETH,1011
22,0xeb739e889e74383562695d94c495f5f69f9e2559,ARCx: SynthRegistryV2,0 ETH,10
23,0x562423f830582b6f704e175c439e132e59058284,ARCx: TokenClaim,0 ETH,338
24,0x2d6c5b9ff886bb4eefed33b2065366f4caa0e6fe,ARCx: WhitelistSale-Phase1,0 ETH,218
25,0xf2057de81eb26c09d4421cb6b0c222b9a656f8f3,ARCx: WhitelistSale-Phase2,0 ETH,231
26,0xc466ec062d554beb42f1766488f7345261c63616,ARCx: wstETH-STABLEx-CoreProxy,0 ETH,310
27,0xc3a5a0dc6241c922937c5cd90f5bace23716afb7,ARCx: xSUSHI-STABLEx-CoreProxy,0 ETH,489
28,0xebfd7b965e1b4c5719a006de1acaf82a7c3a142c,ARCx: yUSD-STABLEx-CoreProxy,0 ETH,290
