,Address,Name Tag,Balance,Txn Count
0,0x4804ad002ce301af61af43661c27cb441d4ac1fd,AtomSolutions: CEO,0 ETH,0
1,0x1bda68df5e41aacbc8cf4f355c5bbb7ac0fb53b6,AtomSolutions: Developers Team,0 ETH,0
2,0x112b12089611749406fde450fda9917f7f4ac3cb,AtomSolutions: EternalLive Exchange,0 ETH,11
3,0x49de60e12be091b26a0b9d6b7fc8ccb88c160a3e,AtomSolutions: Funds 1,0 ETH,0
4,0x5dec3b33dcc8dfcbb223e311b090af27afd3cd27,AtomSolutions: Funds 2,0 ETH,0
5,0x5eca044b580a86e7ab4b2076330978d6d125a270,AtomSolutions: HongKong Exchange 1,0.09845322 ETH,31
6,0x4827876f912505e4ad5ac6e788b1c0a0cd59f5b3,AtomSolutions: HongKong Exchange 2,0 ETH,0
7,0xa28d81bf8e4823cf4d6cc2767507dee271994e1a,AtomSolutions: Korea Exchange,0 ETH,2004
8,0xe64c383c9e56e8e29936ee2e564b20e7ac2e961a,AtomSolutions: Pool Wallet,0 ETH,0
9,0x2f5a7b563e6c4761d478273f5f9b4a444bdd2e3c,AtomSolutions: TokenHub Exchange,1.96254974 ETH,33
10,0x054c64741dbafdc19784505494029823d89c3b13,AtomSolutions: XET Token,0 ETH,10357
