,Address,Name Tag,Balance,Txn Count
0,0xf5b0a3efb8e8e4c201e2a935f110eaaf3ffecb8d,Axie Infinity: AXIE Token,0.29974351 ETH,148195
1,0xab4e5b618fb8f1f3503689dfbdf801478ff6c252,Axie Infinity: AXS Token,0 ETH,777538
2,0x65919fb2fea8a131129badec56e126ecc1bea979,Axie Infinity: AXS Token Swap,0 ETH,15416
3,0xf5d669627376ebd411e34b98f19c868c8aba5ada,Axie Infinity: Breeding Contract #1,0 ETH,434230
4,0x2da02ac5f19ae362a4121718d990e655eb628d96,Axie Infinity: Deployer,1.36771876 ETH,2875
5,0x93a0d0b23c3d045f395e26850c1b64df7f3ab783,Axie Infinity: Deployer 2,0.40535421 ETH,20
6,0xec0a0915a7c3443862b678b0d4721c7ab133fdcf,Axie Infinity: LUNA-AXS Token Swap,0 ETH,520
7,0xea1aa8035b766562e2bea7e63a4a1949f2bea31b,Axie Infinity: Multisig,0 ETH,62
8,0x64192819ac13ef72bf6b5ae239ac672b43a9af08,Axie Infinity: Old AXS Token,0 ETH,64243
9,0x73b1714fb3bfaefa12f3707befcba3205f9a1162,Axie Infinity: Ronin Bridge,469.31281306 ETH,3090749
10,0x1a2a1c938ce3ec39b6d47113c7955baa9dd454f2,Axie Infinity: Ronin Bridge V2,"37,371.85584575 ETH",66039
11,0x9ecbb8dbff5d32643fe308b399cef26d384875ba,Axie Infinity: Ronin Multisig,0.91931042 ETH,67
12,0xf5997bea71e1b66434eff247b3c584508df69895,Axie Infinity: Ronin Validator,0 ETH,2
13,0x01bf1d7c5e192313c26414e134584275f46271cf,Axie Infinity: SLP Token,0 ETH,1210956
14,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,Axie Infinity: SLP Token Swap,0 ETH,5036
15,0x01aac5236ad205ebbe4f6819bc64ef5bef40b71c,Axie Infinity: Token Vesting,0 ETH,125
16,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,Wrapped Origin Axie : WOA Token,0 ETH,2235
