,Address,Name Tag,Balance,Txn Count
0,0xcbc50d87dd3bca8148d36c59aaf7130937b73e33,Balancer: $BASED/FARM 90/10,0 ETH,1
1,0xb6ccab4082be3aeff751d014000f3d70f73816e7,Balancer: $BASED/WEV 98/2,0 ETH,0
2,0x224e906efe965dbe8ceb71e3cf1d5536c9ce196d,Balancer: $MULAN/ETH 95/5,0 ETH,2
3,0x9c1b855a9cd2d6232a6debd6f8b431c19a54c14e,Balancer: 0xBTC/DUST 10/90,0 ETH,3
4,0x2b36d183be387ca2cf81b63efdddb030f3a643eb,Balancer: 0xBTC/DUST 2/98,0 ETH,1
5,0xdbcd8b30ec1c4b136e740c147112f39d41a10166,Balancer: 0xBTC/ETH 50/50,0 ETH,7
6,0x2eefe2d42ccecd9980349c2189ddbfa9a47935af,Balancer: 0xBTC/ETH 50/50 #2,0 ETH,6
7,0xb3f89ed60d5fb8dfec5819444f5cea79abf5d6f6,Balancer: 0xBTC/ETH/WBTC 60/20/20,0 ETH,1
8,0xd5e10e8513e33a2867e20ddfc35ee081cba57769,Balancer: 0xMR/0xBTC 20/80 #2,0 ETH,1
9,0xfa3c06c8974afadabac543f359034129e50d91ce,Balancer: 0xMR/ETH/DAI 34/33/33 #2,0 ETH,1
10,0x1b4a4001037363e9dc61c17fab73c9ff56a37dd9,Balancer: 300/ETH 98/2,0 ETH,1
11,0x440a4816eeac25cfb949d1f9450ac1a2923c4834,Balancer: AAVE/ETH 50/50,0 ETH,1
12,0xd9346ab5a2ed5e32f5fc69a5cccf45211307ffc5,Balancer: AAVE/ETH/xAAVEb 25/25/50,0 ETH,814
13,0xfdda23ac2306c144ce65e864c5e14e030cd50795,Balancer: AAVE/UNI 60/40,0 ETH,1
14,0xbb3eb99a93b19e067251fb1c4a2fb048a1ed0a6c,Balancer: AAVE/UNI 75/25,0 ETH,110
15,0xc93525d9662aac00f5963f8f8af0142a9ff7a1f8,Balancer: AAVE/UNI 80/20,0 ETH,27
16,0x3895bd6a41c914111c8e1bbbd0c351e43190bd7f,Balancer: AAVE/USDC/DAI 50/25/25,0 ETH,0
17,0x2ec1597230ad9960ad851fc6d4de1e3c186c5c43,Balancer: ABYSS/USDC 90/10,0 ETH,1
18,0x8372b43a3d2d39d00d8f66d7f98e51e6d0d7da25,Balancer: aDAI/aBUSD 50/50 #2,0 ETH,0
19,0x22fc0ce06aa12d53a34ff38c3eae71868ec78b8e,Balancer: aDAI/aLEND 50/50 #2,0 ETH,2
20,0x3e6ec9946d8464a739789497eddc78c653eab5a3,Balancer: aDAI/aUSDC 50/50 #2,0 ETH,38
21,0xf339a90f767a8bd69748dedb17fa93aa4825c3f4,Balancer: aDAI/aUSDC 50/50 #3,0 ETH,17
22,0x921b08eb2ea560a4b46207d4ecde1e20fb177128,Balancer: aDAI/cDAI/DAI/COMP/ETH 35/35/10/10/10,0 ETH,2
23,0xd51cdcdfd2a75c9b163d73abe94984ef1eadfbd7,Balancer: aDAI/cDAI/DyDAI 33.33/33.33/33.33 #2,0 ETH,1
24,0x7ef2c76430b2e450ba0b7c56b7fd5ca32530753e,Balancer: aDAI/DAI 50/50 #2,0 ETH,1
25,0x5745ec394f7703b086132fd23adbe80dad0d9c30,Balancer: aDAI/REN 50/50 #2,0 ETH,1
26,0x8b0460c23d4e177c3b22ab6ea872d64f101ae5a2,Balancer: ADEL/ETH 50/50,0 ETH,6
27,0x0ba1d7092ad70aaf175924ab39412d5528ef3311,Balancer: ADX/yyDAI+yUSDC+yUSDT+yTUSD 40/60,0 ETH,4
28,0x3e46f1733da022a59685cba6e085c1c6341efca6,Balancer: aETH/aLINK/aSNX 33.33/33.33/33.33 #2,0 ETH,1
