,Address,Name Tag,Balance,Txn Count
0,0x1a4b46696b2bb4794eb3d4c26f1c55f9170fa4c5,BitDAO: BIT Token,0 ETH,129706
1,0x6a159503e49ddb8e49659d6cacf5236ac4213d86,BitDAO: ByBit Contribution,54.44922298 ETH,103
2,0x5a076b2d0941f2bc9b49d05d3a1ff9c7acdc5e78,BitDAO: Bybit Flexible,0 ETH,20
3,0xe5791f93b997c7fc90753a1f2711e479773a2a87,BitDAO: Bybit Locked 1,0 ETH,9
4,0xc20c13d2303eeaeeaeb7f73babf7014bce6d130a,BitDAO: Bybit Locked 10,0 ETH,7
5,0xf6032c7c15bf4b56bfc5d69208f9ce47f5958512,BitDAO: Bybit Locked 2,0 ETH,6
6,0xb67e28a7e0d1ad886eeeb18b0bda55b7efb56113,BitDAO: Bybit Locked 3,0 ETH,5
7,0x991a91681f80cb890338b89c1a72be719a902d8b,BitDAO: Bybit Locked 4,0 ETH,2
8,0x16fe6e64447051b1eb68d6408f041ac22f6fd563,BitDAO: Bybit Locked 5,0 ETH,2
9,0x44b4babd7cbc8ce32dc3ff77ed9b6df9e2d11003,BitDAO: Bybit Locked 6,0 ETH,2
10,0x3329fbcda16f15c4ed1d6847bf18e9d045ee941f,BitDAO: Bybit Locked 7,0 ETH,2
11,0xa2e5e8a607562b7bda05d5820e569c290b43be6d,BitDAO: Bybit Locked 8,0 ETH,4
12,0x3a9b1da81ca44febc97a713242f6a3feeec7c891,BitDAO: Bybit Locked 9,0 ETH,2
13,0x5c549dd85c80abf6f7860ab4bb8139004b716e29,BitDAO: Deployer,0 ETH,22
14,0xf405127e31e96216f6214983546e7a2de2b9881b,BitDAO: Launch Partner Rewards 1,0 ETH,7
15,0xd9107d1d077c2516e83cb41f41883570d904f050,BitDAO: Launch Partner Rewards 2,0 ETH,41
16,0x117c7c3835e7465926ae4ebc3f4e5a3c5afe108d,BitDAO: Private Sale,0 ETH,14
17,0x78605df79524164911c144801f41e9811b7db73d,BitDAO: Treasury,"269,946.63357762 ETH",70
18,0x02c2e03c5f241794909d953f5b8fa630856f172c,BitDAO: Treasury 2,0 ETH,4
