,Address,Name Tag,Balance,Txn Count
0,0x71660c4005ba85c37ccec55d0c4493e66fe775d3,Coinbase 1,348.853576 ETH,1573046
1,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase 10,"30,408.55283365 ETH",2262955
2,0x77696bb39917c91a0c3908d577d5e322095425ca,Coinbase 11,351.17768294 ETH,686920
3,0x7c195d981abfdc3ddecd2ca0fed0958430488e34,Coinbase 12,367.49354114 ETH,408011
4,0x95a9bd206ae52c4ba8eecfc93d18eacdd41c88cc,Coinbase 13,347.84380625 ETH,1541827
5,0xb739d0895772dbb71a89a3754a160269068f0d45,Coinbase 14,"6,302.21823408 ETH",791558
6,0x503828976d22510aad0201ac7ec88293211d23da,Coinbase 2,739.36970495 ETH,2111758
7,0xddfabcdc4d8ffc6d5beaf154f18b778f892a0740,Coinbase 3,"3,683.86262472 ETH",8384617
8,0x3cd751e6b0078be393132286c442345e5dc49699,Coinbase 4,350.07467426 ETH,10041411
9,0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511,Coinbase 5,"4,320.54681586 ETH",9529064
10,0xeb2629a2734e272bcc07bda959863f316f4bd4cf,Coinbase 6,"2,819.82476514 ETH",7818750
11,0xd688aea8f7d450909ade10c47faa95707b0682d9,Coinbase 7,0.00004046 ETH,3
12,0x02466e547bfdab679fc49e96bbfc62b9747d997c,Coinbase 8,0.00003565 ETH,4
13,0x6b76f8b1e9e59913bfe758821887311ba1805cab,Coinbase 9,0 ETH,5
14,0xbe3c68821d585cf1552214897a1c091014b1eb0a,Coinbase: Account Blacklister,0.34428961 ETH,211
15,0xf6874c88757721a02f47592140905c4336dfbc61,Coinbase: Coinbase Commerce,0 ETH,839274
16,0x881d4032abe4188e2237efcd27ab435e81fc6bb1,Coinbase: Commerce,0 ETH,1190343
17,0x6c8dd0e9cc58c07429e065178d88444b60e60b80,Coinbase: Commerce Fee,0.00398907 ETH,16962
18,0xbc8ec259e3026ae0d87bc442d034d6882ce4a35c,Coinbase: Commerce Fee 2,0.09469625 ETH,20045
19,0x02d24cab4f2c3bf6e6eb07ea07e45f96baccffe7,Coinbase: Commerce Fee 3,0.11669054 ETH,19785
20,0xce352e98934499be70f641353f16a47d9e1e3abd,Coinbase: Commerce Fee 4,0.00404874 ETH,15055
21,0x90e18a6920985dbacc3d76cf27a3f2131923c720,Coinbase: Commerce Fee 5,0.11993235 ETH,23807
22,0x4b23d52eff7c67f5992c2ab6d3f69b13a6a33561,Coinbase: Commerce Fee 6,0.04633688 ETH,20734
23,0xd2276af80582cac230edc4c42e9a9c096f3c09aa,Coinbase: Deposit 1,0 ETH,6
24,0xa090e606e30bd747d4e6245a1517ebe430f0057e,Coinbase: Miscellaneous,0.01402999 ETH,26137033
