,Address,Name Tag,Balance,Txn Count
0,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,Binance 7,"1,996,008.28833426 ETH",1114
1,0x2b49ce21ad2004cfb3d0b51b2e8ec0406d632513,Bitbee,0.04695762 ETH,1383
2,0xe92d1a43df510f82c66382592a047d288f85226f,Bitfinex 19,"450,118.32601097 ETH",86
3,0x33683b94334eebc9bd3ea85ddbda4a86fb461405,Coinbene: Cold Wallet,0.99772903 ETH,31734
4,0x6025d96932d378be7d0a46343b437678a126ecca,Freewallet: Cold Wallet,107.78494425 ETH,290269
5,0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea,Gemini 3,"479,498.95464704 ETH",353
6,0xd40cc2a93c84bf220b25b5b9b2dc49136f775a3c,Innovaminex: Cold Wallet,0.06965481 ETH,6
7,0x53d284357ec70ce289d6d64134dfac8e511c8a3d,Kraken 6,1.04696842 ETH,15008
8,0x88e343f4599292c2cffe683c1bb93cd3480bdbab,PXN: Cold Wallet,702.09060796 ETH,85
9,0xc9cf0ec93d764f5c9571fd12f764bae7fc87c84e,Upbit: Cold Wallet,0.24057975 ETH,296
10,0x15c5312e24482547ff35899afedcaeb572ecb029,xs2.exchange,3.76163992 ETH,5925
