,Address,Name Tag,Balance,Txn Count
0,0xaf8fbf59e221d27b55dc3adc2366f9230bcf5096,0xSplits: Donate,0 ETH,85
1,0x28b88cfd875c883cdb61938c97b8d1baabf31c88,Affogato: Donate,615 wei,80
2,0xde419e1ae03364473cb050765553790a009bfbdf,Anka Relief: Turkey Donation,98.6821298 ETH,88
3,0xc041154d39f54fdeb90ac5d64b2414c5024080aa,Archive.org: Donate,1.54085728 ETH,24
4,0x73ea9107272526c4624a528dd770bd686a4bc760,Basic Needs Association: Turkey Donation,0.00637034 ETH,9
5,0x532fb5d00f40ced99b16d1e295c77cda2eb1bb4f,Binance Charity,42.41349573 ETH,152
6,0xd1343c4231235918b2863827643723b602c7eedd,BitcoinPaperWallet.com: Donate,0 ETH,0
7,0x0e7e676328921e8a0f871bb87a9258be0e047055,BitScreener: Donate,0 ETH,232
8,0x25d1a1f25af8340ab45db7f1686f5a225bf9e07e,BlockFrens: Charity,0.09703129 ETH,39
9,0x1357ba1b8327f3c38dc7408b3cc0a9ce7c87e958,Bloxy.info: Donate,0.00451107 ETH,10
10,0x19ed10db2960b9b21283fdfde464e7bf3a87d05d,boxswap: Donate,0.02699617 ETH,89
11,0x9b984d5a03980d8dc0a24506c968465424c81dbe,ChainSafe: Donate,3.28729149 ETH,46
12,0x17517d7e79543750983735b0fe3ec6aff8efd55f,Check My NFT: Donate,0 ETH,0
13,0xa8cc2b4bd58c778a45dee62bb0714e2da37ca95c,Chico Crypto: Donate,4.52409907 ETH,423
14,0x68065ca481bfb5e84c0d0e1ceae3021786f9aec6,Code to Inspire: Donate,29.04048708 ETH,84
15,0x4fb873af41387b211045cf235b33c6ad53954612,Coin Center,0.34927611 ETH,1034
16,0x8953a9b92b72995e9b5502c4c6a86f1b3db48c4f,Coinbooks: Donate,0 ETH,4
17,0xf8843981e7846945960f53243ca2fd42a579f719,CoinGecko: Donate,40.01872758 ETH,589
18,0xc351155c80acd043bd5f8fe7ffc8536af1ff9375,CoinSpectator: Donate,0.03705863 ETH,4
19,0xc183aa3924ceed27a182f3ede001bb7ef843d4bb,Cointargets.io: Donate,0.00561556 ETH,76
20,0xf4016873cca7c516ce2e5659ccbb55b2e7ac58c9,Commeth: Donation,0.14361606 ETH,6
21,0x78b801cc0fbd8d732722474fafe1feb52f2db5f6,Community Volunteers Foundation: Turkey Donation,0.00334095 ETH,2
22,0x3c5c2f4bcec51a36494682f91dbc6ca7c63b514c,Coronavirusapi.com: Donate,0.005 ETH,1
23,0x4bbeeb066ed09b7aed07bf39eee0460dfa261520,Curve.fi: Donate,0.00290789 ETH,270
