,Address,Name Tag,Balance,Txn Count
0,0x1a394b92c090155a6e9a2c385f5f376776a5e110,Fantom: Bridge (Locked),0 ETH,1
1,0xb00ab6203ebaae6b1debc411eda8f95fd17e74c5,Fantom: Deployer,0.28990199 ETH,458
2,0x431e81e5dfb5a24541b5ff8762bdef3f32f96354,Fantom: Fantom Foundation,135.83955497 ETH,11263
3,0x1bffb3a232e06e06a5d9e93c8df3321f768197c2,Fantom: Foundation Wallet 1,1.35278041 ETH,1397
4,0xc73b84eac512a04f139d4a200aae0ff24c4a5cbc,Fantom: Foundation Wallet 10,0 ETH,0
5,0xd160d9b59508e4636eec3e0a7f734268d1ce1047,Fantom: Foundation Wallet 11,0 ETH,0
6,0x03894d86cc6e1e41e8bba17469204d304c4e92b8,Fantom: Foundation Wallet 12,0 ETH,0
7,0x51af0532e6bd89695266e714a1b09fd1ac297dc7,Fantom: Foundation Wallet 13,0 ETH,0
8,0x009c921e9b8be47c055fdb6a50c0f604a4c9c9b4,Fantom: Foundation Wallet 14,0.67941407 ETH,19
9,0x48f7572cfbc4f246600cf816c668271034d81f8f,Fantom: Foundation Wallet 15,0.43442198 ETH,169
10,0x9fb0935d1f6e2bce2b5fd78e8cd28c8c420f7998,Fantom: Foundation Wallet 16,0 ETH,0
11,0x0b2e90c831626a65a26f75153be54aeaaeeb8363,Fantom: Foundation Wallet 17,0 ETH,0
12,0x386aa44439e9c7181b1f0f1cac0efa478b623b27,Fantom: Foundation Wallet 18,0.48118326 ETH,94
13,0x596288a9090c9eedf87bb5f2da5d8e1bbc7bb935,Fantom: Foundation Wallet 19,0 ETH,0
14,0xca81dbbbb9389a5387f0acad4d018756a04d7f2c,Fantom: Foundation Wallet 2,76.48766659 ETH,119
15,0xf72f6fba7d55b00c25f2e5205e6bca9aaa470434,Fantom: Foundation Wallet 20,750 ETH,8
16,0xb5c484af0c7a2946ebfb5d912a22a701fb8e3f70,Fantom: Foundation Wallet 21,0.97280751 ETH,4
17,0xeb8a4eadd643ea3873dfecfba18bd709d3206919,Fantom: Foundation Wallet 3,10.13644391 ETH,100
18,0x541e408443a592c38e01bed0cb31f9de8c1322d0,Fantom: Foundation Wallet 4,0 ETH,0
19,0x35701189d211215cb38393f407b4767886deb03a,Fantom: Foundation Wallet 5,0 ETH,0
20,0xefc9200cd50ae935da5d79d122660ddb53620e74,Fantom: Foundation Wallet 6,0 ETH,0
21,0x7f9d1dbaf84d827b0840e38f555a490969978d20,Fantom: Foundation Wallet 7,0 ETH,0
22,0xfd09f0296af88ac777c137ecd92d85583a9b9e4a,Fantom: Foundation Wallet 8,0 ETH,0
23,0x93194b30fa85d1927852769bab1822dd2b6818e1,Fantom: Foundation Wallet 9,0 ETH,0
24,0x4e15361fd6b4bb609fa63c81a2be19d873717870,Fantom: FTM Token,0 ETH,729980
