,Address,Name Tag,Balance,Txn Count
0,0x0000000000000000000000000000000000000000,Null Address: 0x000...000,"11,542.37823081 ETH",73658
1,0x0000000000000000000000000000000000000002,Null Address: 0x000...002,4.08588389 ETH,138
2,0x0000000000000000000000000000000000000003,Null Address: 0x000...003,1.49072369 ETH,53
3,0x0000000000000000000000000000000000000004,Null Address: 0x000...004,1.90047114 ETH,27
4,0x0000000000000000000000000000000000000005,Null Address: 0x000...005,0.17222679 ETH,17
5,0x0000000000000000000000000000000000000006,Null Address: 0x000...006,2 wei,2
6,0x0000000000000000000000000000000000000007,Null Address: 0x000...007,1 wei,2
7,0x0000000000000000000000000000000000000008,Null Address: 0x000...008,1 wei,4
8,0x0000000000000000000000000000000000000009,Null Address: 0x000...009,1 wei,4
9,0x3333333333333333333333333333333333333333,Null Address: 0x333...333,0.00333333 ETH,3
10,0x4444444444444444444444444444444444444444,Null Address: 0x444...444,0.04794444 ETH,5
11,0x8888888888888888888888888888888888888888,Null Address: 0x888...888,0.00888888 ETH,11
12,0xc67810de5816917f1dbc618c084b82441921f55f,LUKSO: LYXe Genesis Funds,0 ETH,13
