,Address,Name Tag,Balance,Txn Count
0,0x0e3a2a1f2146d86a604adc220b4967a898d7fe07,Gods Unchained: CARD,0 ETH,30622
1,0xbea8c2f97fa34dc1cfdd7acbdc8226fb1c8c7473,Gods Unchained: Deployer 1,5.14419079 ETH,255
2,0xef536c805482feb3d838426ed48320f77fd5f82b,Gods Unchained: Deployer 2,0.09711025 ETH,30123
3,0x6ebeaf8e8e946f0716e6533a6f2cefc83f60e8ab,Gods Unchained: GODS,0 ETH,1414
4,0x9b45b116b68c388e49610c9be585dbee201467a7,GU: Auction Pack,146.27933039 ETH,164
5,0x91b9d2835ad914bc1dcfe09bd1816febd04fd689,GU: Capped Vault,0 ETH,57
6,0x6e0051c750b81f583f42f93a48d56497779992d8,GU: Epic Pack,0 ETH,22
7,0x482cf6a9d6b23452c81d4d0f0f139c1414963f89,GU: Epic Pack Four,0.063 ETH,11015
8,0x84487e50db6317e5e834d89d0e81fd873462ea47,GU: Epic Pack Three,0 ETH,19
9,0xe5dc9d1b58fd5a95fc20a6c6afaa76d44d70a7df,GU: Epic Pack Two,0 ETH,53
10,0x5789e2b5460cae9329d93a78511e2ac49f98a1f6,GU: Legendary Pack,0 ETH,119
11,0xc47d7d42e44b2e04c83a45cf45898e597a0c2311,GU: Legendary Pack Four,1.9908 ETH,49578
12,0x80b3075410ee52c520dd203f60206f633d27a109,GU: Legendary Pack Three,0 ETH,284
13,0x6c5dc1dcda3d309a6e919e6d0965f197e0fc1913,GU: Legendary Pack Two,0 ETH,443
14,0x015531a044bae03bf4dab1ceabfc232a969b7175,GU: Rare Pack,0 ETH,340
15,0x0777f76d195795268388789343068e4fcd286919,GU: Rare Pack Four,0.59076 ETH,227974
16,0x08dbf4f942ba8cd7871c13addefdffef3e5a8035,GU: Rare Pack Three,0 ETH,315
17,0xca6746f65d53d2df5022b5d775817e62e8462690,GU: Rare Pack Two,0 ETH,614
18,0x000983ba1a675327f0940b56c2d49cd9c042dfbf,GU: Shiny Legendary Pack,0 ETH,21
19,0x1e891c587b345ab02a31b57c1f926fb08913d10d,GU: Shiny Legendary Pack Four,0.98 ETH,3992
20,0x314495517f380ceb7c498a35739e40864240adcf,GU: Shiny Legendary Pack Three,0 ETH,19
21,0x80391307f1b08cc068fa1d1b77513b98c36dfbfa,GU: Shiny Legendary Pack Two,0 ETH,43
22,0x22365168c8705e95b2d08876c23a8c13e3ad72e2,GU: Tournament Pass,0 ETH,1213
23,0xe7e02be77d46ca4def893d1d05198f4be5c1ecd8,GU: Vault,0 ETH,2
