,Address,Name Tag,Balance,Txn Count
0,0x6d6da471703647fd8b84ffb1a29e037686dbd8b2,Juicebox: Active 3 Days Funding Cycle Ballot,0 ETH,1
1,0xef7480b6e7ced228ffb0854fe49a428f562a8982,Juicebox: Active 7 Days Funding Cycle Ballot,0 ETH,1
2,0xf507b2a1dd7439201eb07f11e1d62afb29216e2e,Juicebox: Funding Cycles,0 ETH,1
3,0xac43e14c018490d045a774008648c701cda8c6b3,Juicebox: Governance,0 ETH,3
4,0xb9e4b658298c7a36bdf4c2832042a5d6700c3ab8,Juicebox: Mod Store,0 ETH,80
5,0xab47304d987390e27ce3bc0fa4fe31e3a98b0db2,Juicebox: Operator Store,0 ETH,471
6,0xa9537cc42555564206d4e57c0eb6943d56e83a30,Juicebox: Prices,0 ETH,2
7,0x9b5a4053ffbb11ca9cd858aaee43cc95ab435418,Juicebox: Projects,0 ETH,484
8,0x46c9999a2edcd5aa177ed7e8af90c68b7d75ba46,Juicebox: Terminal Directory,0 ETH,2
9,0xee2ebccb7cdb34a8a822b589f9e8427c24351bfc,Juicebox: Ticket Booth,0 ETH,21040
