,Address,Name Tag,Balance,Txn Count
0,0xf82b1fdcd493b2defab52c740399ff150baa7a2a,Allnodes: Lido Node Operator,1.95161198 ETH,249
1,0x1dd909cddf3dbe61ac08112dc0fdf2ab949f79d8,Anyblock Analytics: Lido Node Operator,0 ETH,58
2,0x753d5167c31fbeb5b49624314d74a957eb271709,Attestant (BVI) Limited: Lido Node Operator,17.54086862 ETH,300
3,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,Blockdaemon: Lido Node Operator,0.08672837 ETH,255
4,0x8845d7f2bbfe82249c3b95e378a6ed039dd953f5,Blockscape: Lido Node Operator,1.61202459 ETH,629
5,0x8d689476eb446a1fb0065bffac32398ed7f89165,BridgeTower Capital: Lido Node Operator,0.41780707 ETH,313
6,0xc1a900ae76db21dc5aa8e418ac0f4e888a4c7431,Certus One: Lido Node Operator,33.12953982 ETH,618
7,0xdd4bc51496dc93a0c47008e820e0d80745476f22,ChainLayer: Lido Node Operator,2.61483579 ETH,221
8,0xd5ac23b1ade91a054c4974264c9dbddd0e52bb05,ChainSafe: Lido Node Operator,3.77009114 ETH,185
9,0xa2dfc431297aee387c05beef507e5335e684fbcd,Chorus One: Lido Node Operator,2.64716068 ETH,289
10,0x49df3cca2670eb0d591146b16359fe336e476f29,CryptoManufaktur: Lido Node Operator,0.34012337 ETH,664
11,0xf73a1260d222f447210581ddf212d915c09a3249,DSRV: Lido Node Operator,1.35493451 ETH,380
12,0x5f74a2db08d717c94457c550af54548c4241ace9,Everstake: Lido Node Operator,2.25804719 ETH,632
13,0x77781a93c4824d2299a38ac8bbb11eb3cd6bc3b7,Figment Capital: Lido Node Operator,0.84148104 ETH,230
14,0x1597d19659f3de52abd475f7d2314dcca29359bd,hashQuark: Lido Node Operator,0.749047 ETH,256
15,0x0f25c1dc2a9922304f2eac71dca9b07e310e8e5a,InfStones: Lido Node Operator,0.34602811 ETH,246
16,0xfe5986e06210ac1ecc1adcafc0cc7f8d63b3f977,Kukis Global: Lido Node Operator,3.984521 ETH,273
17,0x3e40d73eb977dc6a537af587d48316fee66e9c8c,Lido: 1inch Liquidity Farming,0 ETH,146
18,0x3a6bd15abf19581e411621d669b6a2bbe741ffd6,Lido: 1inch LP Rewards Manager,0 ETH,7
19,0x8b90ac446d4360332129e92f857a9d536db9d7c2,Lido: 1inch stETH-DAI Pool,0 ETH,680
20,0x0ac7e9af32422ac5968622585822e4d89ef51343,Lido: Add Reward Program,0 ETH,1
21,0xc0b581e041c17716ea1fcede4ec40e2e27a48aba,Lido: Aragon ACL,0 ETH,0
22,0xfef3c7aa6956d03dbad8959c59155c4a465dcacd,Lido: Aragon Finance,0 ETH,5
23,0x0d97e876ad14db2b183cfeeb8aa1a5c788eb1831,Lido: Aragon Token Manager,0 ETH,160
24,0x3129c041b372ee93a5a8756dc4ec6f154d85bc9a,Lido: Aragon Voting,0 ETH,1222
25,0xcd51df5142156bd92e7a9494dd2b9362f5078d64,Lido: Arbitrum L1 ERC20 Token Gateway,0 ETH,14
26,0x442af784a788a5bd6f42a01ebe9f287a871243fb,Lido: ARCx Manager Contract,0 ETH,4
27,0x55a7e1cbd678d9ebd50c7d69dc75203b0dbdd431,Lido: Balancer LP rewards Manager Contract,0 ETH,26
28,0xf0211b7660680b49de1a7e9f25c65660f0a13fea,Lido: Balancer LP Rewards Manager V2,0 ETH,6
