,Address,Name Tag,Balance,Txn Count
0,0x028fb01ffafe25e278ebb467f69bd79a928cf25e,MCDEX: BTC AMM,0 ETH,5
1,0xe3c29ce0c36863fd682f1afe464781df6bebaa0a,MCDEX: BTC Perpetual,0 ETH,11
2,0x5378b0388ef594f0c2eb194504aee2b48d1eac18,MCDEX: COMP AMM,0 ETH,111
3,0xfa203e643d1fddc5d8b91253ea23b3bd826cae9e,MCDEX: COMP Perpetual,0 ETH,32
4,0xaaac8434217575643b2d2ab6f12ce8600c625520,MCDEX: ETH AMM,0 ETH,11309
5,0x220a9f0dd581cbc58fcfb907de0454cbf3777f76,MCDEX: ETH Perpetual,683.62048187 ETH,3892
6,0xbe83943d5ca2d66fb7ba3a8d4a983782f31a42dc,MCDEX: LEND AMM,0 ETH,144
7,0xd48c88a18bfa81486862c6d1d172a39f1365e8ac,MCDEX: LEND Perpetual,0 ETH,40
8,0x7230d622d067d9c30154a750dbd29c035ba7605a,MCDEX: LINK AMM,0 ETH,451
9,0xa04197e5f7971e7aef78cf5ad2bc65aac1a967aa,MCDEX: LINK Perpetual,0 ETH,101
10,0x942df696cd1995ba2eab710d168b2d9cee53b52c,MCDEX: SNX AMM,0 ETH,158
11,0x4cc89906db523af7c3bb240a959be21cb812b434,MCDEX: SNX Perpetual,0 ETH,35
12,0x072fbb7232bf368899827011c51df03a1d59ce45,MCDEX: DefiPulse Vesting #1,0 ETH,1
13,0x97bc5385530066b87ead0ba0e927b8512c0b2aa7,MCDEX: DefiPulse Vesting #2,0 ETH,1
14,0x786455985c1bd722b0b7e00ce3152b45183c5df4,MCDEX: DefiPulse Vesting #3,0 ETH,2
15,0x904b5993fc92979eeedc19ccc58bed6b7216667c,MCDEX: Deployer,1.65621578 ETH,434
16,0x38ca50c6e3391a5bf73c2504bd9cd9c0b9d89053,MCDEX: Foundation,0 ETH,192
17,0xa8f13a7e97a624e6d0b88d0a4fe7080be7b6ca21,MCDEX: Team Vesting #1,0 ETH,6
18,0x21c09c55af2643023efe8775ae20dd23a53585ab,MCDEX: Team Vesting #10,0 ETH,4
19,0x5bbbaf040a017966c9e966edbb9221b37b2c2923,MCDEX: Team Vesting #11,0 ETH,3
20,0xd72a41aa286f045e9a4d55f589edae141cfc4952,MCDEX: Team Vesting #12,0 ETH,2
21,0x92d8736ce002e9ca4b864377a2ff65b74340d04c,MCDEX: Team Vesting #13,0 ETH,2
22,0xba9a70a5dd74343c0dfaa3826d14e96297da171c,MCDEX: Team Vesting #14,0 ETH,2
23,0xb7f09da3e0e75d7342d3ec01649903857f0b5075,MCDEX: Team Vesting #15,0 ETH,2
24,0xa9e23857cd6eb5c7ed2159edd68ab5b24285f977,MCDEX: Team Vesting #16,0 ETH,2
25,0x9cc56b52387ed71c8c29ffad7416f973f0555902,MCDEX: Team Vesting #17,0 ETH,2
26,0x7dbcc4335ccadc2993279052ea070bd2c0786d85,MCDEX: Team Vesting #18,0 ETH,2
27,0x4add71348f750b038869ab0ce6c3309a922d1892,MCDEX: Team Vesting #19,0 ETH,2
28,0xe26b8a84028fe92a2f473b7c114ec95cef73927e,MCDEX: Team Vesting #2,0 ETH,5
29,0x532fe523a638b714ddfbd820d41c68f9e2c6e1db,MCDEX: Team Vesting #20,0 ETH,2
30,0xb0f0e4c0615e1905ed08905bf4486f73e7eddd63,MCDEX: Team Vesting #21,0 ETH,2
31,0x21c6e6b19ad4011a5bd270214d98382319de1bcb,MCDEX: Team Vesting #22,0 ETH,2
32,0xf6e88d5aca2d9fbed26de198d2f78dee1c97a369,MCDEX: Team Vesting #23,0 ETH,2
33,0x6ae6be7b8e48f8ad3ebcccedac31841bc1516239,MCDEX: Team Vesting #24,0 ETH,2
34,0x17ec352286d1a8117d39674b6fd20f1e06969408,MCDEX: Team Vesting #25,0 ETH,2
35,0x278d33a37c206966cb6447963cca9246c137a036,MCDEX: Team Vesting #26,0 ETH,2
36,0xdca445b99ea5e9bde70169fc9977032535b1ee02,MCDEX: Team Vesting #27,0 ETH,1
37,0x6ecc9da2698870db2c1792369a6fc520b5de6461,MCDEX: Team Vesting #28,0 ETH,1
38,0xa5ff91816cebd3878f9b7c3161b08f7213a37347,MCDEX: Team Vesting #29,0 ETH,1
39,0x34a99cb066777495ad8ff3def0c39bdec72adae3,MCDEX: Team Vesting #3,0 ETH,2
40,0x205285d6eef9055779650f6556c3704a5b514271,MCDEX: Team Vesting #30,0 ETH,1
41,0x5910a985197cedccfba0c3a27bd37a46cb0f8011,MCDEX: Team Vesting #31,0 ETH,1
42,0x57469550b9a42d2fd964e67a9dd1de3d9169b291,MCDEX: Team Vesting #32,0 ETH,1
43,0x42ff3d43979f083c8aa3166298789261b66dc926,MCDEX: Team Vesting #4,0 ETH,2
44,0x89108a54d94152db363318f8085dc8b7abf03323,MCDEX: Team Vesting #5,0 ETH,2
45,0xe078be6acc9c1e23474d23e2ab2aa0c528c1494e,MCDEX: Team Vesting #6,0 ETH,2
46,0x490a11e5195bb6f1c9c555e744f6bc1b35a3eaea,MCDEX: Team Vesting #7,0 ETH,2
47,0xe87352f80cf096584d473d7821ffb220ffcceedd,MCDEX: Team Vesting #8,0 ETH,2
48,0xdd35bd8a76c711783ae2ef5ed0d6bb3fee18fdc3,MCDEX: Team Vesting #9,0 ETH,2
