,Address,Name Tag,Balance,Txn Count
0,0x5f927395213ee6b95de97bddcb1b2b1c0f16844f,Manta-builder,0.01624621 ETH,20199
1,0xc9d945721ed37c6451e457b3c7f1e0cec42417fb,antbuilder,1.04874766 ETH,1047
2,0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5,beaverbuild,11.65798942 ETH,257545
3,0x965df5ff6116c395187e288e5c87fb96cfb8141c,bloXroute: Builder 1,25.357208 ETH,35
4,0xf573d99385c05c23b24ed33de616ad16a43a0919,bloXroute: Ethical Builder,1.32778407 ETH,10856
5,0xf2f5c73fa04406b1995e397b55c24ab1f3ea726c,bloXroute: Max Profit Builder,0.59314678 ETH,61388
6,0x199d5ed7f45f4ee35960cf22eade2076e95b253f,bloXroute: Regulated Builder,0.05739497 ETH,33132
7,0x3b64216ad1a58f61538b4fa1b27327675ab7ed67,Boba Builder,0.09771135 ETH,2647
8,0x690b9a9e9aa1c9db991c7721a92d351db4fac990,builder0x69,1.15881095 ETH,325530
9,0xaab27b150451726ec7738aa1d0a94505c8729bd1,Eden Network: Builder,3.95801024 ETH,25408
10,0xfeebabe6b0418ec13b30aadf129f5dcdd4f70cea,eth-builder,32.87466727 ETH,43309
11,0xdafea492d9c6733ae3d56b7ed1adb60692c98bc5,Flashbots: Builder,0.0038236 ETH,365229
12,0xb64a30399f7f6b0c154c2e7af0a3ec7b0a5b131a,Flashbots: Old Builder,0.00006595 ETH,3909
13,0xc83dad6e38bf7f2d79f2a51dd3c4be3f530965d6,Flashbots: SGX Builder,0 ETH,885
14,0x7316b4e0f0d4b19b4ac13895224cd522d785e51d,lightspeedbuilder 1,0.00366652 ETH,320
15,0xd2090025857b9c7b24387741f120538e928a3a59,lightspeedbuilder 2,1.31405389 ETH,6329
16,0x57865ba267d48671a41431f471933aec32a7c7d1,Manifold Finance: Builder,0 ETH,3535
17,0x000e633ddef00da46abd5044779257a64ead9bce,MEV Builder: 0x000...bce,0 ETH,22
18,0x089780a88f35b58144aa8a9be654207a1afe7959,MEV Builder: 0x089...959,0.00940635 ETH,311
19,0x1324c0fb6f45f3bf1aaa1fcdc08f17431f53ded7,MEV Builder: 0x13...eD7,0.07955671 ETH,1067
20,0x14f1a856a821b3ce5f59d3ba813d614546125c15,MEV Builder: 0x14F...C15,0.00120486 ETH,10
21,0x1b63142628311395ceafeea5667e7c9026c862ca,MEV Builder: 0x1B...2Ca,46.77961334 ETH,1097
22,0x1d0124fee8dbe21884ab97adccbf5c55d768886e,MEV Builder: 0x1d0...86e,0.00346194 ETH,145
23,0x1e54945fbf1872e34d76b7d72151b861704df8b2,MEV Builder: 0x1e54...8B2,1.10669575 ETH,1991
24,0x229b8325bb9ac04602898b7e8989998710235d5f,MEV Builder: 0x22...d5f,1.91216743 ETH,508
25,0x25d88437df70730122b73ef35462435d187c466f,MEV Builder: 0x25D...66f,1.08363998 ETH,2112
26,0x333333f332a06ecb5d20d35da44ba07986d6e203,MEV Builder: 0x333...203,3.78487382 ETH,1835
27,0x3bee5122e2a2fbe11287aafb0cb918e22abb5436,MEV Builder: 0x3B...436,15.39484339 ETH,3046
28,0x3b7faec3181114a99c243608bc822c5436441fff,MEV Builder: 0x3b...FfF,7.38933468 ETH,5789
29,0x3c496df419762533607f30bb2143aff77bebc36a,MEV Builder: 0x3c...36A,0.40423575 ETH,945
30,0x473780deaf4a2ac070bbba936b0cdefe7f267dfc,MEV Builder: 0x473...dFc,0.02937278 ETH,29482
31,0x4a55474eacb48cefe25d7656db1976aa7ae70e3c,MEV Builder: 0x4A5...E3C,0.08847902 ETH,429
32,0x57af10ed3469b2351ae60175d3c9b3740e1bb649,MEV Builder: 0x57...649,0.20464946 ETH,3164
33,0x5f525f637759fca7c9d1c0c4f9d479d6e8d8cef5,MEV Builder: 0x5F...eF5,0.0108578 ETH,127
34,0x6af43cc73c4a871274767887e8e39eeb540582a3,MEV Builder: 0x6a...2A3,0.28008242 ETH,376
35,0x8d5998a27b3cdf33479b65b18f075e20a7aa05b9,MEV Builder: 0x8D...5b9,0.00156574 ETH,824
36,0x5124fcc2b3f99f571ad67d075643c743f38f1c34,MEV Builder: 0x968...9b2,3.92213085 ETH,3901
37,0x9d8e2dc5615c674f329d18786d52af10a65af08b,MEV Builder: 0x9D8...08b,0.00999115 ETH,304
38,0xa7fdca7aa0b69927a34ec48ddcfe3d4c66ff0d94,MEV Builder: 0xA7F...d94,0.18872896 ETH,342
39,0xac7ea48093b61f2e217b9d077d69d9d55ca1b106,MEV Builder: 0xaC7...106,0.54567626 ETH,905
40,0xae08c571e771f360c35f5715e36407ecc89d91ed,MEV Builder: 0xae...1ed,0.24177555 ETH,2031
41,0xb4c9e4617a16be36b92689b9e07e9f64757c1792,MEV Builder: 0xb4c...792,0.0001416 ETH,4282
