,Address,Name Tag,Balance,Txn Count
0,0x5c08b51ddbe8ba76e07be79975906c39aef2893a,,0 ETH,3
1,0x3d7f0933ac403773d219cf0519de8082946dc10f,,0 ETH,11
2,0xf99d58e463a2e07e5692127302c20a191861b4d6,AnySwap: ANY Token,0 ETH,15375
3,0x51600b0cff6bbf79e7767158c41fd15e968ec404,Multichain: anyBTC Token,0 ETH,243
4,0xc10ef9f491c9b59f936957026020c321651ac078,Multichain: anyCall V6,0.491 ETH,1278
5,0x739ca6d71365a08f584c8fc4e1029045fa8abc4b,Multichain: anyDAI Token,0 ETH,55
6,0x2ac03bf434db503f6f5f85c3954773731fc3f056,Multichain: anyETH,0 ETH,3
7,0x0615dbba33fe61a31c7ed131bda6655ed76748b1,Multichain: anyETH Token,0 ETH,21
8,0x979aca85ba37c675e78322ed5d97fa980b9bdf00,Multichain: anyFSN Token,0 ETH,660
9,0x0abcfbfa8e3fda8b7fba18721caf7d5cf55cf5f5,Multichain: anyLTC Token,0 ETH,104
10,0x54f5a04417e29ff5d7141a6d33cb286f50d5d50e,Multichain: Anyswap Create2,0 ETH,11
11,0x7ea2be2df7ba6e54b1a9c70676f668455e329d29,Multichain: anyUSDC Token,0 ETH,226
12,0x22648c12acd87912ea1710357b1302c6a4154ebc,Multichain: anyUSDT Token,0 ETH,538
13,0xfc7cc7c7e7985316d23104b9689c511134f59bc8,Multichain: Astar Bridge,0.88971484 ETH,151
14,0x13b432914a996b0a48695df9b2d701eda45ff264,Multichain: BNB Bridge,226.77258412 ETH,27455
15,0x4464fc279180045b1f57beacfa0d82e9cd4235cd,Multichain: Deployer 1,0.19218355 ETH,1978
16,0x49addc76569402cf893c015ac69a177aaf4e822b,Multichain: Deployer 2,0.76808612 ETH,340
17,0x8132d337977f8d145a7b9cfac393df123c0f0e43,Multichain: Deployer 3,0.39970201 ETH,54
18,0xa80f73b93526ef992b52e3998bb103a0a8f2359d,Multichain: Deployer 5,0.613015 ETH,39
19,0xc564ee9f21ed8a2d8e7e76c085740d5e4c5fafbe,Multichain: Fantom Bridge,5.52709623 ETH,129324
20,0x87bcb3038988ca2a89605ffa8f237fb78df1c3ae,Multichain: Fuse Bridge,0.95323059 ETH,77
21,0x46290b0c3a234e3d538050d8f34421797532a827,Multichain: Fusion Bridge,14.79969173 ETH,552
22,0xd779967f8b511c5edf39115341b310022900efed,Multichain: Huobi Bridge,12.89545092 ETH,1512
23,0x923e0a17f49fb03d936f2af2d59d379c615f5447,Multichain: KCC Bridge,1.85446898 ETH,222
24,0xec4486a90371c9b66f499ff3936f29f0d5af8b7e,Multichain: Moonbeam Bridge,160.11402202 ETH,7486
25,0x10c6b61dbf44a083aec3780acf769c77be747e23,Multichain: Moonriver Bridge,"1,507.91928508 ETH",33831
26,0xe4cf417081a0ab3f964b44d904bc2b534351a9a7,Multichain: Oasis Network Bridge,4.48279508 ETH,241
27,0x533e3c0e6b48010873b947bddc4721b1bdff9648,Multichain: Old BSC Bridge,1.74810374 ETH,63400
28,0xe95fd76cf16008c12ff3b3a937cb16cd9cc20284,Multichain: Router V3,0 ETH,55888
29,0x6b7a87899490ece95443e979ca9485cbe7e71522,Multichain: Router V4,0 ETH,210062
30,0x765277eebeca2e31912c9946eae1021199b39c61,Multichain: Router V4 2,0 ETH,74722
31,0xba8da9dcf11b50b03fd5284f164ef5cdef910705,Multichain: Router V6,0 ETH,98507
32,0x4e67df0f232c3bc985f8a63326d80ce3d9a40400,Multichain: Shiden Network Bridge,20.05059689 ETH,1489
33,0x8cc49fe67a4bd7a15674c4ffd4e969d94304bbbf,Multichain: Syscoin Bridge,75.21213555 ETH,789
34,0x57ed6bd35a6ce815079855cd0b21331d1d5d0a0e,Multichain: Telos Bridge,340.97487673 ETH,1579
35,0xcdd83050f045ab31b884f0dc49581bc7b3e0b84c,Multichain: Velas Bridge,62.70563412 ETH,142
36,0xb153fb3d196a8eb25522705560ac152eeec57901,Multichain: Wrapped Ether,0 ETH,210
37,0x1722800c0f1bfdf916ef948ef7790a861e90d558,multiDAO,0 ETH,3
