,Address,Name Tag,Balance,Txn Count
0,0xfc64382c9ce89ba1c21692a68000366a35ff0336,Nexus Mutual: Foundation,1.82460381 ETH,555
1,0x4a5c681ddc32acc6cca51ac17e9d461e6be87900,Nexus Mutual: Governance Proxy,0 ETH,3181
2,0x01bfd82675dbcc7762c84019ca518e701c0cd07e,Nexus Mutual: Master Proxy,0 ETH,78
3,0x2ec5d566bd104e01790b13de33fd51876d57c495,Nexus Mutual: MCR,0 ETH,624
4,0x548bf2610c1f15ec6bb78914aa7f90c59a82f492,Nexus Mutual: Member Roles,0 ETH,2
5,0xd7c49cee7e9188cca6ad8ff264c1da2e69d4cf3b,Nexus Mutual: NXM Token,0 ETH,20774
6,0xfd61352232157815cf7b71045557192bf0ce1884,Nexus Mutual: Pool,0 ETH,59819
7,0x7cbe5682be6b648cc1100c76d4f6c96997f753d6,Nexus Mutual: Pool 2,0 ETH,41
8,0x84edffa16bb0b9ab1163abb0a13ff0744c11272f,Nexus Mutual: Pooled Staking Proxy,0 ETH,22395
9,0x6a313ff2a3e66db968ee3984bff178973e589322,Nexus Mutual: Proposal Category,0 ETH,2
10,0x9dae0663f252d05314b7352403fa9c16f16f25ee,Nexus Mutual: Quotation,0 ETH,464
11,0x1776651f58a17a50098d31ba3c3cd259c1903f7a,Nexus Mutual: Quotation Data,0 ETH,1
12,0x80b72ce39b3d73c46b2b8b9ef3acbf300a0077e7,Nexus Mutual: Token Controller,0 ETH,2
13,0x5407381b6c251cfd498ccd4a1d877739cb7960b8,Nexus Mutual: Token Controller Proxy,0 ETH,947
14,0xe20b3ae826cdb43676e418f7c3b84b75b5697a40,Nexus Mutual: Token Data,0 ETH,1
15,0xdf50a17bf58dea5039b73683a51c4026f3c7224e,Nexus Mutual: Token Functions,0 ETH,475
16,0x586b9b2f8010b284a0197f392156f1a7eb5e86e9,Nexus Mutual: Community Fund,1.76993516 ETH,68
17,0x1b541c2dc0653fd060e8320d2f763733ba8cffe3,Nexus Mutual: Deployer,0.001 ETH,55
18,0xcafea86a02ab9f43198f1bdfcff35ce16dedfdfa,Nexus Mutual: Membership Proxy,0 ETH,0
