,Address,Name Tag,Balance,Txn Count
0,0x8ac16c08105de55a02e2b7462b1eec6085fa4d86,Origin: ID,0 ETH,13118
1,0x698ff47b84837d3971118a369c570172ee7e54c2,Origin: Marketplace v1,5.24729787 ETH,2236
2,0x8207c1ffc5b6804f6024322ccf34f29c3541ae26,Origin: OGN Token,0 ETH,303352
3,0x2a8e1e676ec238d8a992307b495b45b3feaa5e86,Origin Dollar: OUSD Token,0 ETH,8258
4,0xc626f08cf88972332cfcb48b227409658be67a1c,Origin Story Staking: Fee Vault,38.41736118 ETH,23
5,0xcce8e784c777fb9435f89f4e45f8b7fc49f7669f,Origin Story Staking: Series,0 ETH,1446
6,0xaed9fdc9681d61edb5f8b8e421f5cee8d7f4b04f,Origin: Deployer,0 ETH,288
7,0x1a34e5b97d684b124e32bd3b7dc82736c216976b,Origin: Distribution Staging,0 ETH,221
8,0x2d00c3c132a0567bbbb45ffcfd8c6543e08ff626,Origin: Ecosystem Growth,0 ETH,9216
9,0x3da5045699802ea1fcc60130dedea67139c5b8c0,Origin: Investor Distribution,0.00005097 ETH,6430
10,0xe011fa2a6df98c69383457d87a056ed0103aa352,Origin: Multisig,0.00001 ETH,877
11,0xbc0722eb6e8ba0217aeea5694fe4f214d2e53017,Origin: Partnerships,0.00720778 ETH,6
12,0x501804b374ef06fa9c427476147ac09f1551b9a0,Origin: Staking Contract,0 ETH,2342
13,0xcaa5ef7abc36d5e5a3e4d7930dcff3226617a167,Origin: Team Distribution,0.00005954 ETH,685
14,0x819bb9964b6ebf52361f1ae42cf4831b921510f9,Origin: Marketplace v0,6.73261736 ETH,10635
