,Address,Name Tag,Balance,Txn Count
0,0x152649ea73beab28c5b49b26eb48f7ead6d4c898,PancakeSwap: Cake Token,0 ETH,3737
1,0x702099e284f23da733c03b461c7571a742782fc2,PancakeSwap: Deployer,0.01244871 ETH,21
2,0x0bfbcf9fa4f9c56b0f40a671ad40e0805a091865,PancakeSwap: Factory V3,0 ETH,4
3,0xac1ce734566f390a94b00eb9bf561c2625bf44ea,PancakeSwap: Interface Multicall V3,0 ETH,1
4,0x556b9306565093c855aea9ae92a594704c2cd59e,PancakeSwap: Masterchef V3,0 ETH,2210
5,0xbc203d7f83677c7ed3f7acec959963e7f4ecc5c2,PancakeSwap: Migrator V3,0 ETH,2
6,0x678aa4bf4e210cf2166753e054d5b7c31cc7fa86,PancakeSwap: Mixed Route Quoter V1,0 ETH,1
7,0x41ff9aa7e16b8b1a8a8dc4f0efacd93d02d071c9,PancakeSwap: Pool Deployer V3,0 ETH,2
8,0xb048bbc1ee6b733fffcfb9e9cef7375518e25997,PancakeSwap: Quoter V2,0 ETH,1
9,0x13f4ea83d0bd40e75c8222255bc855a974568dd4,PancakeSwap: Smart Router V3,0 ETH,20673
10,0x1b81d678ffb9c0263b24a97847620c99d213eb14,PancakeSwap: SwapRouter V3,0 ETH,22
11,0x9a489505a00ce272eaa5e07dba6491314cae3796,PancakeSwap: TickLens V3,0 ETH,1
12,0x864ed564875bddd6f421e226494a0e7c071c06f8,PancakeSwap: Token Validator V3,0 ETH,1
13,0x46a15b0b27311cedf172ab29e4f4766fbe7f4364,PancakeSwap:Nonfungible Position Manager V3,0 ETH,4443
